name,team,position,value,total_points
Aaron Cresswell,21,2,50.0,9.0
Aaron Lennon,90,3,55.0,0.0
Aaron Ramsey,3,3,70.0,3.0
Abdoulaye Doucouré,57,3,52.0,1.0
Adam Federici,91,1,40.0,0.0
Adam Lallana,14,3,74.0,0.0
Adam Smith,91,2,49.0,2.0
Ademola Lookman,11,3,53.0,0.0
Adrian Mariappa,57,2,40.0,-1.0
Adrián San Miguel del Castillo,21,1,44.0,0.0
Ahmed Musa,13,4,64.0,0.0
Ainsley Maitland-Niles,3,3,45.0,0.0
Alberto Moreno,14,2,45.0,0.0
Aleksandar Kolarov,43,2,55.0,0.0
Alexis Sánchez,1,3,119.0,1.0
Alex Iwobi,3,3,52.0,3.0
Alex McCarthy,20,1,45.0,0.0
Alex Oxlade-Chamberlain,14,3,60.0,1.0
Alfie Mawson,80,2,50.0,6.0
Allan-Roméo Nyom,35,2,50.0,1.0
Ander Herrera,1,3,53.0,1.0
Andreas Pereira,1,3,49.0,0.0
Andrew Robertson,14,2,49.0,2.0
Andrew Surman,91,3,45.0,10.0
Andre Gray,57,4,64.0,2.0
Andros Townsend,31,3,58.0,2.0
André Ayew,80,3,70.0,1.0
Andy Carroll,21,4,59.0,2.0
Andy King,80,3,44.0,6.0
Angelo Ogbonna,21,2,45.0,0.0
Angel Rangel,80,2,40.0,0.0
Anthony Martial,1,3,80.0,6.0
Antonio Valencia,1,2,65.0,15.0
Arthur Masuaku,21,2,44.0,0.0
Artur Boruc,91,1,44.0,0.0
Ashley Barnes,90,4,53.0,1.0
Ashley Fletcher,21,4,45.0,0.0
Ashley Westwood,90,3,45.0,1.0
Ashley Williams,11,2,54.0,-1.0
Ashley Young,1,3,49.0,3.0
Asmir Begovic,91,1,45.0,2.0
Axel Tuanzebe,1,2,39.0,0.0
Bakary Sako,31,3,49.0,1.0
Bamidele Alli,6,3,95.0,3.0
Benik Afobe,91,4,58.0,1.0
Benjamin Chilwell,13,2,44.0,2.0
Ben Davies,6,2,57.0,0.0
Ben Foster,35,1,45.0,5.0
Ben Hamer,13,1,45.0,0.0
Ben Mee,90,2,45.0,2.0
Ben Watson,57,3,45.0,0.0
Ben Woodburn,14,3,44.0,0.0
Boaz Myhill,35,1,40.0,0.0
Bojan Krkic Perez,110,3,55.0,0.0
Bradley Smith,91,2,40.0,0.0
Brandon Mason,57,2,40.0,0.0
Bruno Martins Indi,110,2,50.0,1.0
Callum Wilson,91,4,60.0,0.0
Calum Chambers,3,2,48.0,0.0
Cameron Carter-Vickers,6,2,45.0,0.0
Carl Jenkinson,3,2,45.0,0.0
Cesc Fàbregas,8,3,69.0,3.0
Charlie Adam,110,3,49.0,0.0
Charlie Austin,20,4,63.0,0.0
Charlie Daniels,91,2,49.0,2.0
Cheikhou Kouyaté,21,3,50.0,3.0
Christian Benteke,31,4,78.0,2.0
Christian Eriksen,6,3,97.0,3.0
Christian Fuchs,13,2,50.0,0.0
Christian Kabasele,57,2,45.0,-1.0
Chris Brunt,35,2,55.0,3.0
Chris Smalling,1,2,53.0,0.0
Chung-yong Lee,31,3,44.0,0.0
Claudio Bravo,43,1,49.0,0.0
Claudio Yacob,35,3,45.0,0.0
Connor Wickham,31,4,55.0,0.0
Costel Pantilimon,57,1,45.0,0.0
Craig Cathcart,57,2,45.0,0.0
Craig Dawson,35,2,50.0,6.0
Cuco Martina,11,2,43.0,0.0
Cédric Soares,20,2,50.0,6.0
César Azpilicueta,8,2,65.0,6.0
Daley Blind,1,2,55.0,0.0
Damian Emiliano Martinez,3,1,40.0,0.0
Damien Delaney,31,2,44.0,0.0
Daniel Amartey,13,3,44.0,0.0
Daniel Drinkwater,8,3,49.0,0.0
Daniel Sturridge,35,4,80.0,2.0
Danny Ings,14,4,54.0,0.0
Danny Rose,6,2,64.0,0.0
Danny Simpson,13,2,45.0,2.0
Danny Welbeck,3,4,75.0,2.0
Dan Gosling,91,3,49.0,1.0
Darren Fletcher,110,3,50.0,2.0
Darren Randolph,21,1,45.0,0.0
Daryl Janmaat,57,2,49.0,-1.0
David de Gea,,1,55.0,7.0
David Luiz Moreira Marinho,8,2,60.0,3.0
David Ospina,3,1,49.0,0.0
David Silva,43,3,82.0,11.0
DeAndre Yedlin,4,2,44.0,2.0
Dean Marney,90,3,45.0,0.0
Declan Rice,21,3,45.0,0.0
Dejan Lovren,14,2,54.0,0.0
Demarai Gray,13,3,54.0,1.0
Diafra Sakho,21,4,55.0,1.0
Diego Da Silva Costa,8,4,96.0,0.0
Divock Origi,14,4,74.0,0.0
Dominic Calvert-Lewin,11,4,50.0,1.0
Dominic Solanke,14,4,48.0,1.0
Dusan Tadic,20,3,65.0,3.0
Eden Hazard,8,3,105.0,1.0
Edimilson Fernandes,21,3,45.0,0.0
Eduardo Dos Reis Carvalho,8,1,49.0,0.0
Eldin Jakupovic,13,1,44.0,0.0
Eliaquim Mangala,11,2,50.0,0.0
Emre Can,14,3,50.0,4.0
Enner Valencia,21,4,50.0,0.0
Eric Bailly,1,2,62.0,5.0
Eric Dier,6,3,50.0,3.0
Erik Lamela,6,3,64.0,0.0
Erik Pieters,110,2,50.0,1.0
Etienne Capoue,57,3,53.0,1.0
Fabian Delph,43,3,45.0,0.0
Federico Fernández,80,2,45.0,8.0
Fernando Francisco Reges,43,3,45.0,0.0
Fernando Llorente,6,4,74.0,1.0
Fernando Luiz Rosa,43,3,50.0,3.0
Francis Coquelin,3,3,45.0,0.0
Fraser Forster,20,1,50.0,7.0
Gabriel Armando de Abreu,3,2,50.0,0.0
Gabriel Fernando de Jesus,43,4,104.0,6.0
Gareth Barry,35,3,45.0,3.0
Gareth McAuley,35,2,49.0,0.0
Gary Cahill,8,2,63.0,7.0
Geoff Cameron,110,2,45.0,0.0
