bad_name,good_name
Abdoulaye DoucourÌ©,Abdoulaye DoucourŽ
Abel HernÌÁndez,Abel Hern‡ndez
Adalberto PeÌ±aranda,Adalberto Pe–aranda
Adama TraorÌ©,Adama TraorŽ
AdlÌ¬ne GuÌ©dioura,Adlne GuŽdioura
AdriÌÁn San Miguel del Castillo,Adri‡n San Miguel del Castillo
Aleix GarcÌ?a Serrano,Aleix Garc’a Serrano
Alexander SÌürloth,Alexander S¿rloth
Alexis SÌÁnchez,Alexis S‡nchez
Allan-RomÌ©o Nyom,Allan-RomŽo Nyom
AndrÌ© Ayew,AndrŽ Ayew
AndrÌ© Carrillo,AndrŽ Carrillo
AndrÌ© Filipe Tavares Gomes,AndrŽ Filipe Tavares Gomes
AndrÌ© SchÌ?rrle,AndrŽ SchŸrrle
AndrÌ©-Frank Zambo Anguissa,AndrŽ-Frank Zambo Anguissa
Antonio BarragÌÁn,Antonio Barrag‡n
Antonio RÌ?diger,Antonio RŸdiger
Arouna KonÌ©,Arouna KonŽ
Ayoze PÌ©rez,Ayoze PŽrez
BafÌ©timbi Gomis,BafŽtimbi Gomis
Bernard AnÌ?cio Caldeira Duarte,Bernard An’cio Caldeira Duarte
Bernardo Espinosa ZÌ¼Ì±iga,Bernardo Espinosa Zœ–iga
Borja BastÌ?n,Borja Bast—n
Borja GonzÌÁlez TomÌÁs,Borja Gonz‡lez Tom‡s
Brice Dja DjÌ©djÌ©,Brice Dja DjŽdjŽ
Bruno AndrÌ© Cavaco Jordao,Bruno AndrŽ Cavaco Jordao
Caglar Söyüncü,Çaglar Söyüncü
Carlos SÌÁnchez,Carlos S‡nchez
Cesc FÌÊbregas,Cesc Fˆbregas
Cheikhou KouyatÌ©,Cheikhou KouyatŽ
Chris LÌ¦we,Chris Lšwe
CÌ©dric Soares,CŽdric Soares
CÌ©sar Azpilicueta,CŽsar Azpilicueta
Daniel Ceballos FernÌÁndez,Daniel Ceballos Fern‡ndez
Davinson SÌÁnchez,Davinson S‡nchez
Davy PrÌ¦pper,Davy Pršpper
Denis SuÌÁrez,Denis Su‡rez
Djibril SidibÌ©,Djibril SidibŽ
Emiliano BuendÌ?a,Emiliano Buend’a
Emiliano MartÌ?nez,Emiliano Mart’nez
Fabian SchÌ?r,Fabian SchŠr
FabiÌÁn Balbuena,Fabi‡n Balbuena
Fabricio Agosto RamÌ?rez,Fabricio Agosto Ram’rez
Federico FernÌÁndez,Federico Fern‡ndez
Floyd AyitÌ©,Floyd AyitŽ
Fousseni DiabatÌ©,Fousseni DiabatŽ
Francisco FemenÌ?a Far,Francisco Femen’a Far
FrÌ©dÌ©ric Guilbert,FrŽdŽric Guilbert
GastÌ?n RamÌ?rez,Gast—n Ram’rez
GaÌÇl Clichy,Ga‘l Clichy
