assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14023.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11531.0,0.0,1.0,0.0,0.0,-3002.0,79.0,3081.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9587.0,1.0,3.0,0.0,0.0,-2053.0,28.0,2081.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8427.0,4.0,2.0,0.0,0.0,-1221.0,45.0,1266.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7933.0,2.0,4.0,0.0,0.0,-520.0,29.0,549.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7450.0,3.0,0.0,0.0,0.0,-500.0,20.0,520.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7199.0,1.0,1.0,0.0,0.0,-285.0,40.0,325.0,53.0,1.0,0.0,0.0
1.0,0.0,23.0,1.0,25.1,0.0,0.0,4.8,16.4,74.0,5.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,7862.0,1.0,0.0,6.0,6.0,468.0,678.0,210.0,53.0,0.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9957.0,0.0,1.0,0.0,0.0,1813.0,2313.0,500.0,53.0,1.0,0.0,0.0
0.0,0.0,12.0,0.0,7.9,2.0,0.0,1.3,5.4,90.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,12638.0,0.0,2.0,0.0,1.0,2432.0,2697.0,265.0,53.0,0.0,0.0,1.0
0.0,0.0,13.0,0.0,1.9,1.0,0.0,2.0,14.4,90.0,14.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,15004.0,1.0,1.0,4.0,2.0,2112.0,2564.0,452.0,53.0,1.0,0.0,2.0
0.0,0.0,13.0,0.0,2.8,3.0,0.0,1.3,8.4,90.0,17.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,16187.0,2.0,3.0,2.0,1.0,839.0,1671.0,832.0,53.0,0.0,0.0,1.0
0.0,0.0,7.0,0.0,1.7,1.0,0.0,1.8,10.0,90.0,11.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,16093.0,1.0,1.0,6.0,1.0,-204.0,503.0,707.0,53.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14484.0,5.0,1.0,0.0,0.0,-1707.0,346.0,2053.0,53.0,1.0,0.0,0.0
0.0,0.0,12.0,0.0,5.7,2.0,0.0,3.3,26.6,90.0,9.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,13321.0,2.0,2.0,1.0,1.0,-1195.0,163.0,1358.0,53.0,0.0,0.0,1.0
0.0,0.0,17.0,1.0,7.2,0.0,0.0,3.3,8.2,90.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16068.0,0.0,1.0,18.0,6.0,2619.0,2875.0,256.0,53.0,1.0,0.0,6.0
0.0,1.0,27.0,1.0,1.8,0.0,0.0,1.7,7.2,90.0,7.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,19517.0,0.0,1.0,8.0,7.0,3143.0,3422.0,279.0,53.0,1.0,0.0,7.0
0.0,0.0,12.0,0.0,11.7,1.0,0.0,3.2,20.6,90.0,16.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,19658.0,4.0,1.0,0.0,2.0,-104.0,1033.0,1137.0,53.0,0.0,0.0,2.0
0.0,0.0,24.0,0.0,57.8,1.0,0.0,10.1,28.2,90.0,8.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19250.0,0.0,1.0,15.0,2.0,-517.0,499.0,1016.0,53.0,0.0,0.0,2.0
0.0,0.0,10.0,0.0,1.9,2.0,0.0,0.8,5.8,90.0,11.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,18346.0,2.0,0.0,0.0,1.0,-979.0,656.0,1635.0,53.0,1.0,0.0,1.0
