assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,3.0,0.0,1.3,1.0,0.0,0.3,2.0,69.0,14.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,2723.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,45.0,1.0,1.0,1.0
0.0,0.0,14.0,0.0,15.8,1.0,0.0,2.7,10.0,90.0,15.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,2840.0,2.0,1.0,1.0,2.0,-152.0,94.0,246.0,45.0,0.0,0.0,2.0
0.0,0.0,15.0,1.0,20.5,0.0,0.0,3.1,10.8,90.0,19.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,3442.0,0.0,0.0,0.0,3.0,400.0,722.0,322.0,45.0,0.0,0.0,3.0
0.0,0.0,25.0,0.0,16.4,2.0,0.0,4.7,11.0,90.0,5.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,3913.0,2.0,1.0,20.0,2.0,274.0,830.0,556.0,45.0,1.0,0.0,2.0
0.0,0.0,18.0,0.0,9.7,3.0,0.0,1.9,8.8,83.0,6.0,0.0,0.0,0.0,12.0,0.0,5.0,0.0,3924.0,1.0,3.0,0.0,2.0,-72.0,342.0,414.0,45.0,0.0,0.0,2.0
0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.5,0.2,9.0,17.0,0.0,0.0,0.0,12.0,0.0,6.0,0.0,4125.0,2.0,1.0,4.0,1.0,106.0,609.0,503.0,45.0,1.0,0.0,1.0
0.0,0.0,20.0,0.0,15.3,1.0,0.0,2.5,9.6,90.0,20.0,0.0,0.0,0.0,12.0,0.0,7.0,0.0,4068.0,1.0,1.0,0.0,2.0,-107.0,174.0,281.0,45.0,0.0,0.0,2.0
0.0,0.0,16.0,0.0,5.2,1.0,0.0,2.4,11.2,90.0,18.0,0.0,0.0,0.0,12.0,0.0,8.0,0.0,4143.0,1.0,0.0,8.0,2.0,19.0,284.0,265.0,45.0,1.0,0.0,2.0
0.0,0.0,4.0,1.0,2.7,0.0,0.0,1.0,6.4,90.0,1.0,0.0,0.0,0.0,12.0,0.0,9.0,0.0,4001.0,0.0,0.0,1.0,3.0,-164.0,109.0,273.0,45.0,0.0,0.0,3.0
0.0,0.0,18.0,1.0,42.4,0.0,0.0,5.2,9.8,90.0,2.0,0.0,0.0,0.0,12.0,0.0,10.0,0.0,4171.0,0.0,2.0,0.0,3.0,131.0,308.0,177.0,45.0,1.0,0.0,3.0
0.0,0.0,7.0,0.0,2.8,1.0,0.0,2.6,4.0,90.0,10.0,0.0,0.0,0.0,12.0,0.0,11.0,0.0,5200.0,1.0,1.0,19.0,1.0,892.0,1337.0,445.0,45.0,0.0,1.0,1.0
0.0,0.0,16.0,0.0,3.9,1.0,0.0,2.5,9.2,88.0,4.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,5518.0,1.0,0.0,12.0,2.0,226.0,628.0,402.0,45.0,1.0,0.0,2.0
1.0,1.0,25.0,0.0,38.4,2.0,0.0,6.7,24.4,90.0,8.0,0.0,0.0,0.0,12.0,0.0,13.0,0.0,5511.0,2.0,2.0,4.0,6.0,-25.0,263.0,288.0,45.0,0.0,0.0,6.0
0.0,0.0,24.0,1.0,34.3,0.0,0.0,6.1,18.0,90.0,7.0,0.0,0.0,0.0,12.0,0.0,14.0,0.0,7952.0,0.0,1.0,9.0,3.0,2329.0,2650.0,321.0,45.0,1.0,0.0,3.0
0.0,0.0,10.0,0.0,5.0,1.0,0.0,0.9,2.0,90.0,13.0,0.0,0.0,0.0,12.0,0.0,15.0,0.0,8524.0,0.0,1.0,2.0,1.0,444.0,1175.0,731.0,45.0,0.0,1.0,1.0
0.0,0.0,12.0,0.0,18.0,3.0,0.0,5.5,9.8,90.0,9.0,0.0,0.0,0.0,12.0,0.0,16.0,0.0,8562.0,3.0,0.0,27.0,2.0,-16.0,559.0,575.0,45.0,1.0,0.0,2.0
1.0,2.0,29.0,1.0,21.6,0.0,0.0,4.5,14.8,90.0,16.0,0.0,0.0,0.0,12.0,0.0,17.0,0.0,9502.0,0.0,3.0,9.0,8.0,861.0,1408.0,547.0,45.0,1.0,0.0,8.0
0.0,0.0,18.0,0.0,8.8,1.0,0.0,2.1,12.0,90.0,3.0,0.0,0.0,0.0,12.0,0.0,18.0,0.0,20101.0,0.0,1.0,0.0,2.0,10038.0,10930.0,892.0,45.0,0.0,0.0,2.0
0.0,0.0,9.0,0.0,13.3,2.0,0.0,3.4,11.0,90.0,11.0,0.0,0.0,0.0,12.0,0.0,19.0,0.0,23209.0,1.0,2.0,10.0,2.0,2910.0,4481.0,1571.0,45.0,0.0,0.0,2.0
0.0,0.0,15.0,1.0,26.8,0.0,0.0,4.1,10.0,88.0,8.0,0.0,0.0,0.0,12.0,0.0,20.0,0.0,26801.0,0.0,0.0,4.0,3.0,3453.0,6240.0,2787.0,45.0,1.0,0.0,3.0
0.0,0.0,9.0,1.0,17.8,0.0,0.0,2.4,5.8,90.0,18.0,0.0,0.0,0.0,12.0,0.0,21.0,0.0,34567.0,0.0,0.0,0.0,3.0,7342.0,13464.0,6122.0,45.0,0.0,0.0,3.0
