assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1095.0,0.0,115.0,0.0,5861.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1095.0,0.0,116.0,0.0,6342.0,1.0,1.0,0.0,0.0,-595.0,133.0,728.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1095.0,0.0,117.0,0.0,5912.0,2.0,0.0,0.0,0.0,-701.0,63.0,764.0,45.0,1.0,0.0,0.0
0.0,0.0,15.0,0.0,0.8,4.0,0.0,2.1,18.4,90.0,11.0,0.0,0.0,0.0,1095.0,0.0,118.0,0.0,5678.0,0.0,4.0,2.0,0.0,-542.0,53.0,595.0,44.0,0.0,0.0,0.0
0.0,0.0,12.0,0.0,2.3,1.0,0.0,1.4,12.0,90.0,5.0,0.0,0.0,0.0,1095.0,0.0,119.0,0.0,5887.0,1.0,1.0,0.0,2.0,-47.0,414.0,461.0,44.0,1.0,0.0,2.0
0.0,2.0,28.0,1.0,22.2,0.0,0.0,4.5,18.6,90.0,13.0,0.0,0.0,0.0,1095.0,0.0,120.0,0.0,6129.0,0.0,0.0,4.0,8.0,121.0,370.0,249.0,44.0,0.0,0.0,8.0
0.0,0.0,10.0,0.0,11.2,2.0,0.0,4.3,26.0,90.0,6.0,0.0,0.0,0.0,1095.0,0.0,121.0,0.0,8008.0,0.0,2.0,6.0,0.0,1390.0,1912.0,522.0,44.0,0.0,1.0,0.0
0.0,0.0,32.0,1.0,10.8,0.0,0.0,3.8,24.8,90.0,17.0,0.0,0.0,0.0,1095.0,0.0,122.0,0.0,8328.0,0.0,3.0,2.0,6.0,212.0,728.0,516.0,44.0,1.0,0.0,6.0
0.0,0.0,24.0,0.0,1.8,2.0,1.0,11.2,60.8,90.0,2.0,0.0,0.0,0.0,1095.0,0.0,123.0,0.0,12226.0,1.0,2.0,49.0,7.0,3248.0,4185.0,937.0,44.0,0.0,0.0,7.0
0.0,0.0,13.0,0.0,2.4,2.0,0.0,1.3,10.8,90.0,8.0,1.0,0.0,0.0,1095.0,0.0,124.0,0.0,17848.0,2.0,3.0,0.0,-1.0,5087.0,6033.0,946.0,44.0,1.0,0.0,-1.0
0.0,0.0,12.0,0.0,0.4,0.0,0.0,0.6,5.2,35.0,14.0,0.0,0.0,0.0,1095.0,0.0,125.0,0.0,18946.0,0.0,2.0,0.0,1.0,1035.0,2672.0,1637.0,44.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1095.0,0.0,126.0,0.0,14386.0,1.0,3.0,0.0,0.0,-4211.0,102.0,4313.0,44.0,0.0,0.0,0.0
0.0,0.0,6.0,0.0,10.8,2.0,0.0,1.9,6.0,90.0,9.0,0.0,0.0,0.0,1095.0,0.0,127.0,0.0,11764.0,2.0,0.0,2.0,0.0,-2750.0,42.0,2792.0,44.0,1.0,1.0,0.0
0.0,0.0,16.0,0.0,14.3,2.0,0.0,3.6,20.2,90.0,10.0,0.0,0.0,0.0,1095.0,0.0,128.0,0.0,11483.0,1.0,2.0,1.0,1.0,-439.0,179.0,618.0,44.0,0.0,0.0,1.0
0.0,0.0,26.0,0.0,10.3,1.0,1.0,13.0,51.4,90.0,1.0,0.0,0.0,0.0,1095.0,0.0,129.0,0.0,11370.0,2.0,1.0,68.0,8.0,-167.0,139.0,306.0,44.0,0.0,0.0,8.0
0.0,0.0,15.0,0.0,1.7,2.0,0.0,2.1,17.2,90.0,20.0,0.0,0.0,0.0,1095.0,0.0,130.0,0.0,13193.0,2.0,2.0,2.0,1.0,1550.0,1888.0,338.0,44.0,1.0,0.0,1.0
0.0,0.0,15.0,0.0,0.3,1.0,0.0,2.3,22.4,90.0,7.0,0.0,0.0,0.0,1095.0,0.0,131.0,0.0,14300.0,1.0,1.0,0.0,2.0,1014.0,1702.0,688.0,44.0,0.0,0.0,2.0
0.0,0.0,11.0,0.0,6.4,1.0,0.0,1.8,5.2,90.0,15.0,0.0,0.0,0.0,1095.0,0.0,132.0,0.0,16011.0,1.0,0.0,6.0,2.0,1222.0,1840.0,618.0,44.0,1.0,0.0,2.0
0.0,3.0,36.0,0.0,5.3,2.0,1.0,8.2,57.6,90.0,17.0,0.0,0.0,0.0,1095.0,0.0,133.0,0.0,15613.0,1.0,2.0,19.0,10.0,-72.0,714.0,786.0,44.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1095.0,0.0,134.0,0.0,45601.0,0.0,2.0,0.0,0.0,26330.0,27602.0,1272.0,44.0,1.0,0.0,0.0
0.0,0.0,12.0,0.0,0.6,1.0,0.0,5.6,33.6,90.0,6.0,0.0,0.0,0.0,1095.0,0.0,135.0,0.0,42206.0,1.0,1.0,22.0,2.0,-967.0,8579.0,9546.0,44.0,1.0,0.0,2.0
0.0,0.0,11.0,0.0,0.7,1.0,0.0,1.6,14.8,90.0,8.0,0.0,0.0,0.0,1095.0,0.0,136.0,0.0,49982.0,0.0,1.0,0.0,2.0,7022.0,13765.0,6743.0,44.0,0.0,0.0,2.0
0.0,0.0,9.0,0.0,10.3,1.0,0.0,3.5,15.8,90.0,2.0,0.0,0.0,0.0,1095.0,0.0,137.0,0.0,57943.0,1.0,1.0,9.0,1.0,7493.0,12895.0,5402.0,44.0,1.0,1.0,1.0
0.0,0.0,14.0,0.0,2.3,3.0,0.0,2.3,16.6,90.0,3.0,0.0,0.0,0.0,1095.0,0.0,138.0,0.0,56546.0,1.0,3.0,4.0,1.0,-1242.0,4481.0,5723.0,44.0,0.0,0.0,1.0
0.0,0.0,12.0,0.0,0.4,3.0,0.0,1.5,14.8,90.0,19.0,0.0,0.0,0.0,1095.0,0.0,139.0,0.0,53643.0,3.0,3.0,0.0,1.0,-2919.0,3056.0,5975.0,44.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1095.0,0.0,140.0,0.0,52300.0,1.0,1.0,0.0,0.0,-1635.0,2343.0,3978.0,44.0,1.0,0.0,0.0
1.0,2.0,25.0,0.0,11.1,1.0,0.0,4.7,34.2,90.0,15.0,0.0,0.0,0.0,1095.0,0.0,141.0,0.0,45677.0,1.0,1.0,2.0,7.0,-6573.0,405.0,6978.0,44.0,0.0,0.0,7.0
0.0,0.0,17.0,0.0,20.8,1.0,0.0,5.8,31.4,90.0,7.0,0.0,0.0,0.0,1095.0,0.0,142.0,0.0,56383.0,1.0,0.0,6.0,2.0,6075.0,7824.0,1749.0,44.0,1.0,0.0,2.0
0.0,0.0,25.0,1.0,0.5,0.0,0.0,2.1,20.4,90.0,20.0,0.0,0.0,0.0,1095.0,0.0,143.0,0.0,46945.0,0.0,0.0,0.0,6.0,-4488.0,889.0,5377.0,44.0,0.0,0.0,6.0
