assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,2.0,29.0,0.0,16.8,1.0,1.0,10.7,45.2,90.0,8.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,38151.0,1.0,2.0,45.0,8.0,0.0,0.0,0.0,45.0,1.0,0.0,8.0
0.0,0.0,2.0,1.0,5.0,0.0,0.0,2.1,1.6,72.0,16.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,160010.0,2.0,0.0,14.0,2.0,71828.0,82044.0,10216.0,45.0,0.0,0.0,2.0
0.0,0.0,9.0,0.0,26.8,1.0,0.0,3.5,4.0,90.0,11.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,203328.0,1.0,0.0,4.0,2.0,26721.0,57922.0,31201.0,46.0,1.0,0.0,2.0
0.0,0.0,0.0,1.0,1.4,0.0,0.0,0.9,0.0,69.0,3.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,245792.0,1.0,1.0,9.0,2.0,31743.0,67934.0,36191.0,46.0,0.0,0.0,2.0
0.0,0.0,7.0,0.0,3.3,1.0,0.0,1.4,8.4,41.0,1.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,252641.0,4.0,1.0,2.0,1.0,3044.0,27313.0,24269.0,46.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,1.4,2.0,0.0,0.4,2.2,32.0,9.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,272715.0,1.0,5.0,0.0,1.0,16096.0,49185.0,33089.0,46.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0,12.7,1.0,0.0,1.9,2.6,62.0,4.0,0.0,0.0,0.0,8.0,0.0,7.0,0.0,280436.0,2.0,0.0,4.0,2.0,5251.0,30496.0,25245.0,46.0,1.0,0.0,2.0
0.0,0.0,3.0,0.0,0.3,3.0,0.0,1.8,2.2,28.0,2.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,285201.0,1.0,6.0,15.0,1.0,1745.0,23491.0,21746.0,46.0,0.0,0.0,1.0
0.0,0.0,3.0,0.0,13.0,0.0,0.0,2.2,4.8,23.0,14.0,0.0,0.0,0.0,8.0,0.0,9.0,0.0,288825.0,2.0,0.0,4.0,1.0,1965.0,19509.0,17544.0,46.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,270885.0,0.0,1.0,0.0,0.0,-18893.0,8568.0,27461.0,46.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,8.0,0.0,11.0,0.0,239696.0,1.0,2.0,0.0,0.0,-31633.0,5044.0,36677.0,46.0,1.0,0.0,0.0
