assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.8,4.0,10.0,5.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,552.0,2.0,1.0,4.0,1.0,449.0,676.0,227.0,50.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,5.0,0.0,590.0,1.0,3.0,0.0,0.0,-15.0,77.0,92.0,50.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,6.7,0.0,0.0,1.6,7.6,32.0,17.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,526.0,2.0,1.0,2.0,0.0,-97.0,44.0,141.0,49.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,9.0,0.0,7.0,0.0,648.0,1.0,1.0,0.0,0.0,89.0,164.0,75.0,49.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,4.6,0.0,0.0,1.1,6.4,22.0,18.0,0.0,0.0,0.0,9.0,0.0,8.0,0.0,628.0,1.0,0.0,0.0,1.0,-63.0,27.0,90.0,49.0,1.0,0.0,1.0
0.0,0.0,10.0,1.0,19.0,0.0,0.0,7.6,19.4,90.0,1.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,596.0,0.0,0.0,38.0,3.0,-54.0,25.0,79.0,48.0,0.0,0.0,3.0
0.0,0.0,8.0,1.0,3.0,0.0,0.0,1.2,6.6,90.0,2.0,0.0,0.0,0.0,9.0,0.0,10.0,0.0,6388.0,0.0,2.0,2.0,3.0,5655.0,5769.0,114.0,48.0,1.0,0.0,3.0
0.0,0.0,14.0,0.0,16.3,1.0,0.0,3.1,13.0,90.0,10.0,0.0,0.0,0.0,9.0,0.0,11.0,0.0,7151.0,1.0,1.0,2.0,2.0,663.0,1395.0,732.0,48.0,0.0,0.0,2.0
0.0,0.0,19.0,0.0,14.9,1.0,0.0,5.5,17.2,90.0,4.0,0.0,0.0,0.0,9.0,0.0,12.0,0.0,7690.0,1.0,0.0,23.0,2.0,381.0,1095.0,714.0,48.0,1.0,0.0,2.0
0.0,0.0,10.0,0.0,0.3,1.0,0.0,1.2,5.4,78.0,8.0,0.0,0.0,0.0,9.0,0.0,13.0,0.0,9995.0,2.0,2.0,6.0,2.0,2165.0,2769.0,604.0,48.0,0.0,0.0,2.0
