assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,7.0,0.0,13.7,1.0,0.0,2.2,5.6,72.0,13.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,1330.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,45.0,0.0,1.0,1.0
1.0,0.0,20.0,0.0,21.3,2.0,0.0,5.3,22.8,87.0,4.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,1636.0,2.0,1.0,9.0,5.0,13.0,116.0,103.0,45.0,1.0,0.0,5.0
0.0,0.0,5.0,0.0,2.7,3.0,0.0,1.7,6.2,45.0,1.0,0.0,0.0,0.0,18.0,0.0,3.0,0.0,5180.0,3.0,1.0,8.0,1.0,2508.0,3317.0,809.0,45.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,18.0,0.0,4.0,0.0,5389.0,4.0,2.0,0.0,0.0,-140.0,901.0,1041.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,18.0,0.0,5.0,0.0,4966.0,1.0,3.0,0.0,0.0,-507.0,194.0,701.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,6.0,0.0,4389.0,0.0,2.0,0.0,0.0,-616.0,143.0,759.0,45.0,0.0,0.0,0.0
0.0,0.0,6.0,0.0,1.3,0.0,0.0,0.7,5.2,12.0,2.0,0.0,0.0,0.0,18.0,0.0,7.0,0.0,4119.0,2.0,2.0,0.0,1.0,-296.0,63.0,359.0,45.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,18.0,0.0,8.0,0.0,3940.0,1.0,0.0,0.0,0.0,-223.0,63.0,286.0,45.0,0.0,0.0,0.0
0.0,0.0,4.0,0.0,0.3,0.0,0.0,1.5,7.8,13.0,16.0,0.0,0.0,0.0,18.0,0.0,9.0,0.0,3706.0,0.0,0.0,7.0,1.0,-249.0,25.0,274.0,45.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,18.0,0.0,10.0,0.0,3563.0,0.0,1.0,0.0,0.0,-153.0,25.0,178.0,45.0,1.0,0.0,0.0
