assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,688.0,0.0,42.0,0.0,437.0,2.0,1.0,0.0,0.0,224.0,290.0,66.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,688.0,0.0,43.0,0.0,658.0,1.0,1.0,0.0,0.0,27.0,89.0,62.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,688.0,0.0,44.0,0.0,792.0,3.0,2.0,0.0,0.0,-18.0,126.0,144.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,688.0,0.0,45.0,0.0,948.0,0.0,0.0,0.0,0.0,10.0,134.0,124.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,688.0,0.0,46.0,0.0,1031.0,1.0,1.0,0.0,0.0,-34.0,86.0,120.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,688.0,0.0,47.0,0.0,1062.0,2.0,1.0,0.0,0.0,-28.0,45.0,73.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,688.0,0.0,48.0,0.0,1096.0,0.0,2.0,0.0,0.0,-39.0,50.0,89.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,688.0,0.0,49.0,0.0,1149.0,2.0,2.0,0.0,0.0,-17.0,55.0,72.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,688.0,0.0,50.0,0.0,1195.0,2.0,0.0,0.0,0.0,-38.0,38.0,76.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,688.0,0.0,51.0,0.0,1214.0,1.0,1.0,0.0,0.0,-22.0,28.0,50.0,49.0,0.0,0.0,0.0
