assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
1.0,0.0,12.0,0.0,17.5,3.0,0.0,3.4,16.6,58.0,9.0,0.0,0.0,0.0,34.0,0.0,1.0,0.0,48146.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,60.0,1.0,1.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,34.0,0.0,2.0,0.0,31360.0,0.0,0.0,0.0,0.0,-18916.0,1266.0,20182.0,60.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,34.0,0.0,3.0,0.0,19041.0,3.0,1.0,0.0,0.0,-12503.0,147.0,12650.0,59.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,11.7,0.0,0.0,1.6,3.8,16.0,13.0,0.0,0.0,0.0,34.0,0.0,4.0,0.0,15122.0,1.0,2.0,0.0,1.0,-4042.0,452.0,4494.0,58.0,1.0,0.0,1.0
2.0,2.0,40.0,1.0,48.4,0.0,0.0,19.4,51.0,76.0,7.0,0.0,0.0,0.0,34.0,0.0,5.0,0.0,15137.0,4.0,1.0,95.0,11.0,-231.0,1103.0,1334.0,58.0,0.0,0.0,11.0
0.0,0.0,11.0,1.0,20.4,0.0,0.0,2.8,5.6,68.0,4.0,0.0,0.0,0.0,34.0,0.0,6.0,0.0,33081.0,0.0,3.0,2.0,3.0,16169.0,19152.0,2983.0,58.0,1.0,0.0,3.0
0.0,0.0,12.0,1.0,19.8,0.0,0.0,3.8,2.8,70.0,3.0,0.0,0.0,0.0,34.0,0.0,7.0,0.0,54308.0,1.0,0.0,15.0,3.0,19495.0,23084.0,3589.0,58.0,0.0,0.0,3.0
0.0,0.0,15.0,0.0,16.4,2.0,0.0,5.2,8.4,67.0,16.0,0.0,0.0,0.0,34.0,0.0,8.0,0.0,69838.0,2.0,3.0,27.0,2.0,13512.0,18250.0,4738.0,58.0,1.0,0.0,2.0
0.0,0.0,8.0,1.0,37.3,0.0,0.0,5.2,5.0,66.0,12.0,0.0,0.0,0.0,34.0,0.0,9.0,0.0,65859.0,0.0,0.0,10.0,3.0,-4696.0,6916.0,11612.0,58.0,1.0,0.0,3.0
0.0,0.0,10.0,0.0,9.4,1.0,0.0,1.7,0.0,68.0,15.0,0.0,0.0,0.0,34.0,0.0,10.0,0.0,64484.0,4.0,1.0,8.0,2.0,-1931.0,5902.0,7833.0,58.0,0.0,0.0,2.0
