assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,40.0,0.0,4.0,0.0,174.0,2.0,2.0,0.0,0.0,130.0,164.0,34.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,40.0,0.0,5.0,0.0,228.0,0.0,1.0,0.0,0.0,7.0,27.0,20.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,40.0,0.0,6.0,0.0,261.0,3.0,1.0,0.0,0.0,-10.0,18.0,28.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,40.0,0.0,7.0,0.0,285.0,2.0,1.0,0.0,0.0,-8.0,21.0,29.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,8.0,0.0,330.0,2.0,3.0,0.0,0.0,-8.0,23.0,31.0,45.0,0.0,0.0,0.0
0.0,1.0,30.0,1.0,0.5,0.0,0.0,1.9,18.8,90.0,18.0,0.0,0.0,0.0,40.0,0.0,9.0,0.0,363.0,0.0,0.0,0.0,7.0,1.0,27.0,26.0,45.0,1.0,0.0,7.0
0.0,0.0,19.0,0.0,0.3,3.0,0.0,3.2,31.2,90.0,14.0,1.0,0.0,0.0,40.0,0.0,10.0,0.0,762.0,1.0,3.0,0.0,-1.0,324.0,349.0,25.0,45.0,0.0,0.0,-1.0
0.0,0.0,18.0,0.0,0.7,3.0,0.0,2.3,18.6,90.0,11.0,0.0,0.0,0.0,40.0,0.0,11.0,0.0,853.0,3.0,1.0,4.0,1.0,56.0,117.0,61.0,45.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,40.0,0.0,12.0,0.0,909.0,1.0,1.0,0.0,0.0,2.0,57.0,55.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,40.0,0.0,13.0,0.0,890.0,4.0,5.0,0.0,0.0,-46.0,20.0,66.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,40.0,0.0,14.0,0.0,819.0,0.0,5.0,0.0,0.0,-82.0,8.0,90.0,45.0,0.0,0.0,0.0
0.0,0.0,27.0,1.0,0.3,0.0,0.0,2.9,24.6,90.0,15.0,0.0,0.0,0.0,40.0,0.0,15.0,0.0,801.0,0.0,3.0,4.0,6.0,-46.0,11.0,57.0,45.0,1.0,0.0,6.0
