assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,42.0,0.0,1.0,0.0,35804.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,42.0,0.0,2.0,0.0,32765.0,2.0,1.0,0.0,0.0,-4038.0,157.0,4195.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,0.0,3.0,0.0,28142.0,3.0,1.0,0.0,0.0,-4934.0,191.0,5125.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,42.0,0.0,4.0,0.0,25077.0,0.0,1.0,0.0,0.0,-3289.0,936.0,4225.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.4,23.0,20.0,0.0,0.0,0.0,42.0,0.0,5.0,0.0,23160.0,2.0,4.0,0.0,0.0,-2000.0,110.0,2110.0,44.0,1.0,1.0,0.0
0.0,0.0,6.0,0.0,1.4,1.0,0.0,3.9,17.8,90.0,14.0,0.0,0.0,0.0,42.0,0.0,6.0,0.0,21160.0,1.0,1.0,20.0,1.0,-2102.0,394.0,2496.0,43.0,0.0,1.0,1.0
0.0,0.0,6.0,0.0,14.9,1.0,0.0,2.3,4.2,90.0,15.0,0.0,0.0,0.0,42.0,0.0,7.0,0.0,21246.0,1.0,1.0,4.0,2.0,-62.0,1198.0,1260.0,43.0,0.0,0.0,2.0
0.0,0.0,12.0,0.0,24.7,1.0,0.0,3.9,13.8,90.0,17.0,0.0,0.0,0.0,42.0,0.0,8.0,0.0,21610.0,1.0,1.0,0.0,2.0,172.0,1293.0,1121.0,43.0,1.0,0.0,2.0
0.0,0.0,9.0,0.0,0.6,2.0,0.0,1.4,13.6,90.0,9.0,0.0,0.0,0.0,42.0,0.0,9.0,0.0,22513.0,1.0,2.0,0.0,1.0,760.0,1538.0,778.0,43.0,0.0,0.0,1.0
0.0,0.0,9.0,0.0,0.8,4.0,0.0,1.4,13.2,90.0,10.0,0.0,0.0,0.0,42.0,0.0,10.0,0.0,22432.0,4.0,0.0,0.0,0.0,-165.0,558.0,723.0,43.0,1.0,0.0,0.0
