assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,7.0,0.0,0.1,0.0,0.0,1.5,14.6,25.0,11.0,0.0,0.0,0.0,47.0,0.0,23.0,0.0,48.0,0.0,0.0,0.0,1.0,48.0,49.0,1.0,45.0,0.0,0.0,1.0
1.0,3.0,41.0,1.0,13.3,0.0,0.0,6.8,53.0,90.0,9.0,0.0,0.0,0.0,47.0,0.0,24.0,0.0,742.0,0.0,2.0,2.0,12.0,663.0,695.0,32.0,45.0,1.0,0.0,12.0
0.0,0.0,18.0,0.0,0.3,2.0,0.0,4.9,28.0,90.0,1.0,0.0,0.0,0.0,47.0,0.0,25.0,0.0,32664.0,0.0,2.0,21.0,0.0,29927.0,31458.0,1531.0,45.0,0.0,1.0,0.0
0.0,0.0,13.0,0.0,0.0,1.0,0.0,4.4,25.6,90.0,3.0,0.0,0.0,0.0,47.0,0.0,26.0,0.0,38367.0,1.0,1.0,18.0,2.0,5263.0,7408.0,2145.0,45.0,1.0,0.0,2.0
0.0,0.0,15.0,0.0,0.3,3.0,0.0,2.8,27.2,90.0,8.0,0.0,0.0,0.0,47.0,0.0,27.0,0.0,38109.0,1.0,3.0,0.0,1.0,-369.0,1819.0,2188.0,45.0,0.0,0.0,1.0
0.0,0.0,13.0,0.0,0.9,1.0,0.0,1.6,14.6,90.0,16.0,0.0,0.0,0.0,47.0,0.0,28.0,0.0,38771.0,1.0,2.0,0.0,2.0,516.0,1938.0,1422.0,45.0,1.0,0.0,2.0
0.0,0.0,12.0,0.0,1.4,4.0,0.0,2.0,18.6,90.0,6.0,0.0,0.0,0.0,47.0,0.0,29.0,0.0,36961.0,0.0,4.0,0.0,0.0,-1851.0,288.0,2139.0,45.0,0.0,0.0,0.0
0.0,3.0,24.0,0.0,0.3,1.0,1.0,6.3,46.0,90.0,20.0,0.0,0.0,0.0,47.0,0.0,30.0,0.0,35146.0,1.0,2.0,17.0,11.0,-1878.0,331.0,2209.0,45.0,1.0,0.0,11.0
0.0,0.0,14.0,0.0,0.2,2.0,0.0,2.4,23.4,90.0,12.0,0.0,0.0,0.0,47.0,0.0,31.0,0.0,38255.0,2.0,4.0,0.0,1.0,3022.0,3361.0,339.0,45.0,1.0,0.0,1.0
0.0,0.0,23.0,0.0,0.0,3.0,1.0,7.0,49.4,90.0,10.0,0.0,0.0,0.0,47.0,0.0,32.0,0.0,37334.0,1.0,3.0,21.0,7.0,-961.0,601.0,1562.0,45.0,0.0,0.0,7.0
1.0,1.0,29.0,0.0,10.3,3.0,0.0,6.1,40.8,90.0,14.0,0.0,0.0,0.0,47.0,0.0,33.0,0.0,42433.0,1.0,3.0,10.0,5.0,4916.0,5565.0,649.0,45.0,0.0,0.0,5.0
0.0,2.0,26.0,1.0,0.0,0.0,0.0,2.5,25.2,90.0,18.0,0.0,0.0,0.0,47.0,0.0,34.0,0.0,51788.0,0.0,2.0,0.0,8.0,8723.0,9918.0,1195.0,45.0,1.0,0.0,8.0
0.0,0.0,25.0,1.0,0.2,0.0,0.0,2.4,22.0,90.0,13.0,0.0,0.0,0.0,47.0,0.0,35.0,0.0,63378.0,0.0,0.0,2.0,5.0,10729.0,12542.0,1813.0,45.0,0.0,1.0,5.0
0.0,0.0,12.0,0.0,0.4,2.0,0.0,6.5,20.2,90.0,15.0,0.0,0.0,0.0,47.0,0.0,36.0,0.0,70469.0,2.0,0.0,44.0,1.0,6627.0,9730.0,3103.0,45.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,0.2,2.0,0.0,0.8,3.6,45.0,5.0,0.0,0.0,0.0,47.0,0.0,37.0,0.0,62868.0,0.0,4.0,4.0,0.0,-7651.0,814.0,8465.0,45.0,0.0,0.0,0.0
0.0,0.0,24.0,0.0,11.1,7.0,0.0,6.2,32.2,90.0,17.0,0.0,0.0,0.0,47.0,0.0,38.0,0.0,58208.0,7.0,1.0,19.0,-1.0,-4689.0,227.0,4916.0,45.0,1.0,0.0,-1.0
