assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,48.0,0.0,14.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,48.0,0.0,15.0,0.0,347.0,2.0,3.0,0.0,0.0,228.0,289.0,61.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,48.0,0.0,16.0,0.0,457.0,0.0,2.0,0.0,0.0,72.0,109.0,37.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,48.0,0.0,17.0,0.0,507.0,0.0,1.0,0.0,0.0,23.0,67.0,44.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,48.0,0.0,18.0,0.0,592.0,1.0,1.0,0.0,0.0,32.0,86.0,54.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,48.0,0.0,19.0,0.0,668.0,4.0,1.0,0.0,0.0,40.0,83.0,43.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,48.0,0.0,20.0,0.0,704.0,0.0,2.0,0.0,0.0,15.0,73.0,58.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,48.0,0.0,21.0,0.0,734.0,0.0,0.0,0.0,0.0,-3.0,74.0,77.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,48.0,0.0,22.0,0.0,770.0,2.0,2.0,0.0,0.0,12.0,56.0,44.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,0.0,23.0,0.0,774.0,2.0,1.0,0.0,0.0,-10.0,38.0,48.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,48.0,0.0,24.0,0.0,788.0,1.0,2.0,0.0,0.0,8.0,31.0,23.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,48.0,0.0,25.0,0.0,791.0,0.0,2.0,0.0,0.0,-10.0,20.0,30.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,48.0,0.0,26.0,0.0,801.0,1.0,1.0,0.0,0.0,-4.0,17.0,21.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,48.0,0.0,27.0,0.0,806.0,4.0,3.0,0.0,0.0,-4.0,21.0,25.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,48.0,0.0,29.0,0.0,815.0,0.0,1.0,0.0,0.0,-7.0,9.0,16.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,48.0,0.0,30.0,0.0,823.0,0.0,1.0,0.0,0.0,-2.0,22.0,24.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,48.0,0.0,31.0,0.0,818.0,0.0,2.0,0.0,0.0,-6.0,6.0,12.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,48.0,0.0,32.0,0.0,828.0,0.0,4.0,0.0,0.0,8.0,14.0,6.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,48.0,0.0,33.0,0.0,834.0,0.0,1.0,0.0,0.0,-6.0,12.0,18.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,48.0,0.0,34.0,0.0,838.0,0.0,2.0,0.0,0.0,1.0,10.0,9.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,48.0,0.0,35.0,0.0,835.0,1.0,0.0,0.0,0.0,-10.0,12.0,22.0,40.0,1.0,0.0,0.0
