assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.7,0.8,43.0,3.0,0.0,0.0,0.0,696.0,0.0,41.0,0.0,137.0,0.0,0.0,4.0,1.0,118.0,134.0,16.0,55.0,1.0,0.0,1.0
0.0,0.0,13.0,1.0,5.0,0.0,0.0,6.2,12.4,90.0,14.0,0.0,0.0,0.0,696.0,0.0,42.0,0.0,526.0,2.0,0.0,45.0,3.0,247.0,367.0,120.0,55.0,0.0,0.0,3.0
0.0,0.0,12.0,0.0,1.5,6.0,0.0,1.9,11.8,90.0,11.0,0.0,0.0,0.0,696.0,0.0,43.0,0.0,962.0,6.0,0.0,6.0,2.0,320.0,469.0,149.0,55.0,1.0,0.0,2.0
1.0,0.0,20.0,0.0,4.1,1.0,0.0,2.1,8.4,73.0,16.0,0.0,0.0,0.0,696.0,0.0,44.0,0.0,1366.0,2.0,1.0,8.0,5.0,308.0,484.0,176.0,55.0,0.0,0.0,5.0
0.0,0.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,74.0,19.0,0.0,0.0,0.0,696.0,0.0,45.0,0.0,2419.0,2.0,2.0,6.0,2.0,850.0,1164.0,314.0,55.0,0.0,0.0,2.0
0.0,0.0,4.0,0.0,11.8,0.0,0.0,1.6,1.4,27.0,1.0,0.0,0.0,0.0,696.0,0.0,46.0,0.0,2492.0,1.0,2.0,3.0,1.0,-23.0,355.0,378.0,55.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,10.5,3.0,0.0,1.9,0.4,25.0,5.0,0.0,0.0,0.0,696.0,0.0,47.0,0.0,2342.0,2.0,4.0,8.0,1.0,-195.0,146.0,341.0,55.0,0.0,0.0,1.0
0.0,0.0,12.0,0.0,27.5,1.0,0.0,6.2,11.8,79.0,15.0,0.0,0.0,0.0,696.0,0.0,48.0,0.0,2187.0,1.0,0.0,23.0,2.0,-202.0,229.0,431.0,55.0,1.0,0.0,2.0
0.0,0.0,15.0,0.0,9.4,3.0,0.0,3.1,13.8,90.0,7.0,0.0,0.0,0.0,696.0,0.0,49.0,0.0,2067.0,2.0,3.0,8.0,2.0,-152.0,101.0,253.0,55.0,0.0,0.0,2.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,20.0,0.0,0.0,0.0,696.0,0.0,50.0,0.0,2000.0,0.0,2.0,0.0,1.0,-106.0,103.0,209.0,55.0,1.0,0.0,1.0
0.0,0.0,4.0,0.0,10.3,0.0,0.0,1.4,3.2,6.0,13.0,0.0,0.0,0.0,696.0,0.0,51.0,0.0,1841.0,3.0,0.0,0.0,1.0,-177.0,45.0,222.0,55.0,0.0,0.0,1.0
1.0,0.0,13.0,0.0,13.5,1.0,0.0,4.9,21.0,32.0,12.0,0.0,0.0,0.0,696.0,0.0,52.0,0.0,1725.0,4.0,2.0,14.0,4.0,-140.0,37.0,177.0,55.0,1.0,0.0,4.0
0.0,0.0,10.0,0.0,16.3,0.0,0.0,2.8,9.2,23.0,17.0,0.0,0.0,0.0,696.0,0.0,53.0,0.0,1732.0,1.0,1.0,2.0,1.0,-16.0,109.0,125.0,55.0,1.0,0.0,1.0
0.0,0.0,18.0,0.0,35.3,1.0,0.0,5.7,10.0,78.0,4.0,0.0,0.0,0.0,696.0,0.0,54.0,0.0,1694.0,0.0,1.0,12.0,2.0,-61.0,71.0,132.0,55.0,0.0,0.0,2.0
0.0,0.0,9.0,1.0,13.3,0.0,0.0,3.3,11.4,70.0,6.0,0.0,0.0,0.0,696.0,0.0,55.0,0.0,1711.0,1.0,2.0,8.0,3.0,-3.0,67.0,70.0,55.0,0.0,0.0,3.0
0.0,0.0,9.0,0.0,14.5,4.0,0.0,5.4,11.0,90.0,8.0,0.0,0.0,0.0,696.0,0.0,56.0,0.0,1869.0,4.0,1.0,28.0,2.0,132.0,226.0,94.0,55.0,1.0,0.0,2.0
0.0,0.0,11.0,0.0,14.6,1.0,0.0,4.0,11.4,90.0,3.0,0.0,0.0,0.0,696.0,0.0,57.0,0.0,1911.0,0.0,1.0,14.0,2.0,4.0,165.0,161.0,55.0,0.0,0.0,2.0
0.0,2.0,25.0,0.0,39.9,1.0,0.0,6.1,18.6,89.0,9.0,0.0,0.0,0.0,696.0,0.0,58.0,0.0,1877.0,1.0,2.0,2.0,4.0,-57.0,57.0,114.0,55.0,1.0,0.0,4.0
0.0,2.0,28.0,1.0,17.2,0.0,1.0,7.3,39.2,82.0,16.0,0.0,0.0,0.0,696.0,0.0,59.0,0.0,2074.0,2.0,1.0,17.0,9.0,164.0,299.0,135.0,55.0,1.0,1.0,9.0
