assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,8.0,0.0,22.2,1.0,0.0,3.0,3.6,60.0,7.0,0.0,0.0,0.0,913.0,0.0,77.0,0.0,316359.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,60.0,1.0,0.0,2.0
0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.1,1.0,2.0,17.0,0.0,0.0,0.0,913.0,0.0,78.0,0.0,274682.0,1.0,3.0,0.0,1.0,-56740.0,5797.0,62537.0,60.0,0.0,0.0,1.0
0.0,0.0,23.0,0.0,35.3,2.0,1.0,18.4,47.2,88.0,4.0,0.0,0.0,0.0,913.0,0.0,79.0,0.0,195479.0,2.0,4.0,101.0,6.0,-81780.0,2501.0,84281.0,59.0,1.0,1.0,6.0
0.0,0.0,29.0,0.0,30.0,2.0,1.0,10.9,41.2,86.0,3.0,0.0,0.0,0.0,913.0,0.0,80.0,0.0,208032.0,2.0,2.0,38.0,7.0,5233.0,26907.0,21674.0,59.0,0.0,0.0,7.0
0.0,0.0,4.0,0.0,2.8,3.0,0.0,3.7,10.6,90.0,13.0,0.0,0.0,0.0,913.0,0.0,81.0,0.0,284218.0,0.0,3.0,24.0,2.0,64389.0,97754.0,33365.0,59.0,0.0,0.0,2.0
0.0,0.0,14.0,0.0,35.9,1.0,0.0,6.6,12.0,90.0,18.0,0.0,0.0,0.0,913.0,0.0,82.0,0.0,294773.0,1.0,1.0,18.0,2.0,8521.0,35972.0,27451.0,59.0,1.0,0.0,2.0
0.0,0.0,10.0,0.0,34.1,3.0,0.0,5.4,14.2,90.0,8.0,0.0,0.0,0.0,913.0,0.0,83.0,0.0,275009.0,0.0,3.0,6.0,2.0,-20085.0,11265.0,31350.0,59.0,0.0,0.0,2.0
0.0,0.0,15.0,0.0,4.8,5.0,1.0,9.5,33.0,90.0,1.0,0.0,0.0,0.0,913.0,0.0,84.0,0.0,253389.0,5.0,1.0,57.0,6.0,-21934.0,5677.0,27611.0,59.0,1.0,1.0,6.0
0.0,0.0,28.0,0.0,9.5,4.0,1.0,8.5,52.2,90.0,5.0,0.0,0.0,0.0,913.0,0.0,85.0,0.0,305141.0,2.0,4.0,23.0,7.0,44170.0,61953.0,17783.0,59.0,0.0,0.0,7.0
0.0,0.0,15.0,0.0,3.3,3.0,0.0,1.6,4.6,90.0,2.0,0.0,0.0,0.0,913.0,0.0,86.0,0.0,364271.0,3.0,0.0,8.0,2.0,56099.0,67759.0,11660.0,60.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,6.6,1.0,0.0,0.7,0.0,90.0,10.0,0.0,0.0,0.0,913.0,0.0,87.0,0.0,335543.0,0.0,1.0,4.0,2.0,-26004.0,14855.0,40859.0,60.0,0.0,0.0,2.0
0.0,0.0,9.0,0.0,1.8,2.0,0.0,2.2,5.6,77.0,12.0,0.0,0.0,0.0,913.0,0.0,88.0,0.0,282490.0,0.0,2.0,15.0,2.0,-52232.0,3312.0,55544.0,59.0,0.0,0.0,2.0
0.0,0.0,23.0,0.0,22.7,2.0,1.0,8.6,44.0,73.0,16.0,0.0,0.0,0.0,913.0,0.0,89.0,0.0,287352.0,2.0,3.0,19.0,7.0,-200.0,22616.0,22816.0,59.0,1.0,0.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,913.0,0.0,90.0,0.0,296696.0,0.0,2.0,0.0,0.0,9657.0,23153.0,13496.0,59.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,913.0,0.0,91.0,0.0,264835.0,1.0,1.0,0.0,0.0,-30067.0,8003.0,38070.0,59.0,1.0,0.0,0.0
0.0,0.0,4.0,0.0,2.3,3.0,0.0,0.9,0.0,72.0,14.0,0.0,0.0,0.0,913.0,0.0,92.0,0.0,251454.0,1.0,4.0,9.0,2.0,-14454.0,5718.0,20172.0,58.0,0.0,0.0,2.0
0.0,0.0,6.0,0.0,2.3,2.0,0.0,0.9,0.0,76.0,19.0,0.0,0.0,0.0,913.0,0.0,93.0,0.0,241529.0,2.0,0.0,8.0,2.0,-11655.0,6752.0,18407.0,58.0,1.0,0.0,2.0
0.0,0.0,-1.0,1.0,2.9,0.0,0.0,1.4,3.0,75.0,15.0,0.0,0.0,0.0,913.0,0.0,94.0,0.0,227158.0,0.0,0.0,8.0,3.0,-14953.0,4753.0,19706.0,58.0,0.0,0.0,3.0
