assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,7.0,0.0,17.0,2.0,0.0,3.2,10.6,90.0,4.0,0.0,0.0,0.0,54.0,0.0,1.0,0.0,268504.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,65.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,54.0,0.0,2.0,0.0,300076.0,0.0,1.0,0.0,0.0,8831.0,26457.0,17626.0,65.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,54.0,0.0,3.0,0.0,120619.0,1.0,3.0,0.0,0.0,-181427.0,2435.0,183862.0,64.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,54.0,0.0,4.0,0.0,80219.0,4.0,2.0,0.0,0.0,-40660.0,214.0,40874.0,63.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,54.0,0.0,5.0,0.0,70329.0,2.0,4.0,0.0,0.0,-9991.0,88.0,10079.0,63.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,54.0,0.0,6.0,0.0,63471.0,3.0,0.0,0.0,0.0,-6923.0,88.0,7011.0,63.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,54.0,0.0,7.0,0.0,60104.0,1.0,1.0,0.0,0.0,-3411.0,57.0,3468.0,62.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,54.0,0.0,8.0,0.0,57810.0,1.0,0.0,0.0,0.0,-2355.0,99.0,2454.0,62.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,54.0,0.0,9.0,0.0,56659.0,0.0,1.0,0.0,0.0,-1202.0,50.0,1252.0,62.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,54.0,0.0,10.0,0.0,55717.0,0.0,2.0,0.0,0.0,-978.0,30.0,1008.0,62.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,54.0,0.0,11.0,0.0,54812.0,1.0,1.0,0.0,0.0,-938.0,56.0,994.0,62.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,54.0,0.0,12.0,0.0,54055.0,2.0,3.0,0.0,0.0,-810.0,79.0,889.0,62.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,54.0,0.0,13.0,0.0,53768.0,1.0,1.0,0.0,0.0,-315.0,53.0,368.0,62.0,0.0,0.0,0.0
0.0,0.0,27.0,0.0,0.0,3.0,1.0,5.0,33.0,18.0,1.0,0.0,0.0,0.0,54.0,0.0,14.0,0.0,54352.0,5.0,1.0,17.0,5.0,515.0,841.0,326.0,61.0,1.0,0.0,5.0
0.0,0.0,3.0,0.0,1.5,0.0,0.0,0.7,3.8,28.0,9.0,0.0,0.0,0.0,54.0,0.0,15.0,0.0,61959.0,2.0,2.0,2.0,1.0,7255.0,7815.0,560.0,61.0,0.0,0.0,1.0
0.0,0.0,3.0,1.0,27.8,0.0,0.0,10.0,7.8,82.0,3.0,0.0,0.0,0.0,54.0,0.0,16.0,0.0,72309.0,0.0,1.0,64.0,2.0,10128.0,11292.0,1164.0,61.0,1.0,0.0,2.0
0.0,0.0,5.0,1.0,15.0,0.0,0.0,6.8,15.4,90.0,7.0,0.0,0.0,0.0,54.0,0.0,17.0,0.0,108160.0,0.0,1.0,38.0,2.0,35165.0,36389.0,1224.0,62.0,1.0,0.0,2.0
0.0,2.0,31.0,0.0,13.8,1.0,1.0,10.7,42.2,90.0,16.0,0.0,0.0,0.0,54.0,0.0,18.0,0.0,113570.0,4.0,1.0,51.0,8.0,4863.0,10801.0,5938.0,62.0,0.0,0.0,8.0
0.0,0.0,1.0,0.0,15.3,1.0,0.0,5.2,3.8,90.0,8.0,0.0,0.0,0.0,54.0,0.0,19.0,0.0,137139.0,0.0,1.0,33.0,2.0,22786.0,27110.0,4324.0,62.0,0.0,0.0,2.0
0.0,0.0,3.0,0.0,1.3,1.0,0.0,2.4,0.4,22.0,11.0,0.0,0.0,0.0,54.0,0.0,20.0,0.0,127647.0,2.0,0.0,22.0,1.0,-9784.0,8831.0,18615.0,62.0,1.0,0.0,1.0
0.0,0.0,20.0,1.0,4.3,0.0,1.0,9.8,34.0,90.0,5.0,0.0,0.0,0.0,54.0,0.0,21.0,0.0,113677.0,0.0,3.0,60.0,5.0,-14479.0,8308.0,22787.0,62.0,1.0,1.0,5.0
0.0,3.0,63.0,0.0,14.1,1.0,2.0,16.5,79.2,66.0,12.0,0.0,0.0,0.0,54.0,0.0,22.0,0.0,123702.0,3.0,1.0,72.0,13.0,9262.0,22135.0,12873.0,62.0,0.0,0.0,13.0
0.0,0.0,6.0,0.0,13.0,4.0,0.0,2.6,0.6,78.0,10.0,0.0,0.0,0.0,54.0,0.0,23.0,0.0,179198.0,4.0,0.0,12.0,1.0,54093.0,66410.0,12317.0,63.0,1.0,1.0,1.0
0.0,0.0,23.0,0.0,1.9,1.0,1.0,5.3,31.6,55.0,13.0,0.0,0.0,0.0,54.0,0.0,24.0,0.0,202411.0,3.0,1.0,19.0,5.0,22602.0,33847.0,11245.0,63.0,0.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,54.0,0.0,25.0,0.0,213045.0,2.0,2.0,0.0,0.0,9888.0,34949.0,25061.0,63.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,54.0,0.0,26.0,0.0,164577.0,1.0,1.0,0.0,0.0,-48855.0,8093.0,56948.0,63.0,0.0,0.0,0.0
0.0,0.0,6.0,0.0,6.8,2.0,0.0,3.2,1.8,90.0,4.0,0.0,0.0,0.0,54.0,0.0,27.0,0.0,132387.0,2.0,1.0,23.0,2.0,-32288.0,2283.0,34571.0,62.0,1.0,0.0,2.0
0.0,0.0,-1.0,0.0,12.0,3.0,0.0,3.8,2.8,90.0,2.0,0.0,0.0,0.0,54.0,0.0,28.0,0.0,216563.0,2.0,3.0,23.0,2.0,82737.0,88750.0,6013.0,63.0,0.0,0.0,2.0
1.0,0.0,15.0,0.0,47.1,3.0,0.0,18.6,40.0,90.0,8.0,0.0,0.0,0.0,54.0,0.0,29.0,0.0,199298.0,3.0,2.0,99.0,5.0,-17616.0,10107.0,27723.0,63.0,1.0,0.0,5.0
0.0,1.0,22.0,0.0,8.2,2.0,1.0,8.4,35.2,90.0,7.0,0.0,0.0,0.0,54.0,0.0,30.0,0.0,206819.0,1.0,2.0,41.0,6.0,6844.0,20118.0,13274.0,63.0,0.0,1.0,6.0
0.0,0.0,4.0,0.0,4.4,1.0,0.0,2.3,0.0,63.0,1.0,0.0,0.0,0.0,54.0,0.0,31.0,0.0,229265.0,0.0,3.0,20.0,2.0,22152.0,31268.0,9116.0,63.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,54.0,0.0,32.0,0.0,211576.0,0.0,1.0,0.0,0.0,-17881.0,14572.0,32453.0,63.0,1.0,0.0,0.0
1.0,0.0,18.0,0.0,17.3,2.0,0.0,4.7,9.6,90.0,15.0,0.0,0.0,0.0,54.0,0.0,33.0,0.0,199263.0,2.0,2.0,20.0,5.0,-12631.0,10491.0,23122.0,63.0,0.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,54.0,0.0,34.0,0.0,126003.0,0.0,0.0,0.0,0.0,-73413.0,2212.0,75625.0,61.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,54.0,0.0,35.0,0.0,105399.0,0.0,0.0,0.0,0.0,-20643.0,259.0,20902.0,60.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,54.0,0.0,36.0,0.0,97803.0,0.0,1.0,0.0,0.0,-7621.0,216.0,7837.0,60.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,54.0,0.0,37.0,0.0,93162.0,4.0,0.0,0.0,0.0,-4676.0,196.0,4872.0,59.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,54.0,0.0,38.0,0.0,89235.0,2.0,1.0,0.0,0.0,-3945.0,133.0,4078.0,59.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,54.0,0.0,39.0,0.0,4252.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,54.0,0.0,40.0,0.0,3920.0,2.0,3.0,0.0,0.0,-989.0,205.0,1194.0,60.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,54.0,0.0,41.0,0.0,3758.0,0.0,3.0,0.0,0.0,-461.0,178.0,639.0,59.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,5.5,0.0,0.0,7.1,6.8,81.0,8.0,0.0,0.0,0.0,54.0,0.0,42.0,0.0,3983.0,0.0,2.0,59.0,2.0,-140.0,429.0,569.0,59.0,1.0,0.0,2.0
0.0,0.0,5.0,1.0,1.8,0.0,0.0,3.0,0.0,81.0,19.0,0.0,0.0,0.0,54.0,0.0,43.0,0.0,10451.0,0.0,0.0,30.0,2.0,5736.0,6954.0,1218.0,59.0,0.0,0.0,2.0
0.0,0.0,-3.0,0.0,14.0,3.0,0.0,3.0,0.0,62.0,17.0,0.0,0.0,0.0,54.0,0.0,44.0,0.0,16790.0,3.0,2.0,19.0,1.0,5495.0,7978.0,2483.0,59.0,1.0,1.0,1.0
0.0,0.0,-2.0,1.0,17.5,0.0,0.0,7.6,0.0,90.0,16.0,0.0,0.0,0.0,54.0,0.0,45.0,0.0,22115.0,0.0,1.0,61.0,1.0,4625.0,8204.0,3579.0,59.0,1.0,1.0,1.0
0.0,0.0,-9.0,0.0,0.1,1.0,0.0,0.0,0.0,26.0,4.0,0.0,0.0,0.0,54.0,1.0,46.0,0.0,24607.0,1.0,1.0,4.0,-2.0,1767.0,6050.0,4283.0,59.0,0.0,0.0,-2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,54.0,0.0,47.0,0.0,13682.0,3.0,0.0,0.0,0.0,-10979.0,170.0,11149.0,59.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,54.0,0.0,48.0,0.0,14739.0,2.0,2.0,0.0,0.0,728.0,2907.0,2179.0,59.0,0.0,0.0,0.0
0.0,0.0,4.0,0.0,11.3,2.0,0.0,1.7,2.0,45.0,10.0,0.0,0.0,0.0,54.0,0.0,49.0,0.0,13313.0,4.0,1.0,4.0,1.0,-1677.0,833.0,2510.0,59.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.5,5.0,64.0,18.0,0.0,0.0,0.0,54.0,0.0,50.0,0.0,15458.0,0.0,2.0,17.0,1.0,1745.0,3297.0,1552.0,59.0,0.0,1.0,1.0
0.0,0.0,6.0,0.0,3.9,1.0,0.0,1.4,7.6,90.0,9.0,0.0,0.0,0.0,54.0,0.0,51.0,0.0,18359.0,1.0,1.0,2.0,2.0,2562.0,4396.0,1834.0,59.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,54.0,0.0,52.0,0.0,20203.0,0.0,4.0,0.0,0.0,1583.0,3653.0,2070.0,59.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,54.0,0.0,53.0,0.0,13992.0,1.0,2.0,0.0,0.0,-6260.0,172.0,6432.0,59.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,54.0,0.0,54.0,0.0,11690.0,0.0,1.0,0.0,0.0,-2364.0,166.0,2530.0,59.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,0.0,55.0,0.0,11197.0,0.0,0.0,0.0,0.0,-604.0,272.0,876.0,59.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,54.0,0.0,56.0,0.0,10778.0,3.0,0.0,0.0,0.0,-554.0,257.0,811.0,58.0,0.0,0.0,0.0
1.0,0.0,13.0,0.0,12.7,1.0,0.0,7.6,6.4,31.0,13.0,0.0,0.0,0.0,54.0,0.0,57.0,0.0,10831.0,3.0,2.0,57.0,4.0,-144.0,735.0,879.0,58.0,1.0,0.0,4.0
0.0,0.0,5.0,0.0,1.5,1.0,0.0,1.6,7.8,30.0,2.0,0.0,0.0,0.0,54.0,0.0,58.0,0.0,12815.0,3.0,3.0,7.0,1.0,1774.0,2354.0,580.0,58.0,0.0,0.0,1.0
0.0,0.0,-1.0,0.0,0.3,0.0,0.0,0.1,0.2,5.0,17.0,0.0,0.0,0.0,54.0,0.0,60.0,0.0,16413.0,1.0,1.0,0.0,0.0,3820.0,5084.0,1264.0,58.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,54.0,0.0,61.0,0.0,49931.0,4.0,1.0,0.0,0.0,31975.0,45769.0,13794.0,58.0,0.0,0.0,0.0
