assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,2.0,0.0,3.8,0.0,0.0,0.5,0.8,3.0,5.0,0.0,0.0,0.0,57.0,0.0,38.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,45.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,0.3,1.0,0.0,2.3,5.2,9.0,10.0,0.0,0.0,0.0,57.0,0.0,95.0,0.0,0.0,1.0,3.0,17.0,1.0,0.0,0.0,0.0,50.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,57.0,0.0,96.0,0.0,46.0,1.0,4.0,0.0,0.0,38.0,48.0,10.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,57.0,0.0,97.0,0.0,67.0,2.0,0.0,0.0,0.0,12.0,48.0,36.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,57.0,0.0,98.0,0.0,123.0,1.0,0.0,0.0,0.0,11.0,57.0,46.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,57.0,0.0,99.0,0.0,139.0,1.0,2.0,0.0,0.0,-3.0,35.0,38.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,57.0,0.0,100.0,0.0,170.0,2.0,2.0,0.0,0.0,4.0,32.0,28.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,57.0,0.0,101.0,0.0,173.0,1.0,0.0,0.0,0.0,-3.0,17.0,20.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,57.0,0.0,102.0,0.0,204.0,3.0,0.0,0.0,0.0,10.0,32.0,22.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,57.0,0.0,103.0,0.0,240.0,0.0,0.0,0.0,0.0,-1.0,43.0,44.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,57.0,0.0,104.0,0.0,318.0,3.0,1.0,0.0,0.0,70.0,86.0,16.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,57.0,0.0,105.0,0.0,320.0,2.0,3.0,0.0,0.0,-2.0,57.0,59.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,0.0,106.0,0.0,335.0,0.0,2.0,0.0,0.0,-10.0,31.0,41.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,57.0,0.0,108.0,0.0,348.0,1.0,2.0,0.0,0.0,-8.0,16.0,24.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,57.0,0.0,110.0,0.0,372.0,1.0,2.0,0.0,0.0,-6.0,12.0,18.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,57.0,0.0,111.0,0.0,382.0,2.0,0.0,0.0,0.0,-3.0,19.0,22.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,57.0,0.0,112.0,0.0,394.0,1.0,1.0,0.0,0.0,1.0,19.0,18.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,57.0,0.0,113.0,0.0,410.0,1.0,1.0,0.0,0.0,9.0,21.0,12.0,50.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.3,0.0,16.0,5.0,0.0,0.0,0.0,57.0,0.0,114.0,0.0,722.0,2.0,0.0,1.0,1.0,275.0,306.0,31.0,50.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,57.0,0.0,115.0,0.0,7553.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,57.0,0.0,116.0,0.0,7938.0,1.0,1.0,0.0,0.0,-1165.0,675.0,1840.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,57.0,0.0,117.0,0.0,7308.0,2.0,1.0,0.0,0.0,-1007.0,324.0,1331.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,57.0,0.0,118.0,0.0,7333.0,1.0,1.0,0.0,0.0,-455.0,684.0,1139.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,57.0,0.0,119.0,0.0,7559.0,0.0,1.0,0.0,0.0,-236.0,900.0,1136.0,49.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.1,0.2,9.0,19.0,0.0,0.0,0.0,57.0,0.0,120.0,0.0,7408.0,0.0,2.0,0.0,1.0,-345.0,357.0,702.0,49.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,0.0,121.0,0.0,7037.0,1.0,1.0,0.0,0.0,-529.0,240.0,769.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,57.0,0.0,122.0,0.0,6657.0,0.0,1.0,0.0,0.0,-453.0,86.0,539.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,57.0,0.0,123.0,0.0,6702.0,1.0,1.0,0.0,0.0,-105.0,194.0,299.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,57.0,0.0,124.0,0.0,6765.0,3.0,1.0,0.0,0.0,-7.0,190.0,197.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,57.0,0.0,125.0,0.0,6789.0,0.0,1.0,0.0,0.0,-79.0,254.0,333.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,57.0,0.0,126.0,0.0,6657.0,1.0,3.0,0.0,0.0,-213.0,138.0,351.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,57.0,0.0,127.0,0.0,6296.0,3.0,3.0,0.0,0.0,-381.0,40.0,421.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,57.0,0.0,128.0,0.0,6375.0,2.0,2.0,0.0,0.0,-3.0,151.0,154.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,57.0,0.0,129.0,0.0,6372.0,1.0,2.0,0.0,0.0,-41.0,84.0,125.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,57.0,0.0,130.0,0.0,6394.0,2.0,1.0,0.0,0.0,-24.0,96.0,120.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,57.0,0.0,131.0,0.0,6449.0,1.0,1.0,0.0,0.0,-44.0,177.0,221.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,57.0,0.0,132.0,0.0,6493.0,0.0,2.0,0.0,0.0,-38.0,143.0,181.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,57.0,0.0,133.0,0.0,6475.0,1.0,4.0,0.0,0.0,-76.0,66.0,142.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,57.0,0.0,134.0,0.0,6473.0,2.0,0.0,0.0,0.0,-42.0,67.0,109.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,0.0,135.0,0.0,6465.0,0.0,2.0,0.0,0.0,-63.0,91.0,154.0,48.0,0.0,0.0,0.0
