assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
2.0,3.0,35.0,0.0,37.3,1.0,0.0,10.4,38.8,84.0,2.0,0.0,0.0,0.0,60.0,0.0,1.0,0.0,213574.0,3.0,1.0,28.0,11.0,0.0,0.0,0.0,95.0,0.0,0.0,11.0
0.0,0.0,4.0,1.0,6.4,0.0,0.0,4.0,4.8,81.0,13.0,0.0,0.0,0.0,60.0,0.0,2.0,0.0,318520.0,0.0,2.0,29.0,3.0,46203.0,55411.0,9208.0,95.0,1.0,0.0,3.0
0.0,0.0,2.0,0.0,28.0,0.0,0.0,3.9,5.6,59.0,7.0,0.0,0.0,0.0,60.0,0.0,3.0,0.0,322896.0,1.0,0.0,5.0,1.0,-10613.0,31992.0,42605.0,95.0,0.0,0.0,1.0
0.0,0.0,4.0,0.0,0.5,0.0,0.0,0.8,1.0,10.0,10.0,0.0,0.0,0.0,60.0,0.0,4.0,0.0,258098.0,2.0,1.0,6.0,1.0,-68198.0,4692.0,72890.0,95.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,1.8,1.0,0.0,0.1,0.0,37.0,18.0,0.0,0.0,0.0,60.0,0.0,5.0,0.0,205326.0,1.0,3.0,0.0,1.0,-53699.0,646.0,54345.0,94.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,60.0,0.0,6.0,0.0,141671.0,1.0,4.0,0.0,0.0,-63924.0,198.0,64122.0,93.0,1.0,0.0,0.0
0.0,0.0,22.0,0.0,15.7,1.0,1.0,7.6,37.2,24.0,14.0,0.0,0.0,0.0,60.0,0.0,7.0,0.0,125926.0,1.0,1.0,23.0,6.0,-15892.0,185.0,16077.0,93.0,1.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,60.0,0.0,8.0,0.0,123700.0,0.0,0.0,0.0,0.0,-3033.0,1045.0,4078.0,93.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,23.5,1.0,0.0,2.8,2.6,26.0,4.0,0.0,0.0,0.0,60.0,0.0,9.0,0.0,119737.0,0.0,4.0,2.0,1.0,-4264.0,247.0,4511.0,93.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,60.0,0.0,10.0,0.0,116498.0,0.0,0.0,0.0,0.0,-3556.0,386.0,3942.0,93.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,60.0,0.0,11.0,0.0,112120.0,3.0,1.0,0.0,0.0,-4594.0,161.0,4755.0,93.0,0.0,0.0,0.0
0.0,0.0,8.0,1.0,1.7,0.0,0.0,4.7,12.0,62.0,1.0,0.0,0.0,0.0,60.0,0.0,12.0,0.0,110375.0,1.0,1.0,33.0,3.0,-2620.0,246.0,2866.0,93.0,1.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,60.0,0.0,13.0,0.0,109619.0,1.0,1.0,0.0,0.0,-1117.0,121.0,1238.0,93.0,1.0,0.0,0.0
1.0,0.0,21.0,1.0,32.3,0.0,0.0,9.0,25.2,82.0,6.0,0.0,0.0,0.0,60.0,0.0,14.0,0.0,110326.0,1.0,1.0,32.0,6.0,246.0,1353.0,1107.0,93.0,0.0,0.0,6.0
