assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1103.0,0.0,115.0,0.0,4272.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1103.0,0.0,116.0,0.0,3378.0,2.0,1.0,0.0,0.0,-1404.0,120.0,1524.0,60.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1103.0,0.0,117.0,0.0,2384.0,3.0,1.0,0.0,0.0,-1049.0,23.0,1072.0,59.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1103.0,0.0,118.0,0.0,1914.0,1.0,3.0,0.0,0.0,-496.0,16.0,512.0,59.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1103.0,0.0,119.0,0.0,1667.0,1.0,3.0,0.0,0.0,-268.0,14.0,282.0,58.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1103.0,0.0,120.0,0.0,1581.0,3.0,1.0,0.0,0.0,-97.0,11.0,108.0,58.0,0.0,0.0,0.0
0.0,0.0,4.0,0.0,0.3,0.0,0.0,0.5,4.8,13.0,19.0,0.0,0.0,0.0,1103.0,0.0,121.0,0.0,1581.0,2.0,2.0,0.0,1.0,-50.0,37.0,87.0,58.0,1.0,0.0,1.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.7,0.4,11.0,1.0,0.0,0.0,0.0,1103.0,0.0,122.0,0.0,1695.0,0.0,1.0,7.0,1.0,-1.0,74.0,75.0,58.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.6,0.0,0.0,2.9,2.2,21.0,14.0,0.0,0.0,0.0,1103.0,0.0,123.0,0.0,1807.0,0.0,0.0,26.0,1.0,13.0,73.0,60.0,58.0,1.0,0.0,1.0
0.0,0.0,1.0,1.0,13.1,0.0,0.0,4.2,7.4,60.0,18.0,0.0,0.0,0.0,1103.0,0.0,124.0,0.0,1888.0,0.0,0.0,21.0,3.0,7.0,49.0,42.0,58.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1103.0,0.0,125.0,0.0,1998.0,0.0,1.0,0.0,0.0,22.0,90.0,68.0,58.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,0.6,0.0,0.0,0.6,1.4,12.0,13.0,0.0,0.0,0.0,1103.0,0.0,126.0,0.0,2069.0,1.0,2.0,4.0,1.0,-12.0,60.0,72.0,58.0,0.0,0.0,1.0
0.0,0.0,7.0,0.0,15.0,0.0,0.0,2.7,8.0,45.0,20.0,0.0,0.0,0.0,1103.0,0.0,127.0,0.0,2184.0,2.0,1.0,4.0,1.0,-13.0,77.0,90.0,58.0,1.0,0.0,1.0
1.0,0.0,24.0,0.0,3.4,3.0,0.0,5.2,18.2,90.0,17.0,0.0,0.0,0.0,1103.0,0.0,128.0,0.0,2205.0,2.0,3.0,30.0,5.0,-33.0,41.0,74.0,58.0,0.0,0.0,5.0
0.0,0.0,8.0,1.0,5.6,0.0,0.0,1.2,0.8,63.0,7.0,0.0,0.0,0.0,1103.0,0.0,129.0,0.0,2300.0,0.0,1.0,6.0,3.0,48.0,88.0,40.0,58.0,0.0,0.0,3.0
0.0,0.0,6.0,0.0,1.2,3.0,0.0,2.5,2.2,90.0,10.0,0.0,0.0,0.0,1103.0,0.0,130.0,0.0,2366.0,3.0,0.0,22.0,2.0,12.0,79.0,67.0,58.0,1.0,0.0,2.0
