assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,4.0,0.0,14.8,0.0,0.0,1.9,2.4,23.0,17.0,0.0,0.0,0.0,63.0,0.0,1.0,0.0,69694.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,55.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,63.0,0.0,2.0,0.0,70220.0,2.0,1.0,0.0,0.0,-6997.0,2327.0,9324.0,55.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,2.3,0.0,0.0,1.8,2.2,21.0,14.0,0.0,0.0,0.0,63.0,0.0,3.0,0.0,59322.0,0.0,1.0,13.0,1.0,-13369.0,2267.0,15636.0,54.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,0.1,0.0,0.0,0.9,2.2,2.0,15.0,0.0,0.0,0.0,63.0,0.0,4.0,0.0,53774.0,3.0,0.0,7.0,1.0,-7074.0,1735.0,8809.0,54.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,63.0,0.0,5.0,0.0,50446.0,1.0,3.0,0.0,0.0,-4036.0,1303.0,5339.0,53.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,63.0,0.0,6.0,0.0,46914.0,0.0,1.0,0.0,0.0,-4282.0,1575.0,5857.0,53.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,63.0,0.0,7.0,0.0,44195.0,1.0,1.0,0.0,0.0,-3115.0,881.0,3996.0,52.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,63.0,0.0,8.0,0.0,42189.0,1.0,1.0,0.0,0.0,-2551.0,636.0,3187.0,52.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,63.0,0.0,9.0,0.0,40941.0,1.0,2.0,0.0,0.0,-1506.0,477.0,1983.0,52.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,63.0,0.0,10.0,0.0,40131.0,0.0,2.0,0.0,0.0,-1102.0,545.0,1647.0,51.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,63.0,0.0,11.0,0.0,37838.0,0.0,5.0,0.0,0.0,-2458.0,435.0,2893.0,51.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,63.0,0.0,12.0,0.0,35286.0,1.0,1.0,0.0,0.0,-2641.0,86.0,2727.0,51.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,63.0,0.0,13.0,0.0,34227.0,0.0,1.0,0.0,0.0,-1104.0,29.0,1133.0,51.0,0.0,0.0,0.0
