assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1109.0,0.0,127.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1109.0,0.0,128.0,0.0,103.0,1.0,2.0,0.0,0.0,51.0,74.0,23.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1109.0,0.0,129.0,0.0,152.0,0.0,2.0,0.0,0.0,23.0,46.0,23.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1109.0,0.0,130.0,0.0,173.0,0.0,0.0,0.0,0.0,4.0,39.0,35.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1109.0,0.0,131.0,0.0,221.0,0.0,2.0,0.0,0.0,10.0,43.0,33.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1109.0,0.0,132.0,0.0,266.0,0.0,2.0,0.0,0.0,-1.0,39.0,40.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1109.0,0.0,133.0,0.0,355.0,1.0,1.0,0.0,0.0,49.0,74.0,25.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1109.0,0.0,134.0,0.0,414.0,0.0,3.0,0.0,0.0,46.0,88.0,42.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1109.0,0.0,135.0,0.0,422.0,1.0,2.0,0.0,0.0,-1.0,85.0,86.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1109.0,0.0,136.0,0.0,445.0,3.0,0.0,0.0,0.0,-9.0,50.0,59.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1109.0,0.0,137.0,0.0,513.0,0.0,0.0,0.0,0.0,21.0,71.0,50.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1109.0,0.0,138.0,0.0,583.0,1.0,2.0,0.0,0.0,37.0,78.0,41.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1109.0,0.0,139.0,0.0,606.0,3.0,2.0,0.0,0.0,0.0,55.0,55.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1109.0,0.0,140.0,0.0,631.0,1.0,1.0,0.0,0.0,21.0,45.0,24.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1109.0,0.0,141.0,0.0,659.0,0.0,3.0,0.0,0.0,0.0,52.0,52.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1109.0,0.0,142.0,0.0,870.0,0.0,3.0,0.0,0.0,53.0,94.0,41.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1109.0,0.0,143.0,0.0,751.0,0.0,1.0,0.0,0.0,13.0,42.0,29.0,45.0,0.0,0.0,0.0
