assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,79.0,0.0,1.0,0.0,7461.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,79.0,0.0,2.0,0.0,7707.0,0.0,2.0,0.0,0.0,-1348.0,156.0,1504.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,79.0,0.0,3.0,0.0,6813.0,1.0,0.0,0.0,0.0,-1333.0,102.0,1435.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,79.0,0.0,4.0,0.0,6315.0,2.0,1.0,0.0,0.0,-838.0,90.0,928.0,53.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,79.0,0.0,5.0,0.0,6065.0,1.0,3.0,0.0,0.0,-409.0,21.0,430.0,53.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,79.0,0.0,6.0,0.0,5920.0,1.0,4.0,0.0,0.0,-316.0,41.0,357.0,52.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,79.0,0.0,7.0,0.0,5838.0,1.0,1.0,0.0,0.0,-185.0,37.0,222.0,52.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,79.0,0.0,8.0,0.0,5823.0,0.0,0.0,0.0,0.0,-155.0,39.0,194.0,52.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,79.0,0.0,9.0,0.0,5798.0,0.0,4.0,0.0,0.0,-93.0,25.0,118.0,52.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,79.0,0.0,10.0,0.0,5777.0,0.0,0.0,0.0,0.0,-93.0,27.0,120.0,52.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,79.0,0.0,11.0,0.0,5773.0,3.0,1.0,0.0,0.0,-66.0,106.0,172.0,51.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,79.0,0.0,12.0,0.0,5699.0,1.0,1.0,0.0,0.0,-135.0,39.0,174.0,51.0,1.0,0.0,0.0
