assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,82.0,0.0,1.0,0.0,9018.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,82.0,0.0,2.0,0.0,9690.0,0.0,1.0,0.0,0.0,-905.0,147.0,1052.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,82.0,0.0,3.0,0.0,9082.0,1.0,1.0,0.0,0.0,-1110.0,130.0,1240.0,49.0,1.0,0.0,0.0
0.0,0.0,24.0,1.0,12.9,0.0,0.0,4.4,19.4,90.0,14.0,0.0,0.0,0.0,82.0,0.0,4.0,0.0,9200.0,4.0,0.0,12.0,6.0,-278.0,810.0,1088.0,49.0,0.0,0.0,6.0
0.0,0.0,1.0,0.0,0.9,0.0,0.0,0.3,2.4,14.0,15.0,0.0,0.0,0.0,82.0,0.0,5.0,0.0,11649.0,0.0,1.0,0.0,0.0,1860.0,2357.0,497.0,49.0,1.0,1.0,0.0
0.0,0.0,10.0,0.0,13.6,1.0,0.0,2.6,12.4,90.0,12.0,0.0,0.0,0.0,82.0,0.0,6.0,0.0,11276.0,2.0,1.0,0.0,2.0,-772.0,677.0,1449.0,49.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,82.0,0.0,7.0,0.0,11543.0,0.0,2.0,0.0,0.0,-72.0,672.0,744.0,49.0,1.0,0.0,0.0
0.0,0.0,21.0,0.0,15.0,1.0,0.0,8.6,26.2,90.0,19.0,0.0,0.0,0.0,82.0,0.0,8.0,0.0,11234.0,1.0,1.0,45.0,2.0,-647.0,388.0,1035.0,49.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,82.0,0.0,9.0,0.0,11766.0,0.0,0.0,0.0,0.0,335.0,745.0,410.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,82.0,0.0,10.0,0.0,11191.0,1.0,1.0,0.0,0.0,-721.0,167.0,888.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,82.0,0.0,11.0,0.0,10303.0,1.0,1.0,0.0,0.0,-998.0,124.0,1122.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,82.0,0.0,12.0,0.0,9163.0,2.0,3.0,0.0,0.0,-1168.0,26.0,1194.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,82.0,0.0,13.0,0.0,8724.0,1.0,2.0,0.0,0.0,-444.0,12.0,456.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,82.0,0.0,14.0,0.0,8343.0,0.0,5.0,0.0,0.0,-392.0,13.0,405.0,47.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,82.0,0.0,15.0,0.0,8166.0,0.0,1.0,0.0,0.0,-198.0,39.0,237.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,82.0,0.0,16.0,0.0,8204.0,0.0,3.0,0.0,0.0,-8.0,71.0,79.0,47.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,11.2,0.0,0.0,2.2,2.0,14.0,3.0,0.0,0.0,0.0,82.0,0.0,17.0,0.0,8158.0,1.0,2.0,9.0,1.0,-77.0,57.0,134.0,47.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,82.0,0.0,18.0,0.0,8186.0,4.0,1.0,0.0,0.0,-30.0,105.0,135.0,47.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,1.8,1.0,0.0,0.3,1.6,23.0,18.0,0.0,0.0,0.0,82.0,0.0,19.0,0.0,8346.0,4.0,1.0,0.0,1.0,107.0,233.0,126.0,47.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,82.0,0.0,20.0,0.0,8286.0,0.0,2.0,0.0,0.0,-95.0,85.0,180.0,47.0,1.0,0.0,0.0
0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.9,7.4,27.0,19.0,0.0,0.0,0.0,82.0,0.0,21.0,0.0,8276.0,0.0,4.0,0.0,1.0,-101.0,127.0,228.0,47.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,82.0,0.0,22.0,0.0,9416.0,2.0,2.0,0.0,0.0,1051.0,1341.0,290.0,47.0,0.0,0.0,0.0
