assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,18.0,0.0,0.1,4.0,0.0,3.1,23.8,90.0,10.0,0.0,0.0,0.0,1106.0,0.0,115.0,0.0,13966.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
0.0,0.0,18.0,0.0,0.3,1.0,0.0,1.8,17.8,90.0,13.0,0.0,0.0,0.0,1106.0,0.0,116.0,0.0,14605.0,1.0,3.0,0.0,2.0,-1009.0,626.0,1635.0,45.0,1.0,0.0,2.0
0.0,0.0,19.0,0.0,0.4,3.0,0.0,3.6,29.6,90.0,6.0,0.0,0.0,0.0,1106.0,0.0,117.0,0.0,14814.0,3.0,2.0,6.0,1.0,-556.0,826.0,1382.0,45.0,1.0,0.0,1.0
0.0,0.0,15.0,0.0,1.4,2.0,0.0,2.0,18.2,90.0,19.0,0.0,0.0,0.0,1106.0,0.0,118.0,0.0,16859.0,0.0,2.0,0.0,1.0,910.0,2356.0,1446.0,45.0,0.0,0.0,1.0
0.0,0.0,17.0,0.0,0.0,2.0,0.0,3.3,32.6,90.0,11.0,0.0,0.0,0.0,1106.0,0.0,119.0,0.0,15849.0,2.0,3.0,0.0,1.0,-1371.0,814.0,2185.0,45.0,1.0,0.0,1.0
0.0,0.0,16.0,0.0,0.4,2.0,0.0,1.4,14.0,90.0,5.0,0.0,0.0,0.0,1106.0,0.0,120.0,0.0,18076.0,0.0,2.0,0.0,1.0,1366.0,2446.0,1080.0,45.0,0.0,0.0,1.0
0.0,0.0,18.0,0.0,2.3,2.0,0.0,2.8,25.6,90.0,7.0,0.0,0.0,0.0,1106.0,0.0,121.0,0.0,18107.0,0.0,2.0,0.0,1.0,-291.0,1105.0,1396.0,45.0,0.0,0.0,1.0
0.0,0.0,13.0,0.0,0.5,5.0,0.0,2.3,21.0,90.0,2.0,0.0,0.0,0.0,1106.0,0.0,122.0,0.0,18977.0,5.0,1.0,1.0,0.0,415.0,1513.0,1098.0,45.0,1.0,0.0,0.0
0.0,0.0,7.0,0.0,0.2,0.0,0.0,1.0,9.6,49.0,3.0,0.0,0.0,0.0,1106.0,0.0,123.0,0.0,16270.0,0.0,0.0,0.0,1.0,-2543.0,127.0,2670.0,45.0,0.0,0.0,1.0
0.0,0.0,15.0,0.0,0.4,3.0,0.0,1.3,12.4,90.0,12.0,0.0,0.0,0.0,1106.0,0.0,124.0,0.0,15398.0,3.0,1.0,0.0,0.0,-983.0,38.0,1021.0,45.0,1.0,1.0,0.0
