assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,96.0,0.0,1.0,0.0,3763.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,96.0,0.0,2.0,0.0,2936.0,2.0,0.0,0.0,0.0,-1074.0,393.0,1467.0,70.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,96.0,0.0,3.0,0.0,2005.0,1.0,2.0,0.0,0.0,-983.0,101.0,1084.0,70.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,96.0,0.0,4.0,0.0,1730.0,2.0,2.0,0.0,0.0,-365.0,265.0,630.0,69.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,0.0,0.0,0.0,96.0,0.0,5.0,0.0,1550.0,0.0,1.0,0.0,1.0,-200.0,87.0,287.0,69.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0,1.3,0.0,0.0,0.6,0.0,12.0,10.0,0.0,0.0,0.0,96.0,0.0,6.0,0.0,1581.0,3.0,1.0,8.0,1.0,-16.0,196.0,212.0,69.0,1.0,0.0,1.0
1.0,0.0,7.0,0.0,6.8,2.0,0.0,2.3,6.4,90.0,9.0,0.0,0.0,0.0,96.0,0.0,7.0,0.0,1513.0,2.0,1.0,10.0,5.0,-102.0,76.0,178.0,69.0,1.0,0.0,5.0
0.0,1.0,25.0,0.0,0.0,0.0,1.0,5.1,32.0,31.0,1.0,0.0,0.0,0.0,96.0,0.0,8.0,0.0,1929.0,2.0,3.0,19.0,6.0,312.0,434.0,122.0,69.0,0.0,0.0,6.0
0.0,0.0,6.0,1.0,15.8,0.0,0.0,3.7,1.0,90.0,18.0,0.0,0.0,0.0,96.0,0.0,9.0,0.0,5174.0,0.0,0.0,20.0,2.0,3065.0,3347.0,282.0,69.0,1.0,0.0,2.0
0.0,0.0,3.0,0.0,2.8,1.0,0.0,4.7,3.4,29.0,14.0,0.0,0.0,0.0,96.0,0.0,10.0,0.0,4861.0,1.0,3.0,41.0,1.0,-413.0,590.0,1003.0,69.0,0.0,0.0,1.0
