assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,97.0,0.0,1.0,0.0,29989.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,14.0,0.0,0.0,1.0,0.0,2.6,26.4,90.0,15.0,0.0,0.0,0.0,97.0,0.0,2.0,4.0,28587.0,2.0,1.0,0.0,3.0,-2804.0,125.0,2929.0,45.0,0.0,0.0,3.0
0.0,0.0,26.0,1.0,0.0,0.0,0.0,1.4,13.6,90.0,19.0,0.0,0.0,0.0,97.0,0.0,3.0,2.0,31396.0,0.0,0.0,0.0,6.0,1111.0,3209.0,2098.0,45.0,0.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,97.0,0.0,4.0,0.0,34839.0,2.0,1.0,0.0,0.0,1526.0,3883.0,2357.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,97.0,0.0,5.0,0.0,33543.0,1.0,3.0,0.0,0.0,-1748.0,480.0,2228.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,97.0,0.0,6.0,0.0,31271.0,2.0,1.0,0.0,0.0,-2560.0,349.0,2909.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,97.0,0.0,7.0,0.0,29813.0,1.0,1.0,0.0,0.0,-1581.0,165.0,1746.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,97.0,0.0,8.0,0.0,28334.0,1.0,0.0,0.0,0.0,-1598.0,81.0,1679.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,97.0,0.0,9.0,0.0,27336.0,0.0,0.0,0.0,0.0,-1066.0,46.0,1112.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,97.0,0.0,10.0,0.0,26565.0,0.0,2.0,0.0,0.0,-849.0,64.0,913.0,44.0,1.0,0.0,0.0
