assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,101.0,0.0,1.0,0.0,8273.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,101.0,0.0,2.0,0.0,8091.0,2.0,1.0,0.0,0.0,-825.0,90.0,552.0,45.0,1.0,0.0,0.0
0.0,0.0,25.0,1.0,16.3,0.0,0.0,5.8,20.6,90.0,12.0,0.0,0.0,0.0,101.0,0.0,3.0,0.0,7827.0,0.0,0.0,21.0,6.0,-347.0,351.0,698.0,45.0,1.0,0.0,6.0
0.0,0.0,13.0,0.0,1.8,1.0,0.0,1.6,12.4,90.0,2.0,0.0,0.0,0.0,101.0,0.0,4.0,0.0,12602.0,0.0,1.0,2.0,2.0,4127.0,6021.0,1894.0,45.0,0.0,0.0,2.0
0.0,0.0,6.0,0.0,0.3,2.0,0.0,0.1,0.0,67.0,20.0,0.0,0.0,0.0,101.0,0.0,5.0,0.0,14344.0,2.0,4.0,2.0,1.0,1513.0,2113.0,600.0,45.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,101.0,0.0,6.0,0.0,15948.0,1.0,1.0,0.0,0.0,1324.0,2374.0,1050.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,101.0,0.0,7.0,0.0,15288.0,1.0,1.0,0.0,0.0,-727.0,363.0,1090.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,101.0,0.0,8.0,0.0,13936.0,1.0,1.0,0.0,0.0,-1421.0,139.0,1560.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,101.0,0.0,9.0,0.0,12520.0,1.0,2.0,0.0,0.0,-1446.0,112.0,1558.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,101.0,0.0,10.0,0.0,11346.0,4.0,0.0,0.0,0.0,-1207.0,63.0,1270.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,101.0,0.0,11.0,0.0,10736.0,2.0,1.0,0.0,0.0,-655.0,184.0,839.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,101.0,0.0,12.0,0.0,10388.0,0.0,4.0,0.0,0.0,-438.0,323.0,761.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,101.0,0.0,13.0,0.0,9947.0,1.0,1.0,0.0,0.0,-467.0,111.0,578.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,101.0,0.0,14.0,0.0,9668.0,1.0,3.0,0.0,0.0,-325.0,142.0,467.0,41.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,101.0,0.0,15.0,0.0,9906.0,0.0,1.0,0.0,0.0,61.0,431.0,370.0,41.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,101.0,0.0,16.0,0.0,10018.0,1.0,3.0,0.0,0.0,-3.0,286.0,289.0,41.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,101.0,0.0,17.0,0.0,9896.0,2.0,0.0,0.0,0.0,-211.0,150.0,361.0,41.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,101.0,0.0,18.0,0.0,9906.0,0.0,1.0,0.0,0.0,-148.0,170.0,318.0,41.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,101.0,0.0,19.0,0.0,9857.0,2.0,1.0,0.0,0.0,-154.0,173.0,327.0,41.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,101.0,0.0,20.0,0.0,9889.0,1.0,3.0,0.0,0.0,-37.0,392.0,429.0,41.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,101.0,0.0,21.0,0.0,9907.0,0.0,4.0,0.0,0.0,-198.0,583.0,781.0,41.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,101.0,0.0,22.0,0.0,10034.0,0.0,2.0,0.0,0.0,-24.0,358.0,382.0,41.0,1.0,0.0,0.0
