assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,103.0,0.0,1.0,0.0,1638.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,103.0,0.0,2.0,0.0,1379.0,2.0,1.0,0.0,0.0,-308.0,10.0,318.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,103.0,0.0,3.0,0.0,1201.0,3.0,1.0,0.0,0.0,-195.0,18.0,213.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,103.0,0.0,4.0,0.0,1038.0,4.0,2.0,0.0,0.0,-176.0,17.0,193.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,103.0,0.0,5.0,0.0,958.0,1.0,3.0,0.0,0.0,-86.0,2.0,88.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,103.0,0.0,6.0,0.0,889.0,0.0,2.0,0.0,0.0,-69.0,8.0,77.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,103.0,0.0,7.0,0.0,849.0,2.0,2.0,0.0,0.0,-40.0,7.0,47.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,103.0,0.0,8.0,0.0,825.0,1.0,0.0,0.0,0.0,-26.0,2.0,28.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,103.0,0.0,9.0,0.0,799.0,0.0,0.0,0.0,0.0,-28.0,3.0,31.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,103.0,0.0,10.0,0.0,792.0,0.0,1.0,0.0,0.0,-8.0,2.0,10.0,44.0,1.0,0.0,0.0
