assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,105.0,0.0,1.0,0.0,5275.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,105.0,0.0,2.0,0.0,5210.0,2.0,1.0,0.0,0.0,-475.0,87.0,562.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,105.0,0.0,3.0,0.0,4893.0,0.0,1.0,0.0,0.0,-489.0,154.0,643.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,105.0,0.0,4.0,0.0,6302.0,3.0,0.0,0.0,0.0,581.0,1662.0,1081.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,105.0,0.0,5.0,0.0,6157.0,1.0,3.0,0.0,0.0,-295.0,255.0,550.0,44.0,1.0,0.0,0.0
0.0,0.0,8.0,0.0,3.3,1.0,0.0,1.3,9.4,90.0,2.0,0.0,0.0,0.0,105.0,0.0,6.0,0.0,5757.0,0.0,1.0,0.0,1.0,-471.0,147.0,618.0,44.0,0.0,1.0,1.0
0.0,0.0,11.0,0.0,2.0,1.0,0.0,1.7,14.6,80.0,5.0,0.0,0.0,0.0,105.0,0.0,7.0,0.0,5718.0,1.0,1.0,0.0,1.0,-86.0,225.0,311.0,44.0,1.0,1.0,1.0
0.0,0.0,17.0,0.0,0.5,1.0,0.0,2.2,21.2,90.0,10.0,0.0,0.0,0.0,105.0,0.0,8.0,0.0,5744.0,1.0,1.0,0.0,2.0,-43.0,192.0,235.0,44.0,0.0,0.0,2.0
0.0,0.0,15.0,0.0,24.6,2.0,0.0,3.6,11.8,90.0,3.0,0.0,0.0,0.0,105.0,0.0,9.0,0.0,5845.0,1.0,2.0,0.0,2.0,40.0,286.0,246.0,44.0,0.0,0.0,2.0
0.0,0.0,11.0,1.0,12.0,0.0,0.0,2.9,17.0,90.0,20.0,0.0,0.0,0.0,105.0,0.0,10.0,0.0,6010.0,0.0,2.0,0.0,2.0,96.0,350.0,254.0,43.0,1.0,1.0,2.0
