assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,931.0,0.0,94.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,931.0,0.0,95.0,0.0,96.0,1.0,1.0,0.0,0.0,52.0,73.0,21.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,931.0,0.0,96.0,0.0,167.0,1.0,5.0,0.0,0.0,29.0,65.0,36.0,45.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,931.0,0.0,97.0,0.0,234.0,1.0,4.0,0.0,1.0,25.0,74.0,49.0,45.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,931.0,0.0,98.0,0.0,426.0,0.0,1.0,0.0,0.0,71.0,167.0,96.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,931.0,0.0,99.0,0.0,451.0,0.0,2.0,0.0,0.0,-11.0,82.0,93.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,931.0,0.0,100.0,0.0,525.0,1.0,2.0,0.0,0.0,18.0,95.0,77.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,931.0,0.0,101.0,0.0,562.0,1.0,3.0,0.0,0.0,15.0,46.0,31.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,931.0,0.0,102.0,0.0,612.0,2.0,1.0,0.0,0.0,11.0,98.0,87.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,931.0,0.0,103.0,0.0,714.0,0.0,2.0,0.0,0.0,32.0,92.0,60.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,931.0,0.0,104.0,0.0,725.0,1.0,5.0,0.0,0.0,3.0,36.0,33.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,931.0,0.0,105.0,0.0,748.0,1.0,1.0,0.0,0.0,14.0,48.0,34.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,931.0,0.0,106.0,0.0,774.0,0.0,2.0,0.0,0.0,6.0,51.0,45.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,931.0,0.0,108.0,0.0,868.0,0.0,2.0,0.0,0.0,21.0,70.0,49.0,45.0,1.0,0.0,0.0
