assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,10.0,0.0,11.3,1.0,0.0,3.7,7.4,62.0,2.0,0.0,0.0,0.0,930.0,0.0,77.0,0.0,8529.0,0.0,2.0,18.0,2.0,0.0,0.0,0.0,55.0,0.0,0.0,2.0
0.0,0.0,4.0,0.0,10.8,0.0,0.0,3.1,2.2,7.0,15.0,0.0,0.0,0.0,930.0,0.0,78.0,0.0,8254.0,0.0,0.0,18.0,1.0,-951.0,153.0,1104.0,55.0,1.0,0.0,1.0
0.0,0.0,15.0,1.0,25.9,0.0,0.0,4.9,18.6,80.0,10.0,0.0,0.0,0.0,930.0,0.0,79.0,0.0,6738.0,0.0,0.0,4.0,3.0,-1661.0,89.0,1750.0,54.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,930.0,0.0,80.0,0.0,6112.0,3.0,2.0,0.0,0.0,-778.0,143.0,921.0,54.0,1.0,0.0,0.0
0.0,0.0,5.0,0.0,1.0,2.0,0.0,2.3,5.0,19.0,6.0,0.0,0.0,0.0,930.0,0.0,81.0,0.0,5380.0,1.0,4.0,17.0,1.0,-765.0,47.0,812.0,53.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,930.0,0.0,82.0,0.0,4864.0,5.0,0.0,0.0,0.0,-542.0,29.0,571.0,53.0,1.0,0.0,0.0
0.0,0.0,4.0,0.0,23.4,2.0,0.0,12.1,11.4,90.0,4.0,0.0,0.0,0.0,930.0,0.0,83.0,0.0,4467.0,2.0,1.0,86.0,2.0,-425.0,25.0,450.0,52.0,1.0,0.0,2.0
0.0,0.0,9.0,0.0,21.0,1.0,0.0,2.3,2.0,77.0,17.0,0.0,0.0,0.0,930.0,0.0,84.0,0.0,4327.0,0.0,1.0,0.0,2.0,-161.0,70.0,231.0,52.0,0.0,0.0,2.0
0.0,0.0,27.0,0.0,31.9,2.0,1.0,12.6,37.0,90.0,9.0,0.0,0.0,0.0,930.0,0.0,85.0,0.0,4406.0,2.0,4.0,57.0,7.0,-69.0,205.0,274.0,52.0,1.0,0.0,7.0
0.0,0.0,22.0,0.0,1.3,4.0,1.0,7.3,38.2,90.0,12.0,0.0,0.0,0.0,930.0,0.0,86.0,0.0,4921.0,1.0,4.0,33.0,7.0,387.0,634.0,247.0,52.0,0.0,0.0,7.0
0.0,0.0,3.0,0.0,12.5,1.0,0.0,3.0,0.8,90.0,11.0,0.0,0.0,0.0,930.0,0.0,87.0,0.0,11309.0,1.0,0.0,17.0,2.0,5938.0,6604.0,666.0,52.0,1.0,0.0,2.0
1.0,3.0,28.0,0.0,1.3,1.0,1.0,9.0,31.8,90.0,3.0,0.0,0.0,0.0,930.0,0.0,88.0,0.0,15557.0,1.0,2.0,57.0,12.0,3963.0,5391.0,1428.0,52.0,1.0,1.0,12.0
0.0,0.0,3.0,0.0,3.5,1.0,0.0,2.1,0.0,90.0,8.0,0.0,0.0,0.0,930.0,0.0,89.0,0.0,65711.0,0.0,1.0,19.0,2.0,45227.0,50657.0,5430.0,52.0,0.0,0.0,2.0
0.0,0.0,3.0,0.0,2.7,1.0,0.0,3.6,8.8,90.0,20.0,0.0,0.0,0.0,930.0,0.0,90.0,0.0,86514.0,1.0,2.0,24.0,1.0,21290.0,26673.0,5383.0,52.0,1.0,1.0,1.0
0.0,0.0,6.0,0.0,14.7,3.0,0.0,2.0,5.6,72.0,19.0,0.0,0.0,0.0,930.0,0.0,91.0,0.0,79940.0,1.0,3.0,0.0,2.0,-5398.0,6907.0,12305.0,53.0,0.0,0.0,2.0
0.0,1.0,23.0,1.0,21.6,0.0,1.0,8.5,34.0,90.0,16.0,0.0,0.0,0.0,930.0,0.0,92.0,0.0,82870.0,0.0,1.0,29.0,9.0,1323.0,9942.0,8619.0,53.0,1.0,0.0,9.0
0.0,0.0,2.0,0.0,19.3,3.0,0.0,3.4,3.2,90.0,18.0,0.0,0.0,0.0,930.0,0.0,93.0,0.0,88835.0,2.0,3.0,11.0,2.0,5595.0,13161.0,7566.0,53.0,0.0,0.0,2.0
0.0,0.0,4.0,0.0,1.3,5.0,0.0,0.9,0.0,90.0,14.0,0.0,0.0,0.0,930.0,0.0,94.0,0.0,80798.0,5.0,1.0,10.0,2.0,-7676.0,4770.0,12446.0,53.0,1.0,0.0,2.0
