assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,26.0,0.0,0.5,4.0,1.0,7.6,48.8,90.0,9.0,0.0,0.0,0.0,108.0,0.0,1.0,0.0,63607.0,4.0,3.0,27.0,6.0,0.0,0.0,0.0,45.0,1.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,108.0,0.0,2.0,0.0,169767.0,0.0,0.0,0.0,0.0,42967.0,49239.0,6272.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,108.0,0.0,3.0,0.0,170720.0,3.0,1.0,0.0,0.0,-15129.0,15115.0,30244.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,108.0,0.0,4.0,0.0,158825.0,2.0,1.0,0.0,0.0,-15483.0,11537.0,27020.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,108.0,0.0,5.0,0.0,148136.0,1.0,3.0,0.0,0.0,-11528.0,1396.0,12924.0,45.0,0.0,0.0,0.0
0.0,0.0,20.0,0.0,0.1,2.0,0.0,3.9,38.6,90.0,17.0,0.0,0.0,0.0,108.0,0.0,6.0,0.0,135916.0,2.0,1.0,0.0,1.0,-12792.0,1224.0,14016.0,44.0,1.0,0.0,1.0
0.0,0.0,14.0,0.0,0.3,1.0,0.0,2.6,25.4,90.0,20.0,0.0,0.0,0.0,108.0,0.0,7.0,0.0,132212.0,1.0,1.0,0.0,2.0,-4119.0,2189.0,6308.0,44.0,0.0,0.0,2.0
0.0,0.0,17.0,0.0,1.6,1.0,0.0,2.1,17.2,90.0,18.0,0.0,0.0,0.0,108.0,0.0,8.0,0.0,130606.0,1.0,0.0,2.0,2.0,-2254.0,2340.0,4594.0,44.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,108.0,0.0,9.0,0.0,121852.0,0.0,0.0,0.0,0.0,-8989.0,523.0,9512.0,44.0,0.0,0.0,0.0
0.0,0.0,26.0,1.0,0.1,0.0,0.0,3.2,31.6,90.0,2.0,0.0,0.0,0.0,108.0,0.0,10.0,0.0,119338.0,0.0,2.0,0.0,5.0,-2742.0,617.0,3359.0,44.0,1.0,1.0,5.0
0.0,0.0,13.0,0.0,0.2,1.0,0.0,2.1,20.6,90.0,10.0,0.0,0.0,0.0,108.0,0.0,11.0,0.0,119542.0,1.0,1.0,0.0,2.0,-285.0,1972.0,2257.0,44.0,0.0,0.0,2.0
0.0,0.0,15.0,0.0,0.5,1.0,0.0,1.6,15.6,90.0,4.0,0.0,0.0,0.0,108.0,0.0,12.0,0.0,120881.0,1.0,0.0,0.0,1.0,573.0,2929.0,2356.0,44.0,1.0,1.0,1.0
