assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,937.0,0.0,77.0,0.0,15025.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.5,0.0,0.0,1.0,1.6,13.0,2.0,0.0,0.0,0.0,937.0,0.0,78.0,0.0,18248.0,2.0,1.0,8.0,1.0,-963.0,1179.0,2142.0,45.0,1.0,0.0,1.0
0.0,0.0,15.0,0.0,11.3,3.0,0.0,2.8,8.8,90.0,1.0,0.0,0.0,0.0,937.0,0.0,79.0,0.0,17679.0,1.0,3.0,8.0,2.0,-1249.0,1113.0,2362.0,45.0,0.0,0.0,2.0
0.0,0.0,12.0,0.0,15.3,1.0,0.0,2.1,5.4,90.0,20.0,0.0,0.0,0.0,937.0,0.0,80.0,0.0,18878.0,1.0,0.0,0.0,2.0,389.0,2328.0,1939.0,45.0,1.0,0.0,2.0
0.0,0.0,4.0,0.0,0.5,0.0,0.0,1.2,3.4,19.0,8.0,0.0,0.0,0.0,937.0,0.0,81.0,0.0,18433.0,3.0,1.0,8.0,1.0,-675.0,1061.0,1736.0,45.0,0.0,0.0,1.0
0.0,0.0,3.0,0.0,0.1,0.0,0.0,0.1,1.0,5.0,6.0,0.0,0.0,0.0,937.0,0.0,82.0,0.0,17597.0,0.0,0.0,0.0,1.0,-988.0,383.0,1371.0,45.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,937.0,0.0,83.0,0.0,16299.0,1.0,3.0,0.0,0.0,-1326.0,141.0,1467.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,937.0,0.0,84.0,0.0,14996.0,0.0,1.0,0.0,0.0,-1329.0,53.0,1382.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,937.0,0.0,85.0,0.0,13466.0,1.0,0.0,0.0,0.0,-1543.0,34.0,1577.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,937.0,0.0,86.0,0.0,12774.0,1.0,1.0,0.0,0.0,-753.0,39.0,792.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,937.0,0.0,87.0,0.0,12099.0,2.0,4.0,0.0,0.0,-698.0,29.0,727.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,937.0,0.0,88.0,0.0,11637.0,1.0,1.0,0.0,0.0,-464.0,30.0,494.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,937.0,0.0,89.0,0.0,11245.0,4.0,0.0,0.0,0.0,-410.0,31.0,441.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,937.0,0.0,90.0,0.0,11080.0,3.0,0.0,0.0,0.0,-190.0,12.0,202.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,937.0,0.0,91.0,0.0,10863.0,1.0,3.0,0.0,0.0,-222.0,6.0,228.0,44.0,1.0,0.0,0.0
