assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,115.0,0.0,1.0,0.0,228310.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,75.0,1.0,0.0,0.0
1.0,0.0,18.0,0.0,26.5,0.0,0.0,4.9,22.2,13.0,18.0,0.0,0.0,0.0,115.0,0.0,2.0,0.0,170341.0,2.0,1.0,0.0,4.0,-68610.0,2530.0,71140.0,74.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,115.0,0.0,3.0,0.0,167915.0,0.0,3.0,0.0,0.0,-9223.0,16972.0,26195.0,74.0,1.0,0.0,0.0
0.0,0.0,9.0,0.0,35.3,0.0,0.0,6.7,13.4,15.0,16.0,0.0,0.0,0.0,115.0,0.0,4.0,0.0,116930.0,2.0,2.0,18.0,1.0,-52803.0,1127.0,53930.0,72.0,0.0,0.0,1.0
0.0,0.0,3.0,0.0,2.4,0.0,0.0,1.4,1.8,7.0,9.0,0.0,0.0,0.0,115.0,0.0,5.0,0.0,96883.0,2.0,1.0,10.0,1.0,-20755.0,496.0,21251.0,71.0,1.0,0.0,1.0
0.0,0.0,11.0,0.0,5.4,3.0,0.0,1.2,5.0,54.0,1.0,0.0,0.0,0.0,115.0,0.0,6.0,0.0,88252.0,0.0,3.0,2.0,1.0,-9613.0,2038.0,11651.0,71.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,115.0,0.0,7.0,0.0,83854.0,2.0,0.0,0.0,0.0,-5127.0,996.0,6123.0,70.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,115.0,0.0,8.0,0.0,79215.0,0.0,3.0,0.0,0.0,-5450.0,677.0,6127.0,70.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,115.0,0.0,9.0,0.0,73033.0,0.0,4.0,0.0,0.0,-6296.0,44.0,6340.0,70.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,115.0,0.0,10.0,0.0,69563.0,2.0,0.0,0.0,0.0,-3570.0,28.0,3598.0,70.0,0.0,0.0,0.0
