assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,18.0,0.0,0.0,0.0,117.0,0.0,1.0,0.0,60547.0,1.0,1.0,11.0,1.0,0.0,0.0,0.0,65.0,1.0,0.0,1.0
0.0,0.0,5.0,0.0,1.3,0.0,0.0,0.4,2.2,24.0,11.0,0.0,0.0,0.0,117.0,0.0,2.0,0.0,49294.0,0.0,2.0,0.0,1.0,-14460.0,795.0,15255.0,64.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,1.1,0.0,0.0,1.0,0.0,73.0,15.0,0.0,0.0,0.0,117.0,0.0,3.0,0.0,36219.0,1.0,1.0,10.0,2.0,-14029.0,1261.0,15290.0,63.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,117.0,0.0,4.0,0.0,30519.0,1.0,2.0,0.0,0.0,-6450.0,1263.0,7713.0,62.0,0.0,0.0,0.0
0.0,0.0,25.0,0.0,11.9,0.0,1.0,8.8,36.6,37.0,16.0,0.0,0.0,0.0,117.0,0.0,5.0,0.0,32277.0,0.0,1.0,39.0,5.0,1279.0,5962.0,4683.0,62.0,1.0,0.0,5.0
1.0,3.0,46.0,1.0,15.3,0.0,1.0,8.9,50.8,73.0,20.0,0.0,0.0,0.0,117.0,0.0,6.0,0.0,68667.0,3.0,0.0,23.0,12.0,34418.0,39772.0,5354.0,62.0,0.0,0.0,12.0
0.0,0.0,-2.0,1.0,2.0,0.0,0.0,6.0,4.2,82.0,8.0,0.0,0.0,0.0,117.0,0.0,7.0,0.0,162899.0,0.0,0.0,54.0,2.0,90324.0,96785.0,6461.0,63.0,0.0,0.0,2.0
0.0,3.0,51.0,1.0,0.6,0.0,2.0,20.6,67.8,70.0,3.0,0.0,0.0,0.0,117.0,0.0,8.0,0.0,235386.0,1.0,3.0,138.0,13.0,68354.0,77387.0,9033.0,64.0,1.0,0.0,13.0
0.0,0.0,6.0,0.0,1.5,1.0,0.0,2.9,8.0,82.0,10.0,0.0,0.0,0.0,117.0,0.0,9.0,0.0,384407.0,1.0,1.0,19.0,2.0,141859.0,153178.0,11319.0,65.0,0.0,0.0,2.0
0.0,0.0,4.0,0.0,4.4,2.0,0.0,3.4,0.0,90.0,4.0,0.0,0.0,0.0,117.0,0.0,10.0,0.0,466390.0,2.0,0.0,30.0,2.0,75601.0,91472.0,15871.0,66.0,1.0,0.0,2.0
