assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,125.0,0.0,1.0,0.0,819.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,125.0,0.0,2.0,0.0,823.0,2.0,1.0,0.0,0.0,-72.0,21.0,93.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,125.0,0.0,3.0,0.0,691.0,0.0,0.0,0.0,0.0,-146.0,13.0,159.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,125.0,0.0,4.0,0.0,605.0,0.0,1.0,0.0,0.0,-96.0,32.0,128.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,125.0,0.0,5.0,0.0,558.0,2.0,4.0,0.0,0.0,-52.0,19.0,71.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,125.0,0.0,6.0,0.0,566.0,1.0,1.0,0.0,0.0,-5.0,38.0,43.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,125.0,0.0,7.0,0.0,566.0,1.0,1.0,0.0,0.0,-9.0,31.0,40.0,49.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,5.0,1.0,0.0,1.0,2.8,22.0,17.0,0.0,0.0,0.0,125.0,0.0,8.0,0.0,576.0,1.0,1.0,2.0,1.0,1.0,28.0,27.0,49.0,1.0,0.0,1.0
0.0,0.0,7.0,0.0,9.8,0.0,0.0,1.5,5.0,45.0,9.0,0.0,0.0,0.0,125.0,0.0,9.0,0.0,722.0,1.0,2.0,0.0,1.0,123.0,140.0,17.0,49.0,0.0,0.0,1.0
0.0,0.0,9.0,0.0,28.3,4.0,0.0,5.4,17.0,90.0,10.0,0.0,0.0,0.0,125.0,0.0,10.0,0.0,837.0,4.0,0.0,9.0,0.0,79.0,98.0,19.0,49.0,1.0,0.0,0.0
0.0,0.0,5.0,0.0,18.3,1.0,0.0,2.5,2.2,90.0,8.0,0.0,0.0,0.0,125.0,0.0,11.0,0.0,1624.0,2.0,1.0,4.0,1.0,743.0,797.0,54.0,49.0,0.0,1.0,1.0
0.0,1.0,33.0,1.0,22.2,0.0,0.0,4.7,16.4,90.0,3.0,0.0,0.0,0.0,125.0,0.0,12.0,0.0,8693.0,0.0,4.0,8.0,7.0,6829.0,7071.0,242.0,49.0,1.0,0.0,7.0
0.0,0.0,12.0,0.0,12.4,1.0,0.0,2.2,7.4,90.0,7.0,0.0,0.0,0.0,125.0,0.0,13.0,0.0,12566.0,1.0,1.0,2.0,2.0,3692.0,3917.0,225.0,49.0,0.0,0.0,2.0
1.0,3.0,40.0,0.0,38.0,1.0,1.0,11.3,63.8,79.0,18.0,0.0,0.0,0.0,125.0,0.0,14.0,0.0,13682.0,1.0,3.0,11.0,14.0,1001.0,1526.0,525.0,49.0,1.0,0.0,14.0
0.0,0.0,9.0,0.0,1.8,1.0,0.0,0.9,0.2,83.0,4.0,0.0,0.0,0.0,125.0,0.0,15.0,0.0,32031.0,0.0,1.0,7.0,1.0,15749.0,17256.0,1507.0,49.0,0.0,1.0,1.0
2.0,2.0,36.0,0.0,29.3,1.0,0.0,7.7,48.0,90.0,16.0,0.0,0.0,0.0,125.0,0.0,16.0,0.0,44940.0,1.0,3.0,0.0,10.0,11373.0,12639.0,1266.0,49.0,1.0,0.0,10.0
0.0,0.0,12.0,0.0,35.8,2.0,0.0,6.5,12.0,90.0,11.0,0.0,0.0,0.0,125.0,0.0,17.0,0.0,61837.0,2.0,0.0,17.0,0.0,14910.0,16629.0,1719.0,50.0,1.0,1.0,0.0
0.0,0.0,9.0,0.0,6.1,1.0,0.0,1.6,7.6,90.0,1.0,0.0,0.0,0.0,125.0,0.0,18.0,0.0,68808.0,0.0,1.0,2.0,2.0,4284.0,9110.0,4826.0,50.0,0.0,0.0,2.0
0.0,0.0,16.0,0.0,1.8,1.0,0.0,1.9,16.0,90.0,13.0,0.0,0.0,0.0,125.0,0.0,19.0,0.0,77454.0,2.0,1.0,1.0,2.0,7348.0,10366.0,3018.0,50.0,0.0,0.0,2.0
0.0,0.0,26.0,0.0,24.3,1.0,1.0,9.3,49.2,90.0,7.0,0.0,0.0,0.0,125.0,0.0,20.0,0.0,98872.0,1.0,3.0,19.0,8.0,20563.0,25137.0,4574.0,50.0,1.0,0.0,8.0
0.0,0.0,6.0,0.0,4.8,2.0,0.0,1.6,10.8,53.0,17.0,0.0,0.0,0.0,125.0,0.0,21.0,0.0,98671.0,0.0,4.0,0.0,0.0,-705.0,15553.0,16258.0,50.0,0.0,0.0,0.0
