assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,3.0,0.0,32.5,1.0,0.0,6.3,14.2,90.0,6.0,0.0,0.0,0.0,122.0,0.0,1.0,0.0,401003.0,1.0,1.0,16.0,2.0,0.0,0.0,0.0,85.0,0.0,0.0,2.0
0.0,0.0,6.0,1.0,21.8,0.0,0.0,3.6,2.6,67.0,5.0,0.0,0.0,0.0,122.0,0.0,2.0,0.0,385010.0,0.0,1.0,12.0,3.0,-34268.0,8178.0,42446.0,85.0,1.0,0.0,3.0
0.0,0.0,6.0,0.0,43.0,1.0,0.0,6.2,7.0,90.0,9.0,0.0,0.0,0.0,122.0,0.0,3.0,0.0,336781.0,1.0,1.0,12.0,2.0,-53743.0,6163.0,59906.0,84.0,1.0,0.0,2.0
2.0,2.0,35.0,1.0,64.2,0.0,0.0,15.9,50.6,77.0,14.0,0.0,0.0,0.0,122.0,0.0,4.0,0.0,286880.0,4.0,0.0,44.0,11.0,-52790.0,5660.0,58450.0,84.0,0.0,0.0,11.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,122.0,0.0,5.0,0.0,309802.0,0.0,1.0,0.0,0.0,19204.0,28742.0,9538.0,84.0,1.0,0.0,0.0
0.0,0.0,19.0,0.0,45.9,1.0,0.0,11.1,11.8,89.0,12.0,0.0,0.0,0.0,122.0,0.0,6.0,0.0,277490.0,2.0,1.0,53.0,2.0,-34208.0,7886.0,42094.0,83.0,0.0,0.0,2.0
0.0,0.0,13.0,1.0,15.6,0.0,0.0,4.3,8.2,90.0,10.0,0.0,0.0,0.0,122.0,0.0,7.0,0.0,245306.0,0.0,2.0,19.0,3.0,-33191.0,1495.0,34686.0,83.0,1.0,0.0,3.0
1.0,0.0,23.0,0.0,39.3,1.0,0.0,14.2,37.2,90.0,19.0,0.0,0.0,0.0,122.0,0.0,8.0,0.0,233643.0,1.0,1.0,65.0,5.0,-12954.0,3549.0,16503.0,82.0,0.0,0.0,5.0
0.0,0.0,11.0,1.0,20.9,0.0,0.0,6.5,10.6,90.0,2.0,0.0,0.0,0.0,122.0,0.0,9.0,0.0,224731.0,0.0,0.0,33.0,3.0,-9653.0,1561.0,11214.0,82.0,0.0,0.0,3.0
0.0,0.0,13.0,0.0,69.8,1.0,0.0,12.9,17.2,90.0,8.0,0.0,0.0,0.0,122.0,0.0,10.0,0.0,217278.0,1.0,1.0,42.0,2.0,-8199.0,1924.0,10123.0,82.0,1.0,0.0,2.0
0.0,0.0,13.0,0.0,29.7,1.0,0.0,6.7,17.4,90.0,1.0,0.0,0.0,0.0,122.0,0.0,11.0,0.0,200927.0,1.0,1.0,20.0,2.0,-16962.0,1416.0,18378.0,81.0,0.0,0.0,2.0
0.0,0.0,4.0,0.0,17.1,2.0,0.0,4.9,4.2,90.0,20.0,0.0,0.0,0.0,122.0,0.0,12.0,0.0,194069.0,2.0,3.0,28.0,2.0,-7651.0,5050.0,12701.0,81.0,1.0,0.0,2.0
0.0,3.0,33.0,0.0,18.3,2.0,1.0,9.7,45.2,90.0,4.0,0.0,0.0,0.0,122.0,0.0,13.0,0.0,184409.0,1.0,2.0,33.0,10.0,-10016.0,640.0,10656.0,81.0,0.0,0.0,10.0
1.0,2.0,58.0,1.0,84.3,0.0,2.0,27.7,104.8,90.0,16.0,0.0,0.0,0.0,122.0,0.0,14.0,0.0,254761.0,0.0,5.0,88.0,18.0,68947.0,71662.0,2715.0,82.0,1.0,0.0,18.0
0.0,0.0,12.0,0.0,45.2,1.0,0.0,9.2,18.0,82.0,11.0,0.0,0.0,0.0,122.0,0.0,15.0,0.0,331566.0,0.0,1.0,29.0,2.0,72691.0,82904.0,10213.0,83.0,0.0,0.0,2.0
1.0,3.0,61.0,1.0,30.8,0.0,2.0,20.0,82.0,90.0,7.0,0.0,0.0,0.0,122.0,0.0,16.0,0.0,386044.0,0.0,3.0,87.0,19.0,52220.0,59842.0,7622.0,84.0,1.0,0.0,19.0
0.0,0.0,10.0,0.0,55.3,1.0,0.0,11.6,13.2,90.0,3.0,0.0,0.0,0.0,122.0,0.0,17.0,0.0,633713.0,1.0,2.0,47.0,2.0,241886.0,244266.0,2380.0,86.0,1.0,0.0,2.0
2.0,2.0,32.0,0.0,70.5,1.0,0.0,13.3,26.4,90.0,13.0,0.0,0.0,0.0,122.0,0.0,18.0,0.0,628039.0,4.0,1.0,36.0,10.0,-11548.0,40318.0,51866.0,86.0,0.0,0.0,10.0
0.0,0.0,26.0,0.0,61.8,1.0,0.0,8.7,19.4,90.0,18.0,0.0,0.0,0.0,122.0,0.0,19.0,0.0,656133.0,4.0,1.0,6.0,2.0,24644.0,48671.0,24027.0,86.0,0.0,0.0,2.0
2.0,2.0,36.0,1.0,29.3,0.0,0.0,7.6,36.0,90.0,4.0,0.0,0.0,0.0,122.0,0.0,20.0,0.0,584660.0,0.0,2.0,11.0,11.0,-73528.0,22780.0,96308.0,86.0,1.0,0.0,11.0
2.0,1.0,37.0,1.0,53.6,0.0,0.0,10.5,32.2,90.0,19.0,0.0,0.0,0.0,122.0,0.0,21.0,0.0,653558.0,0.0,4.0,19.0,10.0,61526.0,115238.0,53712.0,86.0,1.0,0.0,10.0
0.0,0.0,8.0,0.0,18.5,2.0,0.0,2.3,4.8,90.0,10.0,0.0,0.0,0.0,122.0,0.0,22.0,0.0,696107.0,2.0,2.0,0.0,2.0,37498.0,65877.0,28379.0,87.0,0.0,0.0,2.0
0.0,0.0,10.0,1.0,59.8,0.0,0.0,10.9,19.0,90.0,15.0,0.0,0.0,0.0,122.0,0.0,23.0,0.0,737795.0,0.0,0.0,30.0,3.0,37519.0,61260.0,23741.0,87.0,0.0,0.0,3.0
0.0,0.0,10.0,1.0,66.2,0.0,0.0,14.5,18.4,90.0,12.0,0.0,0.0,0.0,122.0,0.0,24.0,0.0,740385.0,0.0,1.0,60.0,3.0,1248.0,22463.0,21215.0,88.0,1.0,0.0,3.0
