assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,17.0,0.0,13.8,2.0,0.0,5.6,25.4,90.0,7.0,0.0,0.0,0.0,123.0,0.0,1.0,0.0,418306.0,1.0,2.0,17.0,0.0,0.0,0.0,0.0,55.0,0.0,1.0,0.0
0.0,0.0,27.0,1.0,4.8,0.0,0.0,1.8,13.2,90.0,1.0,0.0,0.0,0.0,123.0,0.0,2.0,0.0,385345.0,0.0,0.0,0.0,6.0,-44530.0,1121.0,45651.0,55.0,1.0,0.0,6.0
0.0,0.0,14.0,0.0,2.4,1.0,0.0,2.1,14.2,90.0,16.0,0.0,0.0,0.0,123.0,0.0,3.0,0.0,372724.0,1.0,2.0,4.0,2.0,-19768.0,4831.0,24599.0,55.0,1.0,0.0,2.0
0.0,0.0,13.0,0.0,6.6,4.0,0.0,1.8,11.2,90.0,9.0,0.0,0.0,0.0,123.0,0.0,4.0,0.0,340826.0,1.0,4.0,0.0,0.0,-34857.0,1513.0,36370.0,54.0,0.0,0.0,0.0
1.0,3.0,53.0,1.0,69.1,0.0,0.0,13.2,51.0,90.0,3.0,0.0,0.0,0.0,123.0,0.0,5.0,0.0,317830.0,0.0,3.0,12.0,12.0,-24101.0,1797.0,25898.0,54.0,1.0,0.0,12.0
0.0,0.0,8.0,0.0,1.5,4.0,0.0,2.9,7.2,90.0,11.0,0.0,0.0,0.0,123.0,0.0,6.0,0.0,329153.0,1.0,4.0,20.0,0.0,5894.0,20054.0,14160.0,54.0,0.0,0.0,0.0
0.0,0.0,29.0,1.0,21.6,0.0,0.0,3.5,13.0,90.0,13.0,0.0,0.0,0.0,123.0,0.0,7.0,0.0,317494.0,0.0,0.0,0.0,6.0,-13525.0,5729.0,19254.0,54.0,1.0,0.0,6.0
0.0,0.0,18.0,0.0,1.8,3.0,0.0,2.6,24.0,90.0,4.0,0.0,0.0,0.0,123.0,0.0,8.0,0.0,312884.0,0.0,3.0,0.0,1.0,-8107.0,5352.0,13459.0,54.0,0.0,0.0,1.0
0.0,0.0,32.0,0.0,30.1,1.0,1.0,10.3,65.8,90.0,5.0,0.0,0.0,0.0,123.0,0.0,9.0,0.0,307869.0,1.0,3.0,7.0,8.0,-6554.0,6389.0,12943.0,54.0,1.0,0.0,8.0
0.0,0.0,13.0,0.0,15.4,1.0,0.0,2.8,10.6,90.0,17.0,0.0,0.0,0.0,123.0,0.0,10.0,0.0,315049.0,1.0,1.0,2.0,2.0,4804.0,10209.0,5405.0,54.0,0.0,0.0,2.0
0.0,0.0,18.0,0.0,21.2,2.0,0.0,5.7,36.0,90.0,19.0,0.0,0.0,0.0,123.0,0.0,11.0,0.0,353094.0,2.0,1.0,0.0,1.0,35150.0,43436.0,8286.0,54.0,1.0,0.0,1.0
0.0,0.0,10.0,0.0,10.8,2.0,0.0,2.1,9.8,67.0,18.0,0.0,0.0,0.0,123.0,0.0,12.0,0.0,358048.0,1.0,2.0,0.0,0.0,2201.0,15784.0,13583.0,54.0,0.0,1.0,0.0
0.0,0.0,8.0,0.0,25.3,2.0,0.0,4.7,19.6,90.0,12.0,0.0,0.0,0.0,123.0,0.0,13.0,0.0,348947.0,2.0,2.0,2.0,0.0,-9888.0,4662.0,14550.0,54.0,1.0,1.0,0.0
0.0,0.0,13.0,0.0,32.3,2.0,0.0,5.3,20.2,90.0,15.0,0.0,0.0,0.0,123.0,0.0,14.0,0.0,327816.0,1.0,2.0,0.0,0.0,-21562.0,1168.0,22730.0,54.0,0.0,1.0,0.0
0.0,0.0,16.0,0.0,0.8,2.0,0.0,2.9,28.0,90.0,10.0,0.0,0.0,0.0,123.0,0.0,15.0,0.0,299902.0,2.0,4.0,0.0,1.0,-28365.0,437.0,28802.0,54.0,1.0,0.0,1.0
0.0,0.0,12.0,0.0,9.1,1.0,0.0,3.6,26.4,90.0,2.0,0.0,0.0,0.0,123.0,0.0,16.0,0.0,291569.0,0.0,1.0,0.0,2.0,-8668.0,1266.0,9934.0,53.0,0.0,0.0,2.0
1.0,1.0,27.0,0.0,25.6,2.0,0.0,7.8,44.6,90.0,14.0,0.0,0.0,0.0,123.0,0.0,17.0,0.0,278836.0,2.0,2.0,8.0,4.0,-12926.0,522.0,13448.0,53.0,0.0,1.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,123.0,0.0,18.0,0.0,238529.0,2.0,0.0,0.0,0.0,-40389.0,187.0,40576.0,53.0,1.0,0.0,0.0
0.0,0.0,7.0,0.0,10.1,0.0,0.0,2.0,10.2,21.0,20.0,0.0,0.0,0.0,123.0,0.0,19.0,0.0,231487.0,0.0,1.0,0.0,1.0,-7203.0,408.0,7611.0,53.0,1.0,0.0,1.0
0.0,0.0,23.0,1.0,26.9,0.0,0.0,5.7,22.8,90.0,12.0,0.0,0.0,0.0,123.0,0.0,20.0,0.0,226232.0,0.0,0.0,7.0,6.0,-5379.0,539.0,5918.0,53.0,0.0,0.0,6.0
0.0,0.0,4.0,0.0,0.8,3.0,0.0,2.3,4.0,90.0,4.0,0.0,0.0,0.0,123.0,0.0,21.0,0.0,218921.0,3.0,0.0,18.0,0.0,-7745.0,769.0,8514.0,53.0,1.0,1.0,0.0
0.0,0.0,14.0,0.0,5.1,3.0,0.0,1.3,6.8,90.0,13.0,0.0,0.0,0.0,123.0,0.0,22.0,0.0,212758.0,0.0,3.0,1.0,1.0,-6383.0,391.0,6774.0,53.0,0.0,0.0,1.0
0.0,0.0,19.0,0.0,24.9,1.0,0.0,4.8,23.2,90.0,3.0,0.0,0.0,0.0,123.0,0.0,23.0,0.0,207939.0,0.0,1.0,0.0,2.0,-5003.0,310.0,5313.0,53.0,0.0,0.0,2.0
0.0,0.0,10.0,0.0,15.1,3.0,0.0,2.7,11.8,90.0,11.0,0.0,0.0,0.0,123.0,0.0,24.0,0.0,204781.0,3.0,0.0,0.0,0.0,-3235.0,134.0,3369.0,53.0,1.0,1.0,0.0
0.0,0.0,5.0,0.0,0.9,2.0,0.0,0.3,2.4,45.0,16.0,0.0,0.0,0.0,123.0,0.0,25.0,0.0,200283.0,0.0,2.0,0.0,0.0,-4653.0,276.0,4929.0,52.0,0.0,0.0,0.0
1.0,0.0,25.0,0.0,25.8,1.0,0.0,8.3,46.6,90.0,9.0,0.0,0.0,0.0,123.0,0.0,26.0,0.0,196745.0,1.0,3.0,11.0,5.0,-3683.0,208.0,3891.0,52.0,1.0,0.0,5.0
0.0,1.0,28.0,0.0,17.3,1.0,1.0,8.7,46.0,90.0,7.0,0.0,0.0,0.0,123.0,0.0,27.0,0.0,197429.0,1.0,3.0,24.0,9.0,411.0,2295.0,1884.0,52.0,1.0,0.0,9.0
0.0,0.0,11.0,0.0,0.9,2.0,0.0,0.9,8.0,90.0,20.0,0.0,0.0,0.0,123.0,0.0,29.0,0.0,207005.0,3.0,2.0,0.0,1.0,7642.0,8785.0,1143.0,52.0,0.0,0.0,1.0
0.0,0.0,28.0,1.0,26.1,0.0,0.0,5.9,26.0,90.0,14.0,0.0,0.0,0.0,123.0,0.0,30.0,0.0,232426.0,0.0,2.0,7.0,5.0,24646.0,26532.0,1886.0,52.0,1.0,1.0,5.0
0.0,1.0,29.0,1.0,32.1,0.0,0.0,5.3,20.6,90.0,15.0,0.0,0.0,0.0,123.0,0.0,31.0,0.0,243562.0,0.0,2.0,0.0,7.0,10832.0,11989.0,1157.0,52.0,1.0,0.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,123.0,0.0,32.0,0.0,248017.0,2.0,4.0,0.0,0.0,4116.0,8428.0,4312.0,53.0,0.0,0.0,0.0
1.0,0.0,27.0,0.0,10.8,2.0,0.0,4.7,34.2,90.0,5.0,0.0,0.0,0.0,123.0,0.0,33.0,0.0,245186.0,2.0,2.0,2.0,4.0,-3138.0,3104.0,6242.0,53.0,0.0,0.0,4.0
0.0,0.0,14.0,0.0,10.9,1.0,0.0,3.9,27.6,90.0,1.0,0.0,0.0,0.0,123.0,0.0,34.0,0.0,242128.0,0.0,1.0,0.0,1.0,-3405.0,2572.0,5977.0,53.0,0.0,1.0,1.0
0.0,2.0,30.0,1.0,7.0,0.0,0.0,3.1,23.6,90.0,19.0,0.0,0.0,0.0,123.0,0.0,35.0,0.0,241486.0,1.0,0.0,0.0,8.0,-929.0,2314.0,3243.0,53.0,0.0,0.0,8.0
0.0,2.0,34.0,1.0,7.4,0.0,0.0,3.1,22.2,90.0,18.0,0.0,0.0,0.0,123.0,0.0,36.0,0.0,245747.0,0.0,3.0,1.0,8.0,3923.0,7108.0,3185.0,53.0,1.0,0.0,8.0
0.0,0.0,21.0,0.0,0.5,6.0,0.0,2.6,24.4,90.0,17.0,0.0,0.0,0.0,123.0,0.0,37.0,0.0,251788.0,6.0,1.0,1.0,-1.0,5783.0,11260.0,5477.0,53.0,1.0,0.0,-1.0
0.0,0.0,13.0,0.0,21.4,1.0,0.0,4.2,13.0,90.0,2.0,0.0,0.0,0.0,123.0,0.0,38.0,0.0,255470.0,1.0,1.0,8.0,2.0,3404.0,7984.0,4580.0,53.0,1.0,0.0,2.0
0.0,0.0,9.0,0.0,16.0,4.0,0.0,3.6,19.6,90.0,1.0,0.0,0.0,0.0,123.0,0.0,39.0,0.0,167677.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
0.0,0.0,27.0,1.0,2.3,0.0,0.0,1.6,11.4,90.0,3.0,0.0,0.0,0.0,123.0,0.0,40.0,0.0,180286.0,0.0,2.0,2.0,6.0,-5323.0,9479.0,14802.0,50.0,1.0,0.0,6.0
0.0,0.0,14.0,0.0,31.4,2.0,0.0,4.9,17.4,90.0,12.0,0.0,0.0,0.0,123.0,0.0,41.0,0.0,177355.0,0.0,2.0,0.0,1.0,-8115.0,5180.0,13295.0,50.0,0.0,0.0,1.0
0.0,0.0,14.0,0.0,17.1,2.0,0.0,4.3,17.8,90.0,5.0,0.0,0.0,0.0,123.0,0.0,42.0,0.0,168951.0,2.0,1.0,8.0,1.0,-11466.0,2747.0,14213.0,50.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,123.0,0.0,43.0,0.0,156045.0,1.0,1.0,0.0,0.0,-13945.0,2427.0,16372.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,123.0,0.0,44.0,0.0,132620.0,3.0,2.0,0.0,0.0,-23628.0,431.0,24059.0,49.0,1.0,0.0,0.0
