assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1129.0,0.0,128.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1129.0,0.0,129.0,0.0,34.0,0.0,1.0,0.0,0.0,23.0,31.0,8.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1129.0,0.0,130.0,0.0,92.0,3.0,0.0,0.0,0.0,26.0,37.0,11.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1129.0,0.0,131.0,0.0,149.0,1.0,0.0,0.0,0.0,28.0,54.0,26.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1129.0,0.0,132.0,0.0,199.0,1.0,0.0,0.0,0.0,6.0,35.0,29.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1129.0,0.0,133.0,0.0,232.0,1.0,1.0,0.0,0.0,11.0,41.0,30.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1129.0,0.0,134.0,0.0,262.0,0.0,2.0,0.0,0.0,19.0,44.0,25.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1129.0,0.0,135.0,0.0,305.0,0.0,4.0,0.0,0.0,22.0,71.0,49.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1129.0,0.0,136.0,0.0,347.0,3.0,0.0,0.0,0.0,0.0,62.0,62.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1129.0,0.0,137.0,0.0,370.0,0.0,1.0,0.0,0.0,6.0,53.0,47.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1129.0,0.0,138.0,0.0,395.0,1.0,3.0,0.0,0.0,3.0,38.0,35.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1129.0,0.0,139.0,0.0,403.0,1.0,2.0,0.0,0.0,-10.0,33.0,43.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1129.0,0.0,140.0,0.0,455.0,1.0,2.0,0.0,0.0,33.0,71.0,38.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1129.0,0.0,141.0,0.0,467.0,0.0,3.0,0.0,0.0,-5.0,38.0,43.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1129.0,0.0,142.0,0.0,476.0,2.0,2.0,0.0,0.0,-4.0,30.0,34.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1129.0,0.0,143.0,0.0,537.0,1.0,2.0,0.0,0.0,29.0,68.0,39.0,45.0,0.0,0.0,0.0
