assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,12.0,0.0,19.3,2.0,0.0,4.6,17.8,90.0,7.0,0.0,0.0,0.0,938.0,0.0,77.0,0.0,14289.0,2.0,0.0,9.0,1.0,0.0,0.0,0.0,45.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.1,1.0,5.0,17.0,0.0,0.0,0.0,938.0,0.0,78.0,0.0,14640.0,1.0,3.0,0.0,1.0,-890.0,564.0,1454.0,45.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,938.0,0.0,79.0,0.0,13302.0,2.0,4.0,0.0,0.0,-1585.0,266.0,1851.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,938.0,0.0,80.0,0.0,11937.0,2.0,2.0,0.0,0.0,-1554.0,98.0,1652.0,44.0,0.0,0.0,0.0
0.0,0.0,15.0,0.0,22.5,3.0,0.0,5.2,27.0,90.0,13.0,0.0,0.0,0.0,938.0,0.0,81.0,0.0,10676.0,0.0,3.0,2.0,1.0,-1337.0,66.0,1403.0,44.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,938.0,0.0,82.0,0.0,10202.0,1.0,1.0,0.0,0.0,-551.0,106.0,657.0,44.0,1.0,0.0,0.0
0.0,0.0,7.0,0.0,6.0,3.0,0.0,3.8,30.4,82.0,8.0,0.0,0.0,0.0,938.0,0.0,83.0,0.0,9657.0,0.0,3.0,2.0,0.0,-576.0,45.0,621.0,43.0,0.0,1.0,0.0
0.0,0.0,20.0,0.0,63.3,5.0,0.0,9.5,21.6,90.0,1.0,0.0,0.0,0.0,938.0,0.0,84.0,0.0,9318.0,5.0,1.0,10.0,0.0,-367.0,63.0,430.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,938.0,0.0,85.0,0.0,8973.0,2.0,4.0,0.0,0.0,-374.0,158.0,532.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,938.0,0.0,86.0,0.0,8629.0,3.0,0.0,0.0,0.0,-343.0,28.0,371.0,43.0,1.0,0.0,0.0
