assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
1.0,1.0,24.0,0.0,15.8,1.0,0.0,3.4,12.0,90.0,20.0,0.0,0.0,0.0,145.0,0.0,1.0,0.0,401274.0,1.0,2.0,6.0,5.0,0.0,0.0,0.0,60.0,1.0,1.0,5.0
0.0,0.0,12.0,0.0,5.1,1.0,0.0,1.9,10.0,90.0,18.0,0.0,0.0,0.0,145.0,0.0,2.0,0.0,467129.0,2.0,1.0,4.0,2.0,13819.0,26416.0,12597.0,60.0,0.0,0.0,2.0
0.0,1.0,27.0,1.0,13.6,0.0,0.0,5.7,22.2,90.0,3.0,0.0,0.0,0.0,145.0,0.0,3.0,0.0,476174.0,0.0,3.0,21.0,7.0,-12103.0,17374.0,29477.0,60.0,1.0,0.0,7.0
0.0,0.0,16.0,0.0,1.8,2.0,0.0,3.3,13.2,90.0,16.0,0.0,0.0,0.0,145.0,0.0,4.0,0.0,517481.0,2.0,2.0,18.0,1.0,20841.0,45913.0,25072.0,60.0,0.0,0.0,1.0
0.0,0.0,14.0,0.0,4.4,2.0,0.0,2.1,16.4,90.0,9.0,0.0,0.0,0.0,145.0,0.0,5.0,0.0,497381.0,2.0,1.0,0.0,1.0,-24962.0,5119.0,30081.0,60.0,1.0,0.0,1.0
0.0,0.0,16.0,0.0,24.5,3.0,0.0,5.0,18.6,90.0,1.0,0.0,0.0,0.0,145.0,0.0,6.0,0.0,457822.0,0.0,3.0,7.0,1.0,-43352.0,3410.0,46762.0,60.0,0.0,0.0,1.0
0.0,1.0,29.0,1.0,12.2,0.0,0.0,2.9,16.8,90.0,7.0,0.0,0.0,0.0,145.0,0.0,7.0,0.0,432961.0,2.0,0.0,0.0,7.0,-27572.0,3580.0,31152.0,60.0,0.0,0.0,7.0
0.0,1.0,32.0,1.0,2.3,0.0,0.0,2.9,26.4,90.0,8.0,0.0,0.0,0.0,145.0,0.0,8.0,0.0,428874.0,0.0,3.0,0.0,6.0,-9409.0,5440.0,14849.0,60.0,1.0,1.0,6.0
0.0,1.0,37.0,1.0,17.3,0.0,0.0,5.6,38.2,90.0,11.0,0.0,0.0,0.0,145.0,0.0,9.0,0.0,432673.0,0.0,4.0,0.0,7.0,10.0,9494.0,9484.0,60.0,1.0,0.0,7.0
0.0,2.0,35.0,1.0,1.7,0.0,0.0,3.4,31.8,90.0,13.0,0.0,0.0,0.0,145.0,0.0,10.0,0.0,446088.0,2.0,0.0,0.0,8.0,9333.0,14441.0,5108.0,60.0,0.0,0.0,8.0
