assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,23.0,0.0,0.7,1.0,0.0,3.2,31.0,90.0,2.0,0.0,0.0,0.0,147.0,0.0,1.0,0.0,81889.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,55.0,0.0,0.0,2.0
0.0,2.0,30.0,1.0,1.3,0.0,0.0,1.4,13.0,90.0,13.0,0.0,0.0,0.0,147.0,0.0,2.0,0.0,92112.0,0.0,2.0,0.0,8.0,-1031.0,2906.0,3937.0,55.0,1.0,0.0,8.0
0.0,1.0,36.0,1.0,1.6,0.0,0.0,2.6,24.4,90.0,7.0,0.0,0.0,0.0,147.0,0.0,3.0,0.0,114683.0,1.0,0.0,0.0,7.0,9692.0,14483.0,4791.0,55.0,0.0,0.0,7.0
0.0,0.0,24.0,0.0,15.2,2.0,0.0,4.6,31.2,90.0,10.0,0.0,0.0,0.0,147.0,0.0,4.0,0.0,137304.0,2.0,1.0,0.0,1.0,9520.0,15838.0,6318.0,55.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,147.0,0.0,5.0,0.0,141204.0,1.0,3.0,0.0,0.0,-380.0,5979.0,6359.0,55.0,0.0,0.0,0.0
2.0,2.0,38.0,0.0,43.3,1.0,0.0,9.8,53.6,90.0,8.0,0.0,0.0,0.0,147.0,0.0,6.0,0.0,130855.0,1.0,4.0,1.0,10.0,-12273.0,2126.0,14399.0,55.0,1.0,0.0,10.0
0.0,2.0,27.0,0.0,51.4,1.0,0.0,9.9,27.6,90.0,14.0,0.0,0.0,0.0,147.0,0.0,7.0,0.0,265937.0,1.0,1.0,20.0,4.0,123612.0,127983.0,4371.0,56.0,1.0,0.0,4.0
0.0,0.0,22.0,1.0,25.6,0.0,0.0,5.1,25.2,90.0,9.0,0.0,0.0,0.0,147.0,0.0,8.0,0.0,302541.0,0.0,0.0,0.0,6.0,26860.0,39389.0,12529.0,56.0,0.0,0.0,6.0
0.0,0.0,16.0,0.0,20.4,4.0,0.0,4.2,21.4,90.0,4.0,0.0,0.0,0.0,147.0,0.0,9.0,0.0,340963.0,0.0,4.0,0.0,0.0,32171.0,40011.0,7840.0,57.0,0.0,0.0,0.0
0.0,2.0,33.0,1.0,36.3,0.0,0.0,7.6,31.8,90.0,3.0,0.0,0.0,0.0,147.0,0.0,10.0,0.0,352405.0,0.0,0.0,8.0,8.0,8120.0,25186.0,17066.0,57.0,1.0,0.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,147.0,0.0,11.0,0.0,416906.0,3.0,1.0,0.0,0.0,57580.0,65966.0,8386.0,58.0,0.0,0.0,0.0
