assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,8.0,0.0,19.6,2.0,0.0,3.9,7.4,90.0,7.0,0.0,0.0,0.0,154.0,0.0,1.0,0.0,340174.0,1.0,2.0,12.0,2.0,0.0,0.0,0.0,55.0,0.0,0.0,2.0
0.0,0.0,25.0,1.0,16.4,0.0,0.0,6.9,20.2,90.0,1.0,0.0,0.0,0.0,154.0,0.0,2.0,0.0,338113.0,0.0,0.0,32.0,3.0,-26572.0,4183.0,30755.0,55.0,1.0,0.0,3.0
1.0,2.0,29.0,0.0,27.8,1.0,0.0,7.2,33.0,90.0,16.0,0.0,0.0,0.0,154.0,0.0,3.0,0.0,338978.0,1.0,2.0,11.0,7.0,-13041.0,13300.0,26341.0,55.0,1.0,0.0,7.0
0.0,0.0,11.0,0.0,4.1,4.0,0.0,4.4,13.6,90.0,9.0,0.0,0.0,0.0,154.0,0.0,4.0,0.0,355589.0,1.0,4.0,26.0,2.0,1668.0,24961.0,23293.0,55.0,0.0,0.0,2.0
0.0,0.0,9.0,1.0,3.8,0.0,0.0,1.9,5.4,78.0,3.0,0.0,0.0,0.0,154.0,0.0,5.0,0.0,340065.0,0.0,3.0,10.0,3.0,-19590.0,6457.0,26047.0,55.0,1.0,0.0,3.0
0.0,0.0,19.0,0.0,2.8,4.0,0.0,3.9,17.8,90.0,11.0,0.0,0.0,0.0,154.0,0.0,6.0,0.0,315135.0,1.0,4.0,18.0,2.0,-28176.0,4899.0,33075.0,54.0,0.0,0.0,2.0
0.0,0.0,14.0,1.0,13.3,0.0,0.0,4.8,22.0,90.0,13.0,0.0,0.0,0.0,154.0,0.0,7.0,0.0,299356.0,0.0,0.0,13.0,3.0,-17957.0,4551.0,22508.0,54.0,1.0,0.0,3.0
0.0,0.0,23.0,0.0,18.6,3.0,0.0,5.1,24.6,90.0,4.0,0.0,0.0,0.0,154.0,0.0,8.0,0.0,271280.0,0.0,3.0,8.0,2.0,-29141.0,1474.0,30615.0,54.0,0.0,0.0,2.0
0.0,0.0,16.0,0.0,14.8,1.0,0.0,4.0,15.4,90.0,5.0,0.0,0.0,0.0,154.0,0.0,9.0,0.0,257478.0,1.0,3.0,10.0,2.0,-14652.0,1715.0,16367.0,54.0,1.0,0.0,2.0
0.0,0.0,22.0,0.0,4.2,1.0,0.0,3.3,26.6,90.0,17.0,0.0,0.0,0.0,154.0,0.0,10.0,0.0,246894.0,1.0,1.0,2.0,2.0,-11331.0,1215.0,12546.0,53.0,0.0,0.0,2.0
0.0,0.0,10.0,0.0,5.1,2.0,0.0,1.8,7.8,90.0,19.0,0.0,0.0,0.0,154.0,0.0,11.0,0.0,237852.0,2.0,1.0,5.0,2.0,-9732.0,2907.0,12639.0,53.0,1.0,0.0,2.0
