assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,158.0,0.0,1.0,0.0,37465.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,10.3,2.0,0.0,3.0,0.0,64.0,3.0,0.0,0.0,0.0,158.0,0.0,2.0,0.0,35847.0,0.0,2.0,21.0,2.0,-5125.0,2296.0,7421.0,100.0,0.0,0.0,2.0
0.0,0.0,3.0,0.0,0.3,0.0,0.0,0.0,0.0,3.0,17.0,0.0,0.0,0.0,158.0,0.0,3.0,0.0,39383.0,1.0,1.0,0.0,1.0,-100.0,5155.0,5255.0,100.0,0.0,0.0,1.0
1.0,0.0,14.0,0.0,22.7,1.0,0.0,14.7,33.8,75.0,8.0,0.0,0.0,0.0,158.0,0.0,4.0,0.0,43952.0,1.0,4.0,90.0,5.0,1911.0,8144.0,6233.0,100.0,1.0,0.0,5.0
0.0,0.0,2.0,0.0,13.1,0.0,0.0,3.5,2.4,56.0,4.0,0.0,0.0,0.0,158.0,0.0,5.0,0.0,46593.0,2.0,1.0,19.0,1.0,710.0,4587.0,3877.0,100.0,0.0,0.0,1.0
1.0,0.0,13.0,0.0,1.8,0.0,0.0,0.9,2.0,22.0,7.0,0.0,0.0,0.0,158.0,0.0,6.0,0.0,48254.0,1.0,5.0,5.0,4.0,138.0,10540.0,10402.0,100.0,1.0,0.0,4.0
0.0,0.0,-1.0,1.0,11.8,0.0,0.0,2.7,0.0,68.0,16.0,0.0,0.0,0.0,158.0,0.0,7.0,0.0,44430.0,2.0,1.0,16.0,1.0,-4716.0,2214.0,6930.0,100.0,0.0,1.0,1.0
0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.6,0.0,59.0,11.0,0.0,0.0,0.0,158.0,0.0,8.0,0.0,42925.0,0.0,0.0,2.0,1.0,-2963.0,2671.0,5634.0,99.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,158.0,0.0,9.0,0.0,45002.0,1.0,2.0,0.0,0.0,1064.0,4993.0,3929.0,99.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,158.0,0.0,10.0,0.0,44035.0,4.0,2.0,0.0,0.0,-1957.0,3758.0,5715.0,99.0,0.0,0.0,0.0
1.0,0.0,8.0,0.0,1.7,1.0,0.0,7.3,9.4,20.0,18.0,0.0,0.0,0.0,158.0,0.0,11.0,0.0,39897.0,1.0,6.0,62.0,4.0,-4858.0,1741.0,6599.0,98.0,1.0,0.0,4.0
0.0,0.0,8.0,0.0,24.8,0.0,0.0,3.9,6.4,13.0,13.0,0.0,0.0,0.0,158.0,0.0,12.0,0.0,40933.0,0.0,0.0,8.0,1.0,-105.0,3171.0,3276.0,98.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,158.0,0.0,13.0,0.0,40572.0,0.0,2.0,0.0,0.0,-808.0,1842.0,2650.0,98.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,158.0,0.0,14.0,0.0,35941.0,3.0,4.0,0.0,0.0,-4788.0,241.0,5029.0,98.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,158.0,0.0,15.0,0.0,34148.0,2.0,2.0,0.0,0.0,-2007.0,411.0,2418.0,98.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,158.0,0.0,16.0,0.0,33381.0,3.0,0.0,0.0,0.0,-851.0,96.0,947.0,97.0,0.0,0.0,0.0
1.0,0.0,11.0,0.0,0.1,0.0,0.0,0.3,0.0,9.0,6.0,0.0,0.0,0.0,158.0,0.0,17.0,0.0,32865.0,1.0,0.0,5.0,4.0,-604.0,97.0,701.0,97.0,0.0,0.0,4.0
0.0,1.0,29.0,0.0,10.7,0.0,1.0,7.1,35.2,21.0,14.0,0.0,0.0,0.0,158.0,0.0,18.0,0.0,38160.0,1.0,4.0,25.0,6.0,4693.0,5396.0,703.0,97.0,1.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,158.0,0.0,19.0,0.0,38562.0,0.0,1.0,0.0,0.0,-133.0,1637.0,1770.0,97.0,1.0,0.0,0.0
0.0,0.0,29.0,0.0,6.6,1.0,1.0,15.5,52.0,79.0,15.0,0.0,0.0,0.0,158.0,0.0,20.0,0.0,38564.0,2.0,2.0,96.0,6.0,-307.0,1742.0,2049.0,97.0,0.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,158.0,0.0,21.0,0.0,39799.0,1.0,1.0,0.0,0.0,449.0,4175.0,3726.0,97.0,0.0,0.0,0.0
0.0,0.0,4.0,0.0,10.3,1.0,0.0,1.8,2.0,34.0,16.0,0.0,0.0,0.0,158.0,0.0,22.0,0.0,40547.0,3.0,2.0,6.0,1.0,119.0,3347.0,3228.0,97.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,158.0,0.0,23.0,0.0,37932.0,1.0,1.0,0.0,0.0,-3140.0,338.0,3478.0,97.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,0.3,1.0,0.0,2.7,3.2,24.0,7.0,0.0,0.0,0.0,158.0,0.0,24.0,0.0,37111.0,0.0,2.0,23.0,1.0,-997.0,275.0,1272.0,97.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,158.0,0.0,25.0,0.0,36325.0,0.0,2.0,0.0,0.0,-989.0,140.0,1129.0,96.0,1.0,0.0,0.0
