assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,159.0,0.0,1.0,0.0,23069.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,159.0,0.0,2.0,0.0,20541.0,0.0,2.0,0.0,0.0,-4810.0,582.0,5392.0,59.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,159.0,0.0,3.0,0.0,16244.0,1.0,1.0,0.0,0.0,-5167.0,404.0,5571.0,58.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,159.0,0.0,4.0,0.0,14240.0,1.0,4.0,0.0,0.0,-2664.0,404.0,3068.0,57.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,159.0,0.0,5.0,0.0,13198.0,2.0,1.0,0.0,0.0,-1392.0,255.0,1647.0,57.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,159.0,0.0,6.0,0.0,12471.0,1.0,5.0,0.0,0.0,-1023.0,357.0,1380.0,56.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,159.0,0.0,7.0,0.0,12106.0,2.0,1.0,0.0,0.0,-571.0,311.0,882.0,56.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,159.0,0.0,8.0,0.0,11960.0,0.0,0.0,0.0,0.0,-476.0,273.0,749.0,56.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,159.0,0.0,9.0,0.0,11844.0,1.0,2.0,0.0,0.0,-269.0,218.0,487.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,159.0,0.0,10.0,0.0,11883.0,4.0,2.0,0.0,0.0,-170.0,280.0,450.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,159.0,0.0,11.0,0.0,11367.0,1.0,6.0,0.0,0.0,-650.0,257.0,907.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,159.0,0.0,12.0,0.0,10737.0,0.0,0.0,0.0,0.0,-725.0,51.0,776.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,159.0,0.0,13.0,0.0,10548.0,0.0,2.0,0.0,0.0,-227.0,21.0,248.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,159.0,0.0,14.0,0.0,10400.0,3.0,4.0,0.0,0.0,-193.0,21.0,214.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,159.0,0.0,15.0,0.0,10300.0,2.0,2.0,0.0,0.0,-167.0,51.0,218.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,159.0,0.0,16.0,0.0,10216.0,3.0,0.0,0.0,0.0,-112.0,36.0,148.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,159.0,0.0,17.0,0.0,10150.0,1.0,0.0,0.0,0.0,-80.0,34.0,114.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,159.0,0.0,18.0,0.0,10089.0,1.0,4.0,0.0,0.0,-111.0,55.0,166.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,159.0,0.0,19.0,0.0,10060.0,0.0,1.0,0.0,0.0,-74.0,49.0,123.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,159.0,0.0,20.0,0.0,10042.0,2.0,2.0,0.0,0.0,-50.0,35.0,85.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,159.0,0.0,21.0,0.0,10008.0,1.0,1.0,0.0,0.0,-124.0,54.0,178.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,159.0,0.0,22.0,0.0,9970.0,3.0,2.0,0.0,0.0,-78.0,46.0,124.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,159.0,0.0,23.0,0.0,9968.0,1.0,1.0,0.0,0.0,-52.0,36.0,88.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,159.0,0.0,24.0,0.0,9957.0,0.0,2.0,0.0,0.0,-25.0,23.0,48.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,159.0,0.0,25.0,0.0,9969.0,0.0,2.0,0.0,0.0,-32.0,44.0,76.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,159.0,0.0,26.0,0.0,9998.0,1.0,3.0,0.0,0.0,-19.0,55.0,74.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,159.0,0.0,27.0,0.0,9997.0,1.0,3.0,0.0,0.0,-28.0,23.0,51.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,159.0,0.0,28.0,0.0,9993.0,1.0,2.0,0.0,0.0,-21.0,25.0,46.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,159.0,0.0,29.0,0.0,10003.0,1.0,1.0,0.0,0.0,-9.0,18.0,27.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,159.0,0.0,30.0,0.0,10012.0,1.0,3.0,0.0,0.0,-16.0,25.0,41.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,159.0,0.0,31.0,0.0,10013.0,2.0,2.0,0.0,0.0,-7.0,12.0,19.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,159.0,0.0,32.0,0.0,10019.0,2.0,1.0,0.0,0.0,0.0,29.0,29.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,159.0,0.0,33.0,0.0,10032.0,1.0,0.0,0.0,0.0,-8.0,19.0,27.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,159.0,0.0,34.0,0.0,10040.0,2.0,1.0,0.0,0.0,-15.0,32.0,47.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,159.0,0.0,35.0,0.0,10045.0,1.0,0.0,0.0,0.0,-15.0,25.0,40.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,159.0,0.0,36.0,0.0,10048.0,0.0,0.0,0.0,0.0,-9.0,18.0,27.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,159.0,0.0,37.0,0.0,10043.0,4.0,0.0,0.0,0.0,-14.0,22.0,36.0,54.0,0.0,0.0,0.0
