assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,174.0,0.0,1.0,0.0,6064.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,174.0,0.0,2.0,0.0,7400.0,0.0,0.0,0.0,0.0,-578.0,153.0,731.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,174.0,0.0,3.0,0.0,7708.0,3.0,1.0,0.0,0.0,-571.0,150.0,721.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,174.0,0.0,4.0,0.0,8072.0,1.0,2.0,0.0,0.0,-449.0,183.0,632.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,174.0,0.0,5.0,0.0,8379.0,4.0,1.0,0.0,0.0,-158.0,172.0,330.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,174.0,0.0,6.0,0.0,8632.0,0.0,3.0,0.0,0.0,-269.0,158.0,427.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,174.0,0.0,7.0,0.0,8699.0,1.0,0.0,0.0,0.0,-253.0,106.0,359.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,174.0,0.0,8.0,0.0,8856.0,2.0,3.0,0.0,0.0,-256.0,88.0,344.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,174.0,0.0,9.0,0.0,8844.0,0.0,0.0,0.0,0.0,-200.0,48.0,248.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,174.0,0.0,10.0,0.0,8863.0,4.0,1.0,0.0,0.0,-161.0,40.0,201.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,174.0,0.0,11.0,0.0,8861.0,1.0,1.0,0.0,0.0,-165.0,61.0,226.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,174.0,0.0,12.0,0.0,8975.0,1.0,1.0,0.0,0.0,-127.0,73.0,200.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,174.0,0.0,13.0,0.0,9003.0,1.0,3.0,0.0,0.0,-81.0,46.0,127.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,174.0,0.0,14.0,0.0,9042.0,5.0,1.0,0.0,0.0,-86.0,55.0,141.0,48.0,0.0,0.0,0.0
