assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,2.0,0.0,1.5,0.0,0.0,0.4,0.0,16.0,9.0,0.0,0.0,0.0,731.0,0.0,42.0,0.0,1586.0,2.0,1.0,4.0,1.0,1304.0,2024.0,720.0,60.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,731.0,0.0,43.0,0.0,6316.0,0.0,0.0,0.0,0.0,3795.0,5117.0,1322.0,60.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,731.0,0.0,44.0,0.0,7079.0,4.0,0.0,0.0,0.0,-96.0,2356.0,2452.0,60.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,731.0,0.0,45.0,0.0,5344.0,1.0,0.0,0.0,0.0,-2097.0,678.0,2775.0,60.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,3.2,1.0,0.0,3.9,15.2,50.0,6.0,0.0,0.0,0.0,731.0,0.0,46.0,0.0,4535.0,1.0,2.0,21.0,1.0,-1054.0,322.0,1376.0,59.0,0.0,0.0,1.0
0.0,0.0,3.0,0.0,0.3,0.0,0.0,0.2,2.0,4.0,18.0,0.0,0.0,0.0,731.0,0.0,47.0,0.0,6268.0,2.0,4.0,0.0,1.0,1500.0,2183.0,683.0,59.0,1.0,0.0,1.0
0.0,0.0,21.0,1.0,23.4,0.0,0.0,6.1,11.6,90.0,2.0,0.0,0.0,0.0,731.0,0.0,48.0,0.0,5866.0,1.0,0.0,26.0,6.0,-630.0,779.0,1409.0,59.0,0.0,0.0,6.0
0.0,0.0,20.0,1.0,15.5,0.0,0.0,4.9,8.4,65.0,12.0,0.0,0.0,0.0,731.0,0.0,49.0,0.0,6045.0,0.0,1.0,25.0,6.0,-64.0,572.0,636.0,59.0,1.0,0.0,6.0
0.0,0.0,25.0,1.0,8.2,0.0,0.0,3.7,20.6,90.0,19.0,0.0,0.0,0.0,731.0,0.0,50.0,0.0,9687.0,4.0,0.0,8.0,6.0,3161.0,4029.0,868.0,59.0,0.0,0.0,6.0
0.0,0.0,17.0,0.0,29.3,1.0,0.0,6.7,24.2,82.0,10.0,0.0,0.0,0.0,731.0,0.0,51.0,0.0,12269.0,1.0,1.0,13.0,2.0,2186.0,3282.0,1096.0,59.0,0.0,0.0,2.0
