assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1139.0,0.0,115.0,0.0,4750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,0.0
0.0,0.0,8.0,0.0,0.1,0.0,0.0,0.5,5.0,17.0,6.0,0.0,0.0,0.0,1139.0,0.0,116.0,0.0,5572.0,1.0,1.0,0.0,1.0,-445.0,463.0,908.0,55.0,0.0,0.0,1.0
0.0,0.0,8.0,0.0,12.4,1.0,0.0,2.5,4.2,63.0,15.0,0.0,0.0,0.0,1139.0,0.0,117.0,0.0,5078.0,2.0,1.0,8.0,2.0,-820.0,196.0,1016.0,55.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1139.0,0.0,118.0,0.0,5007.0,1.0,3.0,0.0,0.0,-444.0,281.0,725.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1139.0,0.0,119.0,0.0,4576.0,0.0,1.0,0.0,0.0,-661.0,176.0,837.0,54.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,0.7,0.0,0.0,0.6,5.2,23.0,17.0,0.0,0.0,0.0,1139.0,0.0,120.0,0.0,4260.0,1.0,2.0,0.0,1.0,-428.0,48.0,476.0,54.0,1.0,0.0,1.0
1.0,0.0,15.0,1.0,8.4,0.0,0.0,3.3,4.6,78.0,13.0,0.0,0.0,0.0,1139.0,0.0,121.0,0.0,4090.0,0.0,5.0,20.0,6.0,-276.0,104.0,380.0,53.0,1.0,0.0,6.0
0.0,0.0,10.0,0.0,3.1,1.0,0.0,1.3,8.8,72.0,10.0,0.0,0.0,0.0,1139.0,0.0,122.0,0.0,4460.0,1.0,2.0,1.0,2.0,273.0,487.0,214.0,53.0,0.0,0.0,2.0
0.0,0.0,3.0,0.0,0.3,0.0,0.0,0.2,1.6,17.0,5.0,0.0,0.0,0.0,1139.0,0.0,123.0,0.0,4824.0,1.0,2.0,0.0,1.0,275.0,546.0,271.0,53.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1139.0,0.0,124.0,0.0,4895.0,9.0,0.0,0.0,0.0,31.0,267.0,236.0,53.0,0.0,0.0,0.0
0.0,0.0,7.0,0.0,10.1,0.0,0.0,1.3,3.2,1.0,7.0,0.0,0.0,0.0,1139.0,0.0,125.0,0.0,4624.0,2.0,0.0,0.0,1.0,-340.0,235.0,575.0,53.0,0.0,0.0,1.0
0.0,0.0,4.0,0.0,5.2,0.0,0.0,2.7,3.8,16.0,1.0,0.0,0.0,0.0,1139.0,0.0,126.0,0.0,4521.0,0.0,2.0,18.0,1.0,-134.0,119.0,253.0,53.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,2.4,0.0,0.0,0.7,5.0,20.0,4.0,0.0,0.0,0.0,1139.0,0.0,127.0,0.0,4419.0,2.0,0.0,0.0,1.0,-163.0,142.0,305.0,53.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1139.0,0.0,128.0,0.0,4315.0,1.0,2.0,0.0,0.0,-152.0,55.0,207.0,53.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,1.8,0.0,0.0,3.9,1.2,45.0,18.0,0.0,0.0,0.0,1139.0,0.0,129.0,0.0,4255.0,0.0,2.0,36.0,1.0,-83.0,48.0,131.0,53.0,1.0,0.0,1.0
1.0,0.0,25.0,0.0,15.9,1.0,0.0,4.2,22.4,75.0,2.0,0.0,0.0,0.0,1139.0,0.0,130.0,0.0,4191.0,4.0,1.0,4.0,5.0,-89.0,48.0,137.0,53.0,0.0,0.0,5.0
0.0,0.0,14.0,0.0,27.9,1.0,0.0,4.1,13.2,45.0,14.0,0.0,0.0,0.0,1139.0,0.0,131.0,0.0,4414.0,1.0,1.0,0.0,1.0,160.0,301.0,141.0,53.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,0.5,0.0,0.0,0.1,0.6,13.0,11.0,0.0,0.0,0.0,1139.0,0.0,132.0,0.0,4373.0,1.0,3.0,0.0,1.0,-69.0,89.0,158.0,53.0,0.0,0.0,1.0
0.0,0.0,4.0,0.0,4.9,2.0,0.0,0.9,0.0,71.0,10.0,0.0,0.0,0.0,1139.0,0.0,133.0,0.0,4362.0,4.0,0.0,5.0,2.0,-48.0,83.0,131.0,53.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1139.0,0.0,134.0,0.0,4486.0,2.0,1.0,0.0,0.0,82.0,171.0,89.0,53.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1139.0,0.0,135.0,0.0,4412.0,3.0,0.0,0.0,0.0,-101.0,95.0,196.0,53.0,0.0,0.0,0.0
0.0,3.0,26.0,0.0,2.8,1.0,1.0,7.7,39.4,76.0,16.0,0.0,0.0,0.0,1139.0,0.0,136.0,0.0,4354.0,2.0,1.0,35.0,10.0,-106.0,104.0,210.0,53.0,1.0,0.0,10.0
1.0,0.0,25.0,0.0,15.1,1.0,0.0,6.7,33.0,73.0,5.0,0.0,0.0,0.0,1139.0,0.0,137.0,0.0,5698.0,1.0,2.0,19.0,5.0,1155.0,1483.0,328.0,53.0,0.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1139.0,0.0,138.0,0.0,7442.0,1.0,4.0,0.0,0.0,1504.0,2021.0,517.0,53.0,1.0,0.0,0.0
0.0,0.0,4.0,0.0,0.1,0.0,0.0,0.1,1.2,10.0,6.0,0.0,0.0,0.0,1139.0,0.0,139.0,0.0,6630.0,2.0,2.0,0.0,1.0,-637.0,539.0,1176.0,53.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,0.4,0.0,0.0,1.9,0.4,15.0,20.0,0.0,0.0,0.0,1139.0,0.0,140.0,0.0,6551.0,0.0,0.0,18.0,1.0,-162.0,514.0,676.0,53.0,0.0,0.0,1.0
0.0,0.0,6.0,0.0,1.9,1.0,0.0,0.2,0.0,84.0,11.0,0.0,0.0,0.0,1139.0,0.0,141.0,0.0,6186.0,1.0,0.0,0.0,2.0,-393.0,176.0,569.0,53.0,1.0,0.0,2.0
0.0,0.0,6.0,0.0,5.4,1.0,0.0,2.7,10.6,72.0,14.0,0.0,0.0,0.0,1139.0,0.0,142.0,0.0,6345.0,0.0,1.0,11.0,1.0,113.0,433.0,320.0,53.0,0.0,1.0,1.0
0.0,0.0,8.0,1.0,12.3,0.0,0.0,2.5,10.8,75.0,2.0,0.0,0.0,0.0,1139.0,0.0,143.0,0.0,6329.0,0.0,4.0,2.0,2.0,-59.0,367.0,426.0,53.0,1.0,1.0,2.0
