assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1141.0,0.0,119.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0
0.0,0.0,5.0,0.0,0.1,5.0,0.0,0.4,3.4,32.0,11.0,0.0,0.0,0.0,1141.0,0.0,120.0,0.0,2129.0,0.0,8.0,0.0,-1.0,1177.0,1412.0,235.0,40.0,0.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1141.0,0.0,121.0,0.0,6431.0,0.0,2.0,0.0,0.0,2692.0,3566.0,874.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1141.0,0.0,122.0,0.0,7836.0,0.0,0.0,0.0,0.0,762.0,1596.0,834.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1141.0,0.0,123.0,0.0,9001.0,1.0,1.0,0.0,0.0,499.0,1392.0,893.0,40.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.4,0.0,0.0,0.2,1.4,17.0,3.0,0.0,0.0,0.0,1141.0,0.0,124.0,0.0,9510.0,0.0,0.0,0.0,1.0,202.0,861.0,659.0,40.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1141.0,0.0,125.0,0.0,12326.0,2.0,1.0,0.0,0.0,1862.0,2775.0,913.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1141.0,0.0,126.0,0.0,12550.0,2.0,0.0,0.0,0.0,-52.0,853.0,905.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1141.0,0.0,127.0,0.0,13590.0,3.0,0.0,0.0,0.0,406.0,1429.0,1023.0,40.0,1.0,0.0,0.0
0.0,0.0,4.0,0.0,0.5,1.0,0.0,0.4,3.2,8.0,16.0,0.0,0.0,0.0,1141.0,0.0,128.0,0.0,13307.0,1.0,2.0,0.0,1.0,-435.0,369.0,804.0,40.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1141.0,0.0,129.0,0.0,13772.0,0.0,2.0,0.0,0.0,180.0,621.0,441.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1141.0,0.0,130.0,0.0,14112.0,0.0,0.0,0.0,0.0,78.0,698.0,620.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1141.0,0.0,131.0,0.0,14750.0,0.0,2.0,0.0,0.0,187.0,1006.0,819.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1141.0,0.0,132.0,0.0,15119.0,0.0,2.0,0.0,0.0,-120.0,658.0,778.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1141.0,0.0,133.0,0.0,15187.0,1.0,1.0,0.0,0.0,18.0,607.0,589.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1141.0,0.0,134.0,0.0,15071.0,0.0,3.0,0.0,0.0,-207.0,265.0,472.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1141.0,0.0,135.0,0.0,14755.0,1.0,2.0,0.0,0.0,-476.0,331.0,807.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1141.0,0.0,136.0,0.0,13169.0,3.0,0.0,0.0,0.0,-1598.0,93.0,1691.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1141.0,0.0,137.0,0.0,12187.0,0.0,0.0,0.0,0.0,-1009.0,43.0,1052.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1141.0,0.0,138.0,0.0,11704.0,1.0,2.0,0.0,0.0,-491.0,32.0,523.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1141.0,0.0,139.0,0.0,11157.0,3.0,2.0,0.0,0.0,-562.0,30.0,592.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1141.0,0.0,140.0,0.0,10850.0,1.0,1.0,0.0,0.0,-310.0,34.0,344.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1141.0,0.0,141.0,0.0,10580.0,0.0,3.0,0.0,0.0,-278.0,24.0,302.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1141.0,0.0,142.0,0.0,10394.0,0.0,3.0,0.0,0.0,-191.0,43.0,234.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1141.0,0.0,143.0,0.0,10177.0,0.0,1.0,0.0,0.0,-205.0,17.0,222.0,40.0,0.0,0.0,0.0
