assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1142.0,0.0,115.0,0.0,15480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1142.0,0.0,116.0,0.0,17208.0,0.0,1.0,0.0,0.0,-2757.0,950.0,3707.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1142.0,0.0,117.0,0.0,14460.0,0.0,2.0,0.0,0.0,-3517.0,487.0,4004.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1142.0,0.0,118.0,0.0,12994.0,2.0,3.0,0.0,0.0,-2060.0,325.0,2385.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1142.0,0.0,119.0,0.0,12225.0,1.0,3.0,0.0,0.0,-1269.0,444.0,1713.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1142.0,0.0,120.0,0.0,11820.0,2.0,0.0,0.0,0.0,-693.0,195.0,888.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1142.0,0.0,121.0,0.0,11234.0,3.0,1.0,0.0,0.0,-772.0,193.0,965.0,53.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,1.5,1.0,0.0,0.4,0.8,31.0,5.0,0.0,0.0,0.0,1142.0,0.0,122.0,0.0,10944.0,0.0,1.0,2.0,0.0,-438.0,159.0,597.0,53.0,0.0,1.0,0.0
0.0,3.0,32.0,1.0,20.6,0.0,0.0,4.1,18.8,90.0,19.0,0.0,0.0,0.0,1142.0,0.0,123.0,0.0,11076.0,0.0,2.0,2.0,9.0,-70.0,357.0,427.0,53.0,1.0,0.0,9.0
0.0,0.0,11.0,0.0,15.5,3.0,0.0,3.7,21.0,90.0,4.0,0.0,0.0,0.0,1142.0,0.0,124.0,0.0,12996.0,2.0,3.0,0.0,1.0,1565.0,1872.0,307.0,53.0,0.0,0.0,1.0
0.0,0.0,10.0,0.0,3.2,1.0,0.0,1.7,11.4,90.0,17.0,0.0,0.0,0.0,1142.0,0.0,125.0,0.0,13056.0,1.0,1.0,2.0,2.0,-41.0,780.0,821.0,53.0,1.0,0.0,2.0
1.0,0.0,22.0,0.0,15.3,1.0,0.0,7.0,33.0,90.0,16.0,0.0,0.0,0.0,1142.0,0.0,126.0,0.0,14119.0,2.0,1.0,22.0,4.0,685.0,1270.0,585.0,53.0,0.0,1.0,4.0
0.0,0.0,11.0,0.0,9.4,1.0,0.0,2.1,12.0,65.0,14.0,0.0,0.0,0.0,1142.0,0.0,127.0,0.0,19055.0,2.0,0.0,0.0,2.0,3856.0,4864.0,1008.0,53.0,1.0,0.0,2.0
1.0,0.0,19.0,0.0,19.3,2.0,0.0,5.7,33.0,90.0,9.0,0.0,0.0,0.0,1142.0,0.0,128.0,0.0,16322.0,1.0,2.0,5.0,4.0,-2111.0,324.0,2435.0,53.0,0.0,0.0,4.0
0.0,0.0,5.0,0.0,0.2,3.0,0.0,0.9,8.6,34.0,10.0,0.0,0.0,0.0,1142.0,0.0,129.0,0.0,16595.0,2.0,5.0,0.0,0.0,88.0,704.0,616.0,53.0,0.0,0.0,0.0
1.0,1.0,28.0,0.0,35.9,1.0,0.0,8.6,45.6,90.0,6.0,0.0,0.0,0.0,1142.0,0.0,130.0,0.0,16301.0,1.0,3.0,4.0,6.0,-439.0,672.0,1111.0,53.0,1.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1142.0,0.0,131.0,0.0,21323.0,1.0,1.0,0.0,0.0,4266.0,5166.0,900.0,53.0,0.0,0.0,0.0
0.0,0.0,27.0,1.0,6.3,0.0,0.0,2.9,22.4,90.0,1.0,0.0,0.0,0.0,1142.0,0.0,132.0,0.0,19064.0,0.0,0.0,0.0,6.0,-1964.0,819.0,2783.0,53.0,1.0,0.0,6.0
1.0,3.0,36.0,1.0,44.8,0.0,0.0,11.4,37.8,89.0,5.0,0.0,0.0,0.0,1142.0,0.0,133.0,0.0,25814.0,0.0,1.0,31.0,12.0,5622.0,6475.0,853.0,53.0,1.0,0.0,12.0
0.0,0.0,23.0,0.0,31.2,1.0,0.0,6.9,29.2,90.0,13.0,0.0,0.0,0.0,1142.0,0.0,134.0,0.0,83974.0,2.0,1.0,9.0,2.0,53820.0,55792.0,1972.0,53.0,0.0,0.0,2.0
0.0,2.0,23.0,0.0,20.1,2.0,0.0,4.1,21.0,90.0,11.0,0.0,0.0,0.0,1142.0,0.0,135.0,0.0,92545.0,1.0,2.0,0.0,3.0,9907.0,25374.0,15467.0,53.0,0.0,0.0,3.0
0.0,0.0,22.0,1.0,3.2,0.0,0.0,1.2,8.2,90.0,4.0,0.0,0.0,0.0,1142.0,0.0,136.0,0.0,155494.0,0.0,1.0,1.0,6.0,59784.0,71684.0,11900.0,54.0,1.0,0.0,6.0
0.0,0.0,7.0,0.0,3.7,0.0,0.0,1.2,8.2,33.0,19.0,0.0,0.0,0.0,1142.0,0.0,137.0,0.0,173809.0,1.0,1.0,0.0,1.0,17113.0,31089.0,13976.0,54.0,0.0,0.0,1.0
0.0,0.0,12.0,0.0,18.8,2.0,0.0,4.6,16.4,90.0,13.0,0.0,0.0,0.0,1142.0,0.0,138.0,0.0,159175.0,2.0,2.0,11.0,1.0,-13895.0,13012.0,26907.0,54.0,1.0,0.0,1.0
0.0,0.0,21.0,0.0,21.1,2.0,0.0,5.6,34.8,90.0,18.0,0.0,0.0,0.0,1142.0,0.0,139.0,0.0,144278.0,3.0,2.0,0.0,1.0,-16600.0,7540.0,24140.0,54.0,0.0,0.0,1.0
0.0,0.0,9.0,0.0,24.3,1.0,0.0,3.9,9.0,64.0,7.0,0.0,0.0,0.0,1142.0,0.0,140.0,0.0,129843.0,1.0,3.0,6.0,2.0,-14868.0,2873.0,17741.0,54.0,1.0,0.0,2.0
0.0,0.0,11.0,0.0,3.8,3.0,0.0,2.6,14.4,90.0,1.0,0.0,0.0,0.0,1142.0,0.0,141.0,0.0,100583.0,2.0,3.0,8.0,1.0,-29226.0,801.0,30027.0,52.0,0.0,0.0,1.0
0.0,0.0,4.0,0.0,1.8,1.0,0.0,2.7,17.6,62.0,12.0,0.0,0.0,0.0,1142.0,0.0,142.0,0.0,89375.0,1.0,1.0,8.0,1.0,-9983.0,1098.0,11081.0,52.0,1.0,1.0,1.0
0.0,0.0,9.0,0.0,18.3,4.0,0.0,3.6,17.8,90.0,6.0,0.0,0.0,0.0,1142.0,0.0,143.0,0.0,78501.0,0.0,4.0,0.0,0.0,-11808.0,976.0,12784.0,51.0,0.0,0.0,0.0
