assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,3.0,0.0,10.0,2.0,0.0,2.2,11.6,8.0,17.0,0.0,0.0,0.0,1138.0,0.0,115.0,0.0,36123.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,45.0,0.0,0.0,1.0
0.0,2.0,33.0,0.0,13.6,2.0,1.0,7.5,46.0,90.0,3.0,0.0,0.0,0.0,1138.0,0.0,116.0,0.0,41964.0,2.0,1.0,15.0,9.0,809.0,4629.0,3820.0,45.0,1.0,0.0,9.0
0.0,0.0,6.0,1.0,0.6,0.0,0.0,1.1,10.6,90.0,8.0,0.0,0.0,0.0,1138.0,0.0,117.0,0.0,169749.0,0.0,2.0,0.0,3.0,104650.0,129253.0,24603.0,45.0,1.0,0.0,3.0
0.0,0.0,7.0,1.0,1.4,0.0,0.0,1.0,7.2,70.0,7.0,0.0,0.0,0.0,1138.0,0.0,118.0,0.0,306401.0,0.0,1.0,1.0,2.0,118326.0,157482.0,39156.0,46.0,0.0,1.0,2.0
0.0,0.0,7.0,0.0,14.9,0.0,0.0,1.9,4.2,9.0,19.0,0.0,0.0,0.0,1138.0,0.0,119.0,0.0,341882.0,0.0,0.0,0.0,1.0,35603.0,73667.0,38064.0,46.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1138.0,0.0,120.0,0.0,324724.0,2.0,3.0,0.0,0.0,-15263.0,18176.0,33439.0,46.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1138.0,0.0,121.0,0.0,291706.0,2.0,2.0,0.0,0.0,-33025.0,7483.0,40508.0,46.0,1.0,0.0,0.0
0.0,0.0,20.0,0.0,0.6,1.0,1.0,4.0,32.6,12.0,14.0,0.0,0.0,0.0,1138.0,0.0,122.0,0.0,262675.0,5.0,1.0,7.0,6.0,-30690.0,9448.0,40138.0,45.0,0.0,0.0,6.0
0.0,0.0,2.0,0.0,1.9,0.0,0.0,1.3,2.0,14.0,4.0,0.0,0.0,0.0,1138.0,0.0,123.0,0.0,280786.0,1.0,2.0,9.0,1.0,13331.0,31707.0,18376.0,45.0,1.0,0.0,1.0
0.0,0.0,13.0,0.0,4.9,3.0,0.0,3.3,8.2,90.0,11.0,0.0,0.0,0.0,1138.0,0.0,124.0,0.0,270871.0,0.0,3.0,20.0,2.0,-8669.0,8656.0,17325.0,45.0,0.0,0.0,2.0
0.0,0.0,8.0,1.0,3.3,0.0,0.0,1.2,8.4,72.0,10.0,0.0,0.0,0.0,1138.0,0.0,125.0,0.0,269520.0,2.0,1.0,0.0,3.0,-2654.0,17872.0,20526.0,45.0,1.0,0.0,3.0
0.0,0.0,15.0,0.0,3.4,2.0,0.0,2.7,8.2,90.0,20.0,0.0,0.0,0.0,1138.0,0.0,126.0,0.0,279610.0,1.0,2.0,15.0,2.0,9002.0,20498.0,11496.0,45.0,0.0,0.0,2.0
0.0,0.0,11.0,1.0,3.8,0.0,0.0,5.5,10.6,90.0,13.0,0.0,0.0,0.0,1138.0,0.0,127.0,0.0,292018.0,0.0,2.0,41.0,3.0,10059.0,26565.0,16506.0,45.0,1.0,0.0,3.0
0.0,0.0,20.0,0.0,0.8,2.0,0.0,1.4,10.8,90.0,12.0,0.0,0.0,0.0,1138.0,0.0,128.0,0.0,289495.0,2.0,2.0,2.0,2.0,-2445.0,16044.0,18489.0,45.0,0.0,0.0,2.0
0.0,0.0,6.0,0.0,4.2,0.0,0.0,7.0,13.2,32.0,6.0,0.0,0.0,0.0,1138.0,0.0,129.0,0.0,282663.0,1.0,2.0,53.0,1.0,-6974.0,7679.0,14653.0,45.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0,1.6,4.0,0.0,2.5,2.4,90.0,9.0,0.0,0.0,0.0,1138.0,0.0,130.0,0.0,271381.0,4.0,1.0,21.0,2.0,-11401.0,5600.0,17001.0,45.0,1.0,0.0,2.0
0.0,0.0,3.0,0.0,1.2,1.0,0.0,0.6,4.6,24.0,15.0,0.0,0.0,0.0,1138.0,0.0,131.0,0.0,266698.0,0.0,2.0,0.0,1.0,-5386.0,9623.0,15009.0,45.0,0.0,0.0,1.0
0.0,0.0,11.0,0.0,21.8,3.0,0.0,4.6,4.0,90.0,16.0,0.0,0.0,0.0,1138.0,0.0,132.0,0.0,251847.0,3.0,1.0,20.0,2.0,-11149.0,5402.0,16551.0,44.0,1.0,0.0,2.0
0.0,0.0,8.0,1.0,4.2,0.0,0.0,2.1,12.2,90.0,14.0,0.0,0.0,0.0,1138.0,0.0,133.0,0.0,254650.0,0.0,1.0,5.0,2.0,-2139.0,9744.0,11883.0,44.0,1.0,1.0,2.0
0.0,0.0,12.0,0.0,17.7,3.0,0.0,4.9,19.2,90.0,18.0,0.0,0.0,0.0,1138.0,0.0,134.0,0.0,258001.0,0.0,3.0,12.0,2.0,2510.0,11179.0,8669.0,44.0,0.0,0.0,2.0
1.0,2.0,27.0,0.0,26.7,1.0,0.0,10.4,36.2,90.0,5.0,0.0,0.0,0.0,1138.0,0.0,135.0,0.0,254835.0,2.0,1.0,41.0,7.0,-3430.0,14638.0,18068.0,44.0,0.0,0.0,7.0
0.0,0.0,7.0,0.0,2.1,5.0,0.0,1.0,5.8,64.0,11.0,0.0,0.0,0.0,1138.0,0.0,136.0,0.0,265865.0,6.0,1.0,2.0,2.0,9755.0,28677.0,18922.0,44.0,1.0,0.0,2.0
1.0,0.0,14.0,0.0,11.0,0.0,0.0,4.0,22.0,22.0,4.0,0.0,0.0,0.0,1138.0,0.0,137.0,0.0,264192.0,1.0,1.0,7.0,4.0,-1909.0,15267.0,17176.0,44.0,0.0,0.0,4.0
0.0,1.0,18.0,0.0,2.4,0.0,1.0,7.6,41.0,34.0,18.0,0.0,0.0,0.0,1138.0,0.0,138.0,0.0,273246.0,1.0,2.0,33.0,6.0,6984.0,20753.0,13769.0,44.0,1.0,1.0,6.0
