assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,17.0,0.0,94.5,1.0,0.0,18.1,32.8,90.0,18.0,0.0,0.0,0.0,197.0,0.0,1.0,0.0,192865.0,1.0,1.0,54.0,2.0,0.0,0.0,0.0,75.0,1.0,0.0,2.0
0.0,0.0,6.0,0.0,40.8,2.0,0.0,6.5,2.8,90.0,11.0,0.0,0.0,0.0,197.0,0.0,2.0,0.0,169647.0,0.0,2.0,21.0,2.0,-28901.0,2755.0,31656.0,75.0,0.0,0.0,2.0
0.0,0.0,4.0,1.0,29.4,0.0,0.0,3.8,1.2,66.0,15.0,0.0,0.0,0.0,197.0,0.0,3.0,0.0,160781.0,1.0,1.0,7.0,3.0,-11655.0,12513.0,24168.0,74.0,1.0,0.0,3.0
1.0,0.0,16.0,0.0,32.3,1.0,0.0,4.9,9.2,79.0,1.0,0.0,0.0,0.0,197.0,0.0,4.0,0.0,119685.0,1.0,2.0,7.0,5.0,-42333.0,2230.0,44563.0,73.0,0.0,0.0,5.0
1.0,0.0,26.0,1.0,70.2,0.0,0.0,13.5,24.6,80.0,16.0,0.0,0.0,0.0,197.0,0.0,5.0,0.0,111856.0,0.0,1.0,40.0,6.0,-8519.0,2854.0,11373.0,73.0,1.0,0.0,6.0
0.0,0.0,26.0,1.0,47.7,0.0,1.0,15.5,49.8,79.0,20.0,0.0,0.0,0.0,197.0,0.0,6.0,0.0,99908.0,3.0,0.0,57.0,8.0,-12720.0,2446.0,15166.0,72.0,0.0,0.0,8.0
0.0,0.0,8.0,1.0,23.4,0.0,0.0,3.8,5.0,70.0,8.0,0.0,0.0,0.0,197.0,0.0,7.0,0.0,99290.0,0.0,0.0,10.0,3.0,-1457.0,5075.0,6532.0,72.0,0.0,0.0,3.0
0.0,0.0,6.0,0.0,105.8,1.0,0.0,23.2,26.8,90.0,3.0,0.0,0.0,0.0,197.0,0.0,8.0,0.0,120922.0,1.0,3.0,99.0,1.0,20046.0,24961.0,4915.0,72.0,1.0,1.0,1.0
0.0,0.0,7.0,0.0,5.0,1.0,0.0,1.2,3.0,69.0,10.0,0.0,0.0,0.0,197.0,0.0,9.0,0.0,105131.0,1.0,1.0,4.0,2.0,-16403.0,2418.0,18821.0,72.0,0.0,0.0,2.0
0.0,0.0,6.0,0.0,11.7,2.0,0.0,4.1,6.6,77.0,4.0,0.0,0.0,0.0,197.0,0.0,10.0,0.0,98813.0,2.0,0.0,23.0,2.0,-6715.0,1870.0,8585.0,72.0,1.0,0.0,2.0
0.0,0.0,7.0,0.0,49.0,2.0,0.0,6.8,3.4,65.0,7.0,0.0,0.0,0.0,197.0,0.0,11.0,0.0,95922.0,1.0,2.0,16.0,1.0,-3269.0,4528.0,7797.0,72.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,197.0,0.0,12.0,0.0,80783.0,0.0,0.0,0.0,0.0,-15346.0,424.0,15770.0,71.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,197.0,0.0,13.0,0.0,70651.0,0.0,1.0,0.0,0.0,-10177.0,96.0,10273.0,71.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,197.0,0.0,14.0,0.0,63438.0,0.0,3.0,0.0,0.0,-7253.0,122.0,7375.0,70.0,0.0,0.0,0.0
0.0,0.0,-5.0,0.0,17.6,0.0,0.0,1.8,0.4,45.0,12.0,0.0,0.0,0.0,197.0,0.0,15.0,0.0,61065.0,0.0,1.0,0.0,0.0,-2424.0,600.0,3024.0,70.0,1.0,1.0,0.0
0.0,0.0,2.0,0.0,5.2,0.0,0.0,0.5,0.0,25.0,14.0,0.0,0.0,0.0,197.0,0.0,16.0,0.0,60232.0,0.0,0.0,0.0,1.0,-896.0,256.0,1152.0,70.0,0.0,0.0,1.0
0.0,0.0,3.0,0.0,1.4,0.0,0.0,1.4,3.0,29.0,2.0,0.0,0.0,0.0,197.0,0.0,17.0,0.0,59387.0,3.0,1.0,10.0,1.0,-926.0,294.0,1220.0,70.0,0.0,0.0,1.0
0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.2,2.2,19.0,17.0,0.0,0.0,0.0,197.0,0.0,18.0,0.0,58128.0,4.0,1.0,0.0,1.0,-1343.0,184.0,1527.0,70.0,1.0,0.0,1.0
1.0,0.0,19.0,0.0,24.3,2.0,0.0,5.9,11.8,73.0,19.0,0.0,0.0,0.0,197.0,0.0,19.0,0.0,57550.0,2.0,1.0,23.0,5.0,-630.0,427.0,1057.0,70.0,1.0,0.0,5.0
0.0,0.0,3.0,1.0,5.3,0.0,0.0,1.5,1.8,66.0,6.0,0.0,0.0,0.0,197.0,0.0,20.0,0.0,57384.0,0.0,3.0,8.0,3.0,-219.0,452.0,671.0,70.0,0.0,0.0,3.0
0.0,0.0,10.0,1.0,24.2,0.0,0.0,8.7,2.0,67.0,3.0,0.0,0.0,0.0,197.0,0.0,21.0,0.0,57558.0,0.0,1.0,61.0,3.0,4.0,1408.0,1404.0,70.0,0.0,0.0,3.0
0.0,1.0,24.0,1.0,39.0,0.0,1.0,12.0,45.8,90.0,8.0,0.0,0.0,0.0,197.0,0.0,22.0,0.0,57473.0,0.0,3.0,35.0,9.0,-195.0,857.0,1052.0,70.0,1.0,0.0,9.0
0.0,0.0,2.0,0.0,20.8,1.0,0.0,2.1,0.4,55.0,16.0,0.0,0.0,0.0,197.0,0.0,23.0,0.0,61151.0,1.0,2.0,0.0,1.0,3396.0,4345.0,949.0,70.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,197.0,0.0,24.0,0.0,60210.0,3.0,1.0,0.0,0.0,-998.0,681.0,1679.0,70.0,1.0,0.0,0.0
1.0,0.0,26.0,1.0,56.5,0.0,0.0,12.0,30.4,81.0,15.0,0.0,0.0,0.0,197.0,0.0,25.0,0.0,57840.0,4.0,0.0,33.0,6.0,-2457.0,323.0,2780.0,70.0,0.0,0.0,6.0
2.0,3.0,54.0,0.0,69.8,2.0,1.0,20.6,87.4,86.0,18.0,0.0,0.0,0.0,197.0,0.0,27.0,0.0,57399.0,4.0,3.0,49.0,16.0,262.0,889.0,627.0,70.0,0.0,0.0,16.0
0.0,0.0,3.0,0.0,21.9,2.0,0.0,3.7,3.0,68.0,17.0,0.0,0.0,0.0,197.0,0.0,29.0,0.0,73215.0,1.0,2.0,12.0,2.0,7607.0,8874.0,1267.0,70.0,0.0,0.0,2.0
0.0,0.0,7.0,1.0,63.6,0.0,0.0,8.1,2.0,79.0,2.0,0.0,0.0,0.0,197.0,0.0,30.0,0.0,107109.0,0.0,0.0,15.0,3.0,32529.0,34783.0,2254.0,70.0,1.0,0.0,3.0
0.0,0.0,17.0,0.0,54.8,1.0,0.0,10.1,13.0,90.0,5.0,0.0,0.0,0.0,197.0,0.0,31.0,0.0,107602.0,1.0,3.0,33.0,2.0,258.0,5074.0,4816.0,71.0,1.0,0.0,2.0
1.0,0.0,24.0,1.0,47.1,0.0,0.0,11.6,32.0,90.0,19.0,0.0,0.0,0.0,197.0,0.0,32.0,0.0,97063.0,1.0,0.0,37.0,6.0,-10583.0,775.0,11358.0,71.0,0.0,0.0,6.0
0.0,0.0,10.0,0.0,48.8,3.0,0.0,6.5,5.8,90.0,10.0,0.0,0.0,0.0,197.0,0.0,33.0,0.0,90731.0,3.0,0.0,10.0,2.0,-6421.0,1373.0,7794.0,70.0,1.0,0.0,2.0
0.0,0.0,3.0,0.0,9.6,4.0,0.0,2.8,3.8,90.0,4.0,0.0,0.0,0.0,197.0,0.0,34.0,0.0,84173.0,2.0,4.0,15.0,1.0,-6630.0,895.0,7525.0,69.0,0.0,1.0,1.0
0.0,0.0,3.0,1.0,27.9,0.0,0.0,15.2,15.0,90.0,7.0,0.0,1.0,0.0,197.0,0.0,35.0,0.0,91936.0,0.0,0.0,109.0,1.0,7619.0,10460.0,2841.0,69.0,1.0,0.0,1.0
0.0,0.0,2.0,0.0,19.4,1.0,0.0,3.2,6.8,79.0,1.0,0.0,0.0,0.0,197.0,0.0,36.0,0.0,102514.0,2.0,0.0,6.0,2.0,10373.0,15267.0,4894.0,69.0,1.0,0.0,2.0
0.0,0.0,16.0,1.0,45.9,0.0,0.0,7.5,13.6,90.0,11.0,0.0,0.0,0.0,197.0,0.0,37.0,0.0,100423.0,0.0,0.0,15.0,3.0,-2226.0,4247.0,6473.0,69.0,1.0,0.0,3.0
0.0,0.0,10.0,0.0,9.3,1.0,0.0,1.8,2.4,64.0,14.0,0.0,0.0,0.0,197.0,0.0,38.0,0.0,91268.0,1.0,0.0,6.0,2.0,-9217.0,643.0,9860.0,69.0,1.0,0.0,2.0
