assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,3.0,0.0,0.3,2.0,0.0,2.3,1.2,75.0,17.0,0.0,0.0,0.0,739.0,0.0,39.0,0.0,102404.0,2.0,0.0,21.0,2.0,0.0,0.0,0.0,65.0,1.0,0.0,2.0
0.0,0.0,1.0,0.0,1.5,1.0,0.0,2.0,0.0,51.0,8.0,0.0,0.0,0.0,739.0,0.0,40.0,0.0,108842.0,0.0,1.0,18.0,1.0,-4921.0,8624.0,13545.0,65.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,739.0,0.0,41.0,0.0,77758.0,0.0,3.0,0.0,0.0,-32036.0,1929.0,33965.0,64.0,1.0,0.0,0.0
0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,0.0,0.0,0.0,739.0,0.0,42.0,0.0,53931.0,1.0,0.0,0.0,0.0,-24165.0,325.0,24490.0,63.0,0.0,1.0,0.0
0.0,0.0,2.0,0.0,10.3,0.0,0.0,1.3,1.0,12.0,15.0,0.0,0.0,0.0,739.0,0.0,43.0,0.0,46936.0,1.0,2.0,2.0,1.0,-7457.0,660.0,8117.0,63.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,0.3,0.0,0.0,2.2,3.0,19.0,3.0,0.0,0.0,0.0,739.0,0.0,44.0,0.0,41416.0,0.0,1.0,19.0,1.0,-5913.0,950.0,6863.0,62.0,0.0,0.0,1.0
0.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,739.0,0.0,45.0,0.0,37317.0,1.0,1.0,0.0,1.0,-4337.0,495.0,4832.0,62.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,16.8,1.0,0.0,4.1,2.2,22.0,14.0,0.0,0.0,0.0,739.0,0.0,46.0,0.0,35125.0,2.0,2.0,22.0,1.0,-2454.0,531.0,2985.0,61.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,739.0,0.0,47.0,0.0,32943.0,0.0,1.0,0.0,0.0,-2259.0,125.0,2384.0,61.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,1.3,0.0,0.0,2.1,3.0,7.0,4.0,0.0,0.0,0.0,739.0,0.0,48.0,0.0,30795.0,0.0,1.0,17.0,1.0,-2240.0,191.0,2431.0,61.0,0.0,0.0,1.0
0.0,0.0,7.0,0.0,47.3,1.0,0.0,11.3,9.2,90.0,2.0,0.0,0.0,0.0,739.0,0.0,49.0,0.0,30506.0,1.0,0.0,56.0,2.0,-468.0,392.0,860.0,61.0,1.0,0.0,2.0
