assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,951.0,0.0,84.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,951.0,0.0,85.0,0.0,3833.0,1.0,3.0,0.0,0.0,2047.0,2465.0,418.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,951.0,0.0,86.0,0.0,6079.0,2.0,2.0,0.0,0.0,1409.0,1989.0,580.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,951.0,0.0,87.0,0.0,9135.0,1.0,1.0,0.0,0.0,1771.0,2418.0,647.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,951.0,0.0,88.0,0.0,11779.0,1.0,1.0,0.0,0.0,1733.0,2481.0,748.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,951.0,0.0,89.0,0.0,14871.0,2.0,1.0,0.0,0.0,1637.0,2455.0,818.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,951.0,0.0,90.0,0.0,15675.0,2.0,4.0,0.0,0.0,964.0,1490.0,526.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,951.0,0.0,91.0,0.0,16346.0,2.0,2.0,0.0,0.0,399.0,958.0,559.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,951.0,0.0,92.0,0.0,16560.0,0.0,1.0,0.0,0.0,-55.0,903.0,958.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,951.0,0.0,93.0,0.0,17856.0,2.0,3.0,0.0,0.0,586.0,1365.0,779.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,951.0,0.0,94.0,0.0,18893.0,1.0,3.0,0.0,0.0,561.0,1184.0,623.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,951.0,0.0,95.0,0.0,20387.0,1.0,1.0,0.0,0.0,799.0,1443.0,644.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,951.0,0.0,96.0,0.0,20505.0,1.0,5.0,0.0,0.0,30.0,672.0,642.0,40.0,0.0,0.0,0.0
