assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,4.0,0.0,0.6,0.0,0.0,1.0,9.6,27.0,18.0,0.0,0.0,0.0,1148.0,0.0,120.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,45.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1148.0,0.0,121.0,0.0,466.0,3.0,1.0,0.0,0.0,265.0,316.0,51.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1148.0,0.0,122.0,0.0,656.0,2.0,0.0,0.0,0.0,30.0,130.0,100.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1148.0,0.0,123.0,0.0,863.0,2.0,0.0,0.0,0.0,24.0,132.0,108.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1148.0,0.0,124.0,0.0,965.0,0.0,3.0,0.0,0.0,-3.0,74.0,77.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1148.0,0.0,125.0,0.0,1129.0,1.0,2.0,0.0,0.0,6.0,117.0,111.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1148.0,0.0,126.0,0.0,1243.0,1.0,3.0,0.0,0.0,-11.0,89.0,100.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1148.0,0.0,127.0,0.0,1392.0,1.0,2.0,0.0,0.0,-23.0,100.0,123.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1148.0,0.0,128.0,0.0,1497.0,2.0,2.0,0.0,0.0,5.0,100.0,95.0,45.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.2,5.0,5.0,0.0,0.0,0.0,1148.0,0.0,129.0,0.0,1525.0,4.0,1.0,0.0,1.0,-34.0,48.0,82.0,45.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1148.0,0.0,130.0,0.0,1608.0,2.0,1.0,0.0,0.0,14.0,76.0,62.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1148.0,0.0,131.0,0.0,1723.0,3.0,0.0,0.0,0.0,-26.0,97.0,123.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1148.0,0.0,132.0,0.0,1892.0,1.0,3.0,0.0,0.0,18.0,131.0,113.0,45.0,1.0,0.0,0.0
0.0,0.0,6.0,0.0,0.3,3.0,0.0,1.1,10.8,45.0,20.0,0.0,0.0,0.0,1148.0,0.0,133.0,0.0,1963.0,2.0,3.0,0.0,0.0,1.0,92.0,91.0,45.0,0.0,0.0,0.0
0.0,0.0,27.0,1.0,2.8,0.0,0.0,1.9,16.6,90.0,15.0,0.0,0.0,0.0,1148.0,0.0,134.0,0.0,2080.0,0.0,2.0,0.0,6.0,45.0,102.0,57.0,45.0,1.0,0.0,6.0
0.0,0.0,15.0,0.0,1.8,1.0,0.0,2.1,19.2,90.0,8.0,0.0,0.0,0.0,1148.0,0.0,135.0,0.0,3728.0,1.0,2.0,0.0,2.0,1471.0,1819.0,348.0,45.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1148.0,0.0,136.0,0.0,6138.0,6.0,1.0,0.0,0.0,2185.0,3173.0,988.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1148.0,0.0,137.0,0.0,5092.0,2.0,2.0,0.0,0.0,-1115.0,360.0,1475.0,45.0,1.0,0.0,0.0
0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.3,3.0,12.0,15.0,0.0,0.0,0.0,1148.0,0.0,138.0,0.0,4188.0,1.0,0.0,0.0,1.0,-928.0,111.0,1039.0,45.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1148.0,0.0,139.0,0.0,3996.0,0.0,2.0,0.0,0.0,-364.0,123.0,487.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1148.0,0.0,140.0,0.0,3852.0,0.0,2.0,0.0,0.0,-253.0,113.0,366.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1148.0,0.0,141.0,0.0,3726.0,1.0,0.0,0.0,0.0,-222.0,79.0,301.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1148.0,0.0,143.0,0.0,3605.0,0.0,2.0,0.0,0.0,-74.0,74.0,148.0,45.0,0.0,0.0,0.0
