assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,20.0,0.0,0.0,2.0,0.0,5.0,49.8,90.0,7.0,0.0,0.0,0.0,956.0,0.0,77.0,7.0,13175.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,45.0,1.0,0.0,3.0
0.0,2.0,27.0,0.0,0.0,3.0,0.0,6.5,65.4,90.0,17.0,0.0,0.0,0.0,956.0,0.0,78.0,8.0,15721.0,1.0,3.0,0.0,5.0,-156.0,772.0,928.0,45.0,0.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,956.0,0.0,79.0,0.0,22278.0,2.0,4.0,0.0,0.0,3939.0,6417.0,2478.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,956.0,0.0,80.0,0.0,20896.0,2.0,2.0,0.0,0.0,-1599.0,1268.0,2867.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,956.0,0.0,81.0,0.0,18577.0,0.0,3.0,0.0,0.0,-2623.0,268.0,2891.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,956.0,0.0,82.0,0.0,17296.0,1.0,1.0,0.0,0.0,-1458.0,124.0,1582.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,956.0,0.0,83.0,0.0,16363.0,0.0,3.0,0.0,0.0,-1055.0,120.0,1175.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,956.0,0.0,84.0,0.0,15741.0,5.0,1.0,0.0,0.0,-731.0,127.0,858.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,956.0,0.0,85.0,0.0,15157.0,2.0,4.0,0.0,0.0,-713.0,189.0,902.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,956.0,0.0,86.0,0.0,14657.0,3.0,0.0,0.0,0.0,-563.0,94.0,657.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,956.0,0.0,87.0,0.0,15178.0,0.0,1.0,0.0,0.0,157.0,838.0,681.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,956.0,0.0,88.0,0.0,15751.0,0.0,2.0,0.0,0.0,345.0,933.0,588.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,956.0,0.0,89.0,0.0,16359.0,2.0,3.0,0.0,0.0,367.0,1009.0,642.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,956.0,0.0,90.0,0.0,16481.0,0.0,2.0,0.0,0.0,154.0,580.0,426.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,956.0,0.0,91.0,0.0,16735.0,1.0,1.0,0.0,0.0,143.0,575.0,432.0,43.0,1.0,0.0,0.0
