assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,17.0,0.0,6.8,1.0,0.0,2.5,18.6,90.0,15.0,0.0,0.0,0.0,224.0,0.0,1.0,0.0,67683.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,55.0,1.0,0.0,2.0
0.0,0.0,16.0,0.0,10.4,1.0,0.0,2.5,14.6,90.0,14.0,0.0,0.0,0.0,224.0,0.0,2.0,0.0,76947.0,4.0,1.0,0.0,2.0,-2263.0,4722.0,6985.0,55.0,0.0,0.0,2.0
0.0,2.0,38.0,0.0,26.8,1.0,1.0,9.6,48.0,90.0,20.0,0.0,0.0,0.0,224.0,0.0,3.0,0.0,79584.0,1.0,3.0,21.0,8.0,-3017.0,6136.0,9153.0,55.0,1.0,1.0,8.0
0.0,0.0,18.0,0.0,27.8,1.0,0.0,9.6,22.4,90.0,11.0,0.0,0.0,0.0,224.0,0.0,4.0,0.0,96253.0,2.0,1.0,46.0,1.0,7841.0,16630.0,8789.0,55.0,0.0,1.0,1.0
0.0,0.0,19.0,1.0,18.3,0.0,0.0,2.9,11.0,90.0,2.0,0.0,0.0,0.0,224.0,0.0,5.0,0.0,102399.0,0.0,4.0,0.0,3.0,2046.0,10121.0,8075.0,55.0,1.0,0.0,3.0
0.0,0.0,5.0,0.0,3.8,1.0,0.0,2.5,2.6,90.0,16.0,0.0,0.0,0.0,224.0,0.0,6.0,0.0,98474.0,3.0,1.0,19.0,1.0,-6505.0,6084.0,12589.0,55.0,0.0,1.0,1.0
0.0,0.0,5.0,0.0,15.8,2.0,0.0,2.1,4.0,90.0,17.0,0.0,0.0,0.0,224.0,0.0,7.0,0.0,95095.0,0.0,2.0,1.0,2.0,-4913.0,3994.0,8907.0,55.0,0.0,0.0,2.0
0.0,0.0,12.0,0.0,21.8,1.0,0.0,4.5,13.0,90.0,6.0,0.0,0.0,0.0,224.0,0.0,8.0,0.0,95080.0,1.0,1.0,10.0,2.0,-2084.0,4007.0,6091.0,55.0,1.0,0.0,2.0
0.0,0.0,16.0,0.0,16.0,1.0,0.0,3.5,16.0,90.0,13.0,0.0,0.0,0.0,224.0,0.0,9.0,0.0,91020.0,1.0,1.0,3.0,2.0,-4832.0,1488.0,6320.0,55.0,1.0,0.0,2.0
0.0,0.0,16.0,1.0,33.1,0.0,0.0,6.1,21.0,90.0,19.0,0.0,0.0,0.0,224.0,0.0,10.0,0.0,88078.0,4.0,0.0,7.0,3.0,-3621.0,1569.0,5190.0,54.0,0.0,0.0,3.0
0.0,0.0,15.0,0.0,24.4,1.0,0.0,6.7,13.2,90.0,12.0,0.0,0.0,0.0,224.0,0.0,11.0,0.0,78875.0,1.0,1.0,29.0,2.0,-9612.0,1001.0,10613.0,54.0,1.0,0.0,2.0
0.0,0.0,17.0,0.0,5.5,1.0,0.0,2.9,21.6,90.0,5.0,0.0,0.0,0.0,224.0,0.0,12.0,0.0,77958.0,2.0,1.0,2.0,2.0,-1856.0,1633.0,3489.0,54.0,0.0,0.0,2.0
1.0,1.0,28.0,0.0,38.2,1.0,0.0,10.1,38.0,90.0,3.0,0.0,0.0,0.0,224.0,0.0,13.0,0.0,77766.0,2.0,1.0,25.0,6.0,-588.0,1631.0,2219.0,54.0,0.0,0.0,6.0
0.0,0.0,3.0,0.0,16.0,3.0,0.0,2.1,3.2,90.0,4.0,0.0,0.0,0.0,224.0,1.0,14.0,0.0,81115.0,3.0,1.0,2.0,-1.0,2657.0,4262.0,1605.0,54.0,1.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,224.0,0.0,15.0,0.0,68465.0,2.0,4.0,0.0,0.0,-12767.0,302.0,13069.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,224.0,0.0,16.0,0.0,64981.0,0.0,2.0,0.0,0.0,-3530.0,127.0,3657.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,224.0,0.0,17.0,0.0,62638.0,1.0,2.0,0.0,0.0,-2379.0,260.0,2639.0,53.0,1.0,0.0,0.0
0.0,0.0,15.0,1.0,25.4,0.0,0.0,4.5,15.2,90.0,7.0,0.0,0.0,0.0,224.0,0.0,18.0,0.0,63628.0,3.0,0.0,4.0,3.0,597.0,1716.0,1119.0,53.0,0.0,0.0,3.0
0.0,0.0,8.0,0.0,14.3,1.0,0.0,2.6,11.2,90.0,9.0,0.0,0.0,0.0,224.0,0.0,19.0,0.0,64916.0,0.0,1.0,0.0,2.0,1005.0,1716.0,711.0,53.0,0.0,0.0,2.0
0.0,0.0,-9.0,0.0,1.5,1.0,0.0,0.0,0.0,31.0,3.0,0.0,0.0,0.0,224.0,1.0,20.0,0.0,66053.0,1.0,2.0,0.0,-2.0,953.0,2016.0,1063.0,53.0,1.0,0.0,-2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,224.0,0.0,21.0,0.0,59761.0,0.0,4.0,0.0,0.0,-6389.0,218.0,6607.0,53.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,224.0,0.0,22.0,0.0,58069.0,2.0,2.0,0.0,0.0,-1729.0,93.0,1822.0,53.0,1.0,0.0,0.0
0.0,0.0,4.0,0.0,4.6,0.0,0.0,0.9,4.2,24.0,20.0,0.0,0.0,0.0,224.0,0.0,23.0,0.0,58171.0,4.0,0.0,0.0,1.0,-63.0,448.0,511.0,53.0,0.0,0.0,1.0
0.0,0.0,14.0,0.0,9.3,1.0,0.0,2.4,12.2,90.0,16.0,0.0,0.0,0.0,224.0,0.0,24.0,0.0,58323.0,1.0,2.0,2.0,2.0,61.0,394.0,333.0,53.0,1.0,0.0,2.0
0.0,0.0,14.0,1.0,31.4,0.0,0.0,6.5,19.0,90.0,2.0,0.0,0.0,0.0,224.0,0.0,25.0,0.0,58799.0,2.0,0.0,15.0,3.0,295.0,819.0,524.0,53.0,0.0,0.0,3.0
0.0,0.0,25.0,1.0,13.3,0.0,0.0,4.7,23.6,90.0,14.0,0.0,0.0,0.0,224.0,0.0,27.0,0.0,65003.0,0.0,0.0,10.0,3.0,6043.0,6408.0,365.0,53.0,1.0,0.0,3.0
0.0,0.0,16.0,0.0,5.9,1.0,0.0,3.8,19.2,90.0,9.0,0.0,0.0,0.0,224.0,0.0,29.0,0.0,62720.0,1.0,1.0,13.0,2.0,-543.0,444.0,987.0,53.0,1.0,0.0,2.0
0.0,0.0,11.0,0.0,2.8,2.0,0.0,3.8,18.4,90.0,1.0,0.0,0.0,0.0,224.0,0.0,30.0,0.0,62462.0,2.0,2.0,17.0,1.0,-432.0,425.0,857.0,53.0,0.0,1.0,1.0
0.0,0.0,13.0,0.0,5.5,2.0,0.0,3.4,9.2,90.0,4.0,0.0,0.0,0.0,224.0,0.0,31.0,0.0,62337.0,1.0,2.0,19.0,2.0,-178.0,329.0,507.0,53.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,224.0,0.0,32.0,0.0,62642.0,1.0,3.0,0.0,0.0,247.0,736.0,489.0,53.0,1.0,0.0,0.0
0.0,0.0,13.0,1.0,5.7,0.0,0.0,3.0,8.2,90.0,13.0,0.0,0.0,0.0,224.0,0.0,33.0,0.0,61900.0,3.0,0.0,16.0,3.0,-856.0,360.0,1216.0,53.0,0.0,0.0,3.0
0.0,0.0,11.0,1.0,18.7,0.0,0.0,3.3,12.0,90.0,11.0,0.0,0.0,0.0,224.0,0.0,34.0,0.0,61595.0,0.0,0.0,2.0,3.0,-397.0,378.0,775.0,53.0,1.0,0.0,3.0
0.0,0.0,17.0,0.0,47.8,2.0,0.0,6.6,18.4,90.0,12.0,0.0,0.0,0.0,224.0,0.0,35.0,0.0,61752.0,2.0,2.0,0.0,2.0,104.0,739.0,635.0,53.0,0.0,0.0,2.0
0.0,0.0,24.0,1.0,45.2,0.0,0.0,10.8,28.8,90.0,5.0,0.0,0.0,0.0,224.0,0.0,36.0,0.0,62662.0,0.0,5.0,34.0,3.0,838.0,1459.0,621.0,53.0,1.0,0.0,3.0
0.0,0.0,14.0,0.0,30.8,1.0,0.0,6.6,11.0,90.0,19.0,0.0,0.0,0.0,224.0,0.0,37.0,0.0,67508.0,1.0,3.0,24.0,2.0,4774.0,5287.0,513.0,53.0,1.0,0.0,2.0
0.0,0.0,34.0,1.0,11.7,0.0,1.0,7.8,47.6,90.0,18.0,0.0,0.0,0.0,224.0,0.0,38.0,0.0,67251.0,5.0,0.0,19.0,8.0,-337.0,996.0,1333.0,53.0,0.0,0.0,8.0
1.0,0.0,22.0,1.0,29.6,0.0,0.0,5.8,13.2,90.0,3.0,0.0,0.0,0.0,224.0,0.0,39.0,0.0,37579.0,2.0,0.0,15.0,6.0,0.0,0.0,0.0,50.0,0.0,0.0,6.0
0.0,0.0,13.0,0.0,14.3,1.0,0.0,3.1,15.0,90.0,7.0,0.0,0.0,0.0,224.0,0.0,40.0,0.0,118321.0,1.0,1.0,2.0,2.0,38318.0,46918.0,8600.0,50.0,1.0,0.0,2.0
0.0,0.0,15.0,0.0,4.8,1.0,0.0,6.7,32.6,90.0,2.0,0.0,0.0,0.0,224.0,0.0,41.0,0.0,158686.0,2.0,1.0,30.0,2.0,24488.0,41836.0,17348.0,50.0,0.0,0.0,2.0
0.0,0.0,8.0,1.0,9.2,0.0,0.0,3.1,14.4,90.0,10.0,0.0,0.0,0.0,224.0,0.0,42.0,0.0,180417.0,0.0,5.0,7.0,2.0,7936.0,30743.0,22807.0,50.0,1.0,1.0,2.0
0.0,0.0,19.0,1.0,3.8,0.0,0.0,4.6,31.2,90.0,18.0,0.0,0.0,0.0,224.0,0.0,43.0,0.0,188961.0,6.0,0.0,11.0,3.0,4070.0,20150.0,16080.0,50.0,0.0,0.0,3.0
0.0,0.0,20.0,1.0,20.8,0.0,0.0,6.9,23.2,90.0,6.0,0.0,0.0,0.0,224.0,0.0,44.0,0.0,188182.0,0.0,5.0,25.0,3.0,-3326.0,16079.0,19405.0,50.0,1.0,0.0,3.0
0.0,0.0,14.0,1.0,11.0,0.0,0.0,5.3,15.2,90.0,5.0,0.0,0.0,0.0,224.0,0.0,45.0,0.0,188041.0,1.0,0.0,27.0,2.0,-2534.0,15560.0,18094.0,50.0,0.0,1.0,2.0
0.0,0.0,34.0,0.0,18.5,2.0,1.0,7.4,48.0,72.0,15.0,0.0,0.0,0.0,224.0,0.0,46.0,0.0,207767.0,2.0,7.0,7.0,7.0,16616.0,32048.0,15432.0,50.0,1.0,0.0,7.0
0.0,0.0,11.0,1.0,3.6,0.0,0.0,1.2,8.4,77.0,4.0,0.0,0.0,0.0,224.0,0.0,47.0,0.0,244287.0,0.0,3.0,0.0,2.0,34179.0,46210.0,12031.0,51.0,1.0,1.0,2.0
1.0,3.0,47.0,0.0,25.3,2.0,1.0,10.5,71.0,90.0,19.0,0.0,0.0,0.0,224.0,0.0,48.0,0.0,234037.0,3.0,2.0,9.0,13.0,-12218.0,15975.0,28193.0,51.0,0.0,0.0,13.0
1.0,0.0,21.0,0.0,19.2,1.0,0.0,6.0,41.0,90.0,1.0,0.0,0.0,0.0,224.0,0.0,49.0,0.0,317257.0,1.0,3.0,0.0,5.0,77462.0,87741.0,10279.0,51.0,1.0,0.0,5.0
0.0,0.0,13.0,1.0,9.6,0.0,0.0,3.4,22.2,90.0,9.0,0.0,0.0,0.0,224.0,0.0,50.0,0.0,406869.0,2.0,0.0,2.0,3.0,80440.0,96434.0,15994.0,52.0,0.0,0.0,3.0
0.0,0.0,18.0,0.0,24.3,1.0,0.0,5.7,20.8,90.0,8.0,0.0,0.0,0.0,224.0,0.0,51.0,0.0,445070.0,2.0,1.0,12.0,1.0,33201.0,56785.0,23584.0,52.0,0.0,1.0,1.0
0.0,0.0,6.0,0.0,17.0,1.0,0.0,6.8,17.8,90.0,14.0,0.0,0.0,0.0,224.0,0.0,52.0,0.0,443298.0,1.0,2.0,33.0,2.0,-4157.0,26145.0,30302.0,52.0,1.0,0.0,2.0
0.0,0.0,3.0,0.0,0.3,0.0,0.0,0.1,0.6,5.0,20.0,0.0,0.0,0.0,224.0,0.0,53.0,0.0,431321.0,1.0,2.0,0.0,1.0,-13823.0,20342.0,34165.0,52.0,1.0,0.0,1.0
0.0,0.0,19.0,0.0,27.0,1.0,0.0,5.2,16.4,90.0,12.0,0.0,0.0,0.0,224.0,0.0,54.0,0.0,394647.0,2.0,1.0,9.0,2.0,-38742.0,9162.0,47904.0,52.0,0.0,0.0,2.0
0.0,0.0,10.0,0.0,7.3,0.0,0.0,3.6,11.4,57.0,16.0,0.0,0.0,0.0,224.0,0.0,55.0,0.0,382906.0,4.0,0.0,17.0,1.0,-13021.0,11273.0,24294.0,52.0,0.0,0.0,1.0
0.0,0.0,5.0,0.0,2.8,1.0,0.0,0.5,2.0,90.0,17.0,0.0,0.0,0.0,224.0,0.0,56.0,0.0,361851.0,1.0,4.0,0.0,2.0,-22244.0,8264.0,30508.0,52.0,1.0,0.0,2.0
1.0,0.0,26.0,1.0,31.3,0.0,0.0,7.5,32.0,90.0,2.0,0.0,0.0,0.0,224.0,0.0,57.0,0.0,349883.0,0.0,4.0,12.0,6.0,-13816.0,16977.0,30793.0,51.0,1.0,0.0,6.0
0.0,0.0,17.0,1.0,19.8,0.0,0.0,3.8,18.0,90.0,13.0,0.0,0.0,0.0,224.0,0.0,58.0,0.0,355397.0,1.0,0.0,0.0,3.0,4098.0,16116.0,12018.0,51.0,0.0,0.0,3.0
0.0,0.0,9.0,1.0,7.7,0.0,0.0,3.3,12.6,90.0,6.0,0.0,0.0,0.0,224.0,0.0,59.0,0.0,351124.0,0.0,0.0,13.0,2.0,-5812.0,16579.0,22391.0,51.0,0.0,1.0,2.0
0.0,0.0,11.0,1.0,20.9,0.0,0.0,3.5,11.8,70.0,18.0,0.0,0.0,0.0,224.0,0.0,60.0,0.0,350162.0,1.0,3.0,2.0,3.0,-1550.0,20128.0,21678.0,51.0,1.0,0.0,3.0
0.0,0.0,14.0,0.0,7.9,4.0,0.0,2.8,18.6,90.0,10.0,0.0,0.0,0.0,224.0,0.0,61.0,0.0,342311.0,3.0,4.0,1.0,1.0,-10165.0,24762.0,34927.0,51.0,0.0,1.0,1.0
