assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,751.0,0.0,41.0,0.0,65.0,0.0,0.0,0.0,0.0,34.0,39.0,5.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,751.0,0.0,42.0,0.0,224.0,0.0,2.0,0.0,0.0,38.0,66.0,28.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,751.0,0.0,43.0,0.0,260.0,1.0,1.0,0.0,0.0,-5.0,29.0,34.0,45.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,0.3,0.0,0.0,0.1,0.2,1.0,4.0,0.0,0.0,0.0,751.0,0.0,44.0,0.0,296.0,0.0,0.0,0.0,1.0,-9.0,36.0,45.0,45.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,751.0,0.0,45.0,0.0,347.0,4.0,0.0,0.0,0.0,13.0,50.0,37.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,751.0,0.0,46.0,0.0,382.0,0.0,2.0,0.0,0.0,-5.0,25.0,30.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,751.0,0.0,47.0,0.0,389.0,1.0,2.0,0.0,0.0,-7.0,15.0,22.0,45.0,1.0,0.0,0.0
0.0,0.0,5.0,0.0,0.5,1.0,0.0,0.4,3.4,21.0,10.0,0.0,0.0,0.0,751.0,0.0,48.0,0.0,407.0,0.0,3.0,0.0,1.0,-6.0,30.0,36.0,45.0,0.0,0.0,1.0
0.0,2.0,33.0,1.0,21.8,0.0,0.0,5.2,20.6,90.0,19.0,0.0,0.0,0.0,751.0,0.0,49.0,0.0,422.0,0.0,1.0,10.0,8.0,-4.0,22.0,26.0,45.0,1.0,0.0,8.0
0.0,0.0,15.0,0.0,32.5,4.0,0.0,4.5,10.2,90.0,2.0,0.0,0.0,0.0,751.0,0.0,50.0,0.0,1357.0,0.0,4.0,2.0,-1.0,758.0,896.0,138.0,45.0,0.0,1.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,751.0,0.0,51.0,0.0,1222.0,2.0,1.0,0.0,0.0,-156.0,51.0,207.0,45.0,1.0,0.0,0.0
0.0,0.0,9.0,0.0,0.6,5.0,0.0,0.9,8.2,90.0,1.0,0.0,0.0,0.0,751.0,0.0,52.0,0.0,1180.0,0.0,5.0,0.0,0.0,-57.0,33.0,90.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,751.0,0.0,53.0,0.0,1152.0,0.0,2.0,0.0,0.0,-37.0,49.0,86.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,751.0,0.0,54.0,0.0,1130.0,0.0,2.0,0.0,0.0,-43.0,52.0,95.0,45.0,1.0,0.0,0.0
1.0,0.0,15.0,0.0,15.1,0.0,0.0,3.5,20.2,23.0,5.0,0.0,0.0,0.0,751.0,0.0,55.0,0.0,1103.0,3.0,1.0,0.0,4.0,-41.0,29.0,70.0,45.0,1.0,0.0,4.0
