assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,959.0,0.0,77.0,0.0,4566.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,959.0,0.0,78.0,0.0,4015.0,2.0,3.0,0.0,0.0,-703.0,127.0,830.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,959.0,0.0,79.0,0.0,3465.0,0.0,1.0,0.0,0.0,-599.0,135.0,734.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,959.0,0.0,80.0,0.0,3075.0,2.0,2.0,0.0,0.0,-455.0,68.0,523.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,959.0,0.0,81.0,0.0,2852.0,2.0,2.0,0.0,0.0,-295.0,121.0,416.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,959.0,0.0,82.0,0.0,2790.0,2.0,1.0,0.0,0.0,-129.0,113.0,242.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,959.0,0.0,83.0,0.0,2823.0,0.0,2.0,0.0,0.0,-19.0,154.0,173.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,959.0,0.0,84.0,0.0,2864.0,0.0,1.0,0.0,0.0,-5.0,152.0,157.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,959.0,0.0,85.0,0.0,2815.0,1.0,0.0,0.0,0.0,-119.0,137.0,256.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,959.0,0.0,86.0,0.0,2872.0,0.0,1.0,0.0,0.0,-6.0,139.0,145.0,50.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.2,2.0,13.0,8.0,0.0,0.0,0.0,959.0,0.0,87.0,0.0,2904.0,1.0,3.0,0.0,1.0,-50.0,132.0,182.0,50.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.3,1.0,0.0,0.3,2.6,27.0,5.0,0.0,0.0,0.0,959.0,0.0,88.0,0.0,3009.0,1.0,2.0,0.0,1.0,27.0,187.0,160.0,50.0,0.0,0.0,1.0
0.0,0.0,3.0,0.0,0.3,0.0,0.0,0.1,0.4,8.0,11.0,0.0,0.0,0.0,959.0,0.0,89.0,0.0,3189.0,1.0,1.0,0.0,1.0,95.0,272.0,177.0,50.0,1.0,0.0,1.0
