assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,227.0,0.0,1.0,0.0,19477.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,227.0,0.0,2.0,0.0,18128.0,0.0,1.0,0.0,0.0,-2811.0,331.0,3142.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,227.0,0.0,3.0,0.0,15925.0,1.0,1.0,0.0,0.0,-2767.0,462.0,3229.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,227.0,0.0,4.0,0.0,14411.0,2.0,1.0,0.0,0.0,-1960.0,439.0,2399.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,227.0,0.0,5.0,0.0,16553.0,1.0,4.0,0.0,0.0,809.0,2255.0,1446.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,227.0,0.0,6.0,0.0,21812.0,3.0,2.0,0.0,0.0,3903.0,6110.0,2207.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,227.0,0.0,7.0,0.0,27736.0,1.0,1.0,0.0,0.0,4526.0,6941.0,2415.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,227.0,0.0,8.0,0.0,30147.0,1.0,0.0,0.0,0.0,1165.0,3428.0,2263.0,44.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.6,1.0,0.0,1.2,0.0,19.0,8.0,0.0,0.0,0.0,227.0,0.0,9.0,0.0,31909.0,1.0,3.0,13.0,1.0,1094.0,2831.0,1737.0,44.0,0.0,0.0,1.0
0.0,0.0,3.0,0.0,2.6,0.0,0.0,0.3,0.0,5.0,9.0,0.0,0.0,0.0,227.0,0.0,10.0,0.0,34955.0,4.0,2.0,0.0,1.0,2232.0,3922.0,1690.0,44.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,227.0,0.0,11.0,0.0,42463.0,2.0,3.0,0.0,0.0,6333.0,9107.0,2774.0,44.0,0.0,0.0,0.0
