assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,233.0,0.0,21.0,0.0,1366.0,0.0,4.0,0.0,0.0,1112.0,1847.0,735.0,90.0,0.0,0.0,0.0
0.0,0.0,-1.0,0.0,0.8,0.0,0.0,0.6,0.0,9.0,17.0,0.0,0.0,0.0,233.0,0.0,22.0,0.0,7050.0,2.0,2.0,10.0,1.0,5353.0,5972.0,619.0,90.0,1.0,0.0,1.0
1.0,3.0,38.0,1.0,16.8,0.0,1.0,9.1,49.2,90.0,20.0,0.0,0.0,0.0,233.0,0.0,23.0,0.0,16017.0,4.0,0.0,25.0,11.0,8234.0,10565.0,2331.0,90.0,0.0,1.0,11.0
0.0,3.0,53.0,0.0,45.5,1.0,2.0,22.0,73.8,90.0,16.0,0.0,0.0,0.0,233.0,0.0,24.0,0.0,207777.0,1.0,2.0,101.0,13.0,190386.0,192298.0,1912.0,91.0,1.0,0.0,13.0
0.0,0.0,3.0,0.0,1.6,0.0,0.0,0.1,0.0,14.0,2.0,0.0,0.0,0.0,233.0,0.0,25.0,0.0,416793.0,2.0,0.0,0.0,1.0,204578.0,210621.0,6043.0,93.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,233.0,0.0,27.0,0.0,43006.0,0.0,0.0,0.0,0.0,-67409.0,1360.0,68769.0,89.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,233.0,0.0,29.0,0.0,27873.0,1.0,1.0,0.0,0.0,-3783.0,238.0,4021.0,88.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,233.0,0.0,30.0,0.0,25164.0,2.0,2.0,0.0,0.0,-2943.0,324.0,3267.0,87.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,233.0,0.0,31.0,0.0,24410.0,1.0,2.0,0.0,0.0,-810.0,227.0,1037.0,87.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,233.0,0.0,32.0,0.0,23790.0,1.0,3.0,0.0,0.0,-678.0,282.0,960.0,87.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,233.0,0.0,33.0,0.0,22883.0,3.0,0.0,0.0,0.0,-1011.0,266.0,1277.0,87.0,0.0,0.0,0.0
0.0,0.0,-3.0,0.0,0.3,0.0,0.0,0.5,0.0,5.0,11.0,0.0,0.0,0.0,233.0,0.0,34.0,0.0,23177.0,0.0,0.0,8.0,0.0,176.0,1042.0,866.0,86.0,1.0,1.0,0.0
0.0,0.0,20.0,0.0,4.0,2.0,1.0,10.3,26.8,90.0,12.0,0.0,0.0,0.0,233.0,0.0,35.0,0.0,69311.0,2.0,2.0,72.0,6.0,45746.0,47433.0,1687.0,86.0,0.0,0.0,6.0
1.0,0.0,24.0,1.0,20.1,0.0,0.0,9.6,24.0,83.0,5.0,0.0,0.0,0.0,233.0,0.0,36.0,0.0,296512.0,0.0,5.0,52.0,5.0,225901.0,228271.0,2370.0,88.0,1.0,0.0,5.0
1.0,2.0,44.0,0.0,31.3,1.0,1.0,19.8,64.4,90.0,19.0,0.0,0.0,0.0,233.0,0.0,37.0,0.0,511476.0,1.0,3.0,102.0,11.0,213513.0,217113.0,3600.0,89.0,1.0,0.0,11.0
1.0,2.0,47.0,1.0,25.8,0.0,1.0,13.3,62.4,90.0,18.0,0.0,0.0,0.0,233.0,0.0,38.0,0.0,660670.0,5.0,0.0,45.0,11.0,146990.0,155041.0,8051.0,91.0,0.0,0.0,11.0
0.0,0.0,-4.0,1.0,9.4,0.0,0.0,7.8,0.0,77.0,3.0,0.0,0.0,0.0,233.0,0.0,39.0,0.0,526481.0,2.0,0.0,69.0,1.0,0.0,0.0,0.0,105.0,0.0,1.0,1.0
0.0,0.0,2.0,0.0,3.4,1.0,0.0,2.8,2.8,45.0,7.0,0.0,0.0,0.0,233.0,0.0,40.0,0.0,487529.0,1.0,1.0,22.0,1.0,-71404.0,10970.0,82374.0,105.0,1.0,0.0,1.0
0.0,3.0,28.0,0.0,16.7,1.0,1.0,8.4,34.4,81.0,2.0,0.0,0.0,0.0,233.0,0.0,41.0,0.0,388870.0,2.0,1.0,33.0,9.0,-105800.0,13899.0,119699.0,104.0,0.0,0.0,9.0
0.0,3.0,46.0,0.0,11.3,0.0,2.0,15.7,68.2,56.0,10.0,0.0,0.0,0.0,233.0,0.0,42.0,0.0,380564.0,0.0,5.0,77.0,12.0,-20620.0,38318.0,58938.0,104.0,1.0,0.0,12.0
