assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,2.0,0.0,0.5,0.0,0.0,0.2,1.0,6.0,13.0,0.0,0.0,0.0,1152.0,0.0,115.0,0.0,46077.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1152.0,0.0,116.0,0.0,101246.0,1.0,2.0,0.0,0.0,28019.0,42713.0,14694.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1152.0,0.0,117.0,0.0,112438.0,1.0,3.0,0.0,0.0,7199.0,30202.0,23003.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1152.0,0.0,118.0,0.0,105991.0,2.0,2.0,0.0,0.0,-9069.0,10601.0,19670.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1152.0,0.0,119.0,0.0,103034.0,2.0,2.0,0.0,0.0,-6551.0,8581.0,15132.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1152.0,0.0,120.0,0.0,96242.0,2.0,3.0,0.0,0.0,-7831.0,3866.0,11697.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1152.0,0.0,121.0,0.0,92349.0,1.0,1.0,0.0,0.0,-5550.0,4923.0,10473.0,45.0,0.0,0.0,0.0
0.0,0.0,-4.0,0.0,3.8,0.0,0.0,2.2,4.4,27.0,3.0,0.0,0.0,0.0,1152.0,0.0,122.0,0.0,96280.0,0.0,1.0,14.0,0.0,2306.0,8858.0,6552.0,45.0,1.0,1.0,0.0
0.0,0.0,2.0,0.0,0.8,0.0,0.0,0.0,0.0,12.0,15.0,0.0,0.0,0.0,1152.0,0.0,123.0,0.0,97012.0,0.0,1.0,0.0,1.0,-499.0,7408.0,7907.0,45.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1152.0,0.0,124.0,0.0,97698.0,2.0,2.0,0.0,0.0,-70.0,3982.0,4052.0,45.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,0.3,1.0,0.0,0.6,1.4,30.0,20.0,0.0,0.0,0.0,1152.0,0.0,125.0,0.0,105071.0,1.0,1.0,4.0,1.0,5629.0,11415.0,5786.0,45.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1152.0,0.0,126.0,0.0,105287.0,0.0,2.0,0.0,0.0,7.0,6244.0,6237.0,45.0,0.0,0.0,0.0
1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.3,1.0,7.0,16.0,0.0,0.0,0.0,1152.0,0.0,127.0,0.0,106332.0,2.0,2.0,2.0,4.0,-551.0,7130.0,7681.0,45.0,1.0,0.0,4.0
0.0,0.0,3.0,0.0,0.1,0.0,0.0,0.0,0.2,1.0,14.0,0.0,0.0,0.0,1152.0,0.0,128.0,0.0,110491.0,2.0,2.0,0.0,1.0,3160.0,8147.0,4987.0,45.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.1,2.0,13.0,4.0,0.0,0.0,0.0,1152.0,0.0,129.0,0.0,110853.0,2.0,1.0,19.0,1.0,135.0,4443.0,4308.0,45.0,1.0,0.0,1.0
0.0,1.0,32.0,0.0,11.5,1.0,1.0,11.3,44.2,90.0,19.0,0.0,0.0,0.0,1152.0,0.0,130.0,0.0,107740.0,3.0,1.0,57.0,7.0,-3415.0,2827.0,6242.0,45.0,0.0,0.0,7.0
0.0,0.0,10.0,0.0,0.8,3.0,0.0,4.0,12.4,90.0,11.0,0.0,0.0,0.0,1152.0,0.0,131.0,0.0,126266.0,3.0,0.0,27.0,2.0,16056.0,22092.0,6036.0,45.0,1.0,0.0,2.0
0.0,0.0,4.0,1.0,2.1,0.0,0.0,1.1,4.0,90.0,8.0,0.0,0.0,0.0,1152.0,0.0,132.0,0.0,138085.0,0.0,0.0,5.0,2.0,11377.0,18014.0,6637.0,45.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1152.0,0.0,133.0,0.0,138311.0,1.0,1.0,0.0,0.0,-275.0,9857.0,10132.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1152.0,0.0,134.0,0.0,127754.0,2.0,1.0,0.0,0.0,-10579.0,1650.0,12229.0,45.0,1.0,0.0,0.0
