assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.2,2.0,2.0,2.0,0.0,0.0,0.0,966.0,0.0,77.0,0.0,51829.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,45.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,966.0,0.0,78.0,0.0,76462.0,0.0,0.0,0.0,0.0,7259.0,16471.0,9212.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,966.0,0.0,79.0,0.0,71409.0,0.0,0.0,0.0,0.0,-5997.0,6110.0,12107.0,45.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.3,0.0,0.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,966.0,0.0,80.0,0.0,68676.0,3.0,2.0,2.0,1.0,-4974.0,4525.0,9499.0,45.0,1.0,0.0,1.0
0.0,0.0,2.0,0.0,0.3,2.0,0.0,0.2,0.0,13.0,6.0,0.0,0.0,0.0,966.0,0.0,81.0,0.0,70836.0,1.0,4.0,2.0,1.0,-234.0,9144.0,9378.0,45.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,966.0,0.0,82.0,0.0,71961.0,5.0,0.0,0.0,0.0,-225.0,6812.0,7037.0,45.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.2,0.0,11.0,4.0,0.0,0.0,0.0,966.0,0.0,83.0,0.0,68913.0,2.0,1.0,2.0,1.0,-3172.0,2451.0,5623.0,45.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,966.0,0.0,84.0,0.0,67639.0,0.0,1.0,0.0,0.0,-1926.0,2659.0,4585.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,966.0,0.0,85.0,0.0,64840.0,2.0,4.0,0.0,0.0,-3924.0,3008.0,6932.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,966.0,0.0,86.0,0.0,62929.0,1.0,4.0,0.0,0.0,-2753.0,1697.0,4450.0,44.0,0.0,0.0,0.0
